2014 SVI Mobile Homes Data and Encoding,2015 SVI Mobile Homes Data and Encoding,2016 SVI Mobile Homes Data and Encoding,2017 SVI Mobile Homes Data and Encoding,2018 SVI Mobile Homes Data and Encoding,2019 SVI Mobile Homes Data and Encoding,2020 SVI Mobile Homes Data and Encoding
55.27,55.12,54.98,53.21,51.45,55.86,60.28
87.04,85.92,84.81,86.4,88.0,87.32,86.63
26.07,25.9,25.72,23.83,21.94,22.12,22.31
55.27,58.85,62.43,62.35,62.27,63.48,64.7
67.21,68.9,70.58,71.22,71.86,67.14,62.41
72.17,71.46,70.74,68.53,66.32,66.98,67.63
71.6,71.41,71.22,73.83,76.44,78.02,79.6
75.01,74.45,73.89,74.14,74.4,76.28,78.17
15.7,17.45,19.2,18.93,18.66,17.07,15.47
88.67,88.11,87.55,86.8,86.06,86.12,86.19
64.79,63.08,61.38,61.97,62.56,65.1,67.63
85.2,87.62,90.04,93.26,96.47,96.01,95.54
86.31,83.84,81.38,81.73,82.08,80.68,79.28
81.41,82.8,84.18,85.34,86.5,85.06,83.61
23.91,24.82,25.72,25.14,24.55,24.88,25.21
76.25,75.81,75.36,74.66,73.96,75.82,77.69
62.97,63.04,63.1,61.62,60.14,59.69,59.23
62.02,61.03,60.04,58.71,57.37,58.82,60.28
3.98,4.03,4.08,4.26,4.43,4.4,4.36
7.13,5.6,4.08,5.62,7.16,5.76,4.36
30.28,29.71,29.13,31.72,34.32,35.62,36.92
55.27,55.97,56.67,57.61,58.55,57.87,57.19
33.21,33.29,33.37,34.3,35.24,36.3,37.36
36.04,33.2,30.37,32.34,34.32,35.84,37.36
5.35,5.82,6.3,6.38,6.46,6.52,6.59
75.9,74.29,72.68,74.69,76.7,77.6,78.49
21.2,21.55,21.9,23.8,25.69,26.0,26.32
17.22,16.9,16.59,16.51,16.43,16.63,16.84
44.13,46.94,49.76,48.82,47.88,54.62,61.36
33.43,36.02,38.62,40.34,42.06,42.04,42.01
47.53,48.09,48.65,48.61,48.58,48.04,47.49
87.87,86.88,85.9,84.08,82.27,84.96,87.65
33.43,33.73,34.03,34.4,34.77,35.84,36.92
21.2,21.17,21.14,19.9,18.66,18.22,17.79
86.31,85.86,85.42,84.93,84.43,84.45,84.47
54.86,54.36,53.87,56.21,58.55,59.1,59.64
4.97,5.34,5.7,5.89,6.08,6.34,6.59
24.9,27.27,29.64,29.52,29.39,30.83,32.27
4.97,5.03,5.09,4.76,4.43,4.4,4.36
76.25,76.22,76.19,75.89,75.58,73.9,72.22
51.83,50.98,50.14,47.77,45.4,45.95,46.5
26.71,27.7,28.69,29.04,29.39,31.4,33.42
54.86,49.58,44.29,44.64,44.99,45.08,45.16
25.44,27.54,29.64,26.55,23.46,27.42,31.38
17.22,17.95,18.69,20.08,21.46,21.88,22.31
31.33,31.72,32.12,31.2,30.28,31.28,32.27
23.91,24.45,24.99,27.64,30.28,30.45,30.62
10.35,10.3,10.25,10.65,11.05,11.1,11.14
11.65,11.26,10.86,10.96,11.05,11.1,11.14
32.92,37.85,42.79,48.72,54.66,55.58,56.49
41.77,41.72,41.67,41.62,41.58,41.8,42.01
8.44,8.66,8.88,8.77,8.66,9.14,9.61
20.73,21.32,21.9,21.46,21.01,21.02,21.04
27.28,27.18,27.09,26.6,26.11,27.34,28.58
15.15,15.04,14.93,14.94,14.96,15.22,15.47
0.22,0.43,0.64,0.66,0.67,0.43,0.19
15.15,14.53,13.91,14.16,14.42,14.64,14.86
42.73,41.95,41.17,39.7,38.24,37.8,37.36
3.57,3.63,3.69,3.8,3.92,3.93,3.95
21.68,22.35,23.02,21.39,19.77,20.13,20.5
10.98,11.14,11.3,11.41,11.52,12.01,12.51
25.44,26.26,27.09,26.88,26.68,29.03,31.38
50.43,51.22,52.02,53.14,54.25,55.06,55.86
34.29,35.5,36.71,37.68,38.65,41.32,43.98
56.06,56.91,57.75,57.28,56.8,56.1,55.41
10.98,11.14,11.3,11.18,11.05,11.46,11.87
21.68,21.79,21.9,21.92,21.94,22.12,22.31
18.15,17.83,17.51,18.34,19.17,20.34,21.51
23.3,23.38,23.46,25.69,27.92,26.22,24.51
78.57,78.14,77.71,78.97,80.23,79.07,77.91
76.25,79.09,81.92,84.53,87.14,83.08,79.03
32.41,32.51,32.6,32.51,32.41,31.52,30.62
44.41,44.04,43.68,43.62,43.55,43.26,42.97
16.14,16.1,16.05,16.24,16.43,17.11,17.79
16.14,17.14,18.15,17.62,17.1,16.97,16.84
47.53,45.6,43.68,45.35,47.02,46.09,45.16
28.49,29.43,30.37,30.33,30.28,30.45,30.62
70.23,71.79,73.35,70.56,67.78,64.41,61.04
3.28,3.3,3.31,3.44,3.57,3.39,3.21
45.5,47.08,48.65,50.27,51.89,46.95,42.01
56.35,57.05,57.75,54.82,51.89,45.0,38.1
50.43,53.28,56.13,57.71,59.28,59.63,59.99
10.35,10.6,10.86,11.19,11.52,10.56,9.61
10.98,11.14,11.3,10.87,10.44,10.26,10.09
45.11,43.14,41.17,43.28,45.4,46.7,47.99
58.55,61.68,64.82,61.81,58.8,51.98,45.16
37.85,31.78,25.72,28.0,30.28,26.3,22.31
76.6,74.64,72.68,73.54,74.4,75.89,77.37
73.8,74.42,75.04,75.99,76.95,74.18,71.42
72.75,66.4,60.04,66.46,72.87,76.24,79.6
26.07,25.53,24.99,26.72,28.46,27.39,26.32
67.94,68.2,68.45,67.96,67.46,68.31,69.16
1.05,1.06,1.08,1.23,1.37,1.39,1.4
78.1,76.0,73.89,74.37,74.85,77.54,80.24
1.4,1.61,1.81,1.59,1.37,0.92,0.48
27.63,26.67,25.72,25.45,25.18,25.75,26.32
22.09,20.12,18.15,18.11,18.08,17.65,17.22
13.69,13.32,12.96,12.77,12.58,12.86,13.14
61.1,58.42,55.75,58.54,61.32,61.67,62.03
43.52,46.64,49.76,48.23,46.7,45.93,45.16
9.39,10.84,12.29,10.48,8.66,8.39,8.12
18.59,19.68,20.76,25.08,29.39,28.98,28.58
35.24,30.88,26.52,26.6,26.68,25.6,24.51
47.18,39.89,32.6,33.92,35.24,35.35,35.46
40.46,41.84,43.23,46.18,49.12,47.65,46.18
71.98,70.52,69.05,68.42,67.78,63.3,58.82
3.28,3.3,3.31,3.44,3.57,3.39,3.21
65.81,68.52,71.22,65.94,60.65,51.5,42.36
62.62,65.07,67.53,63.55,59.57,63.74,67.92
58.55,62.39,66.22,63.77,61.32,59.7,58.08
54.86,58.12,61.38,60.48,59.57,60.68,61.78
17.22,17.07,16.91,16.67,16.43,16.63,16.84
51.51,48.64,45.78,47.45,49.12,50.17,51.21
56.99,60.25,63.51,67.16,70.81,67.56,64.32
53.33,48.28,43.23,43.56,43.9,43.94,43.98
42.34,43.01,43.68,45.54,47.41,46.28,45.16
46.0,42.12,38.24,34.04,29.83,35.08,40.32
74.37,75.85,77.33,77.14,76.95,77.82,78.68
80.04,79.8,79.56,77.46,75.36,73.91,72.47
69.12,70.3,71.47,71.5,71.54,73.89,76.23
62.27,61.16,60.04,57.35,54.66,54.28,53.91
29.26,29.2,29.13,30.07,31.01,34.74,38.48
36.39,37.32,38.24,42.12,46.0,39.14,32.27
22.09,18.88,15.66,16.58,17.51,19.0,20.5
45.5,39.05,32.6,35.42,38.24,40.12,42.01
16.14,19.02,21.9,20.28,18.66,16.3,13.94
59.41,58.39,57.37,57.5,57.62,57.28,56.94
22.09,23.32,24.55,25.88,27.22,27.6,27.98
44.41,44.04,43.68,41.16,38.65,31.31,23.97
60.68,60.57,60.46,58.28,56.1,51.8,47.49
22.09,23.9,25.72,26.82,27.92,28.52,29.12
71.03,74.47,77.91,79.54,81.18,78.32,75.46
24.9,20.74,16.59,15.78,14.96,22.23,29.5
6.65,7.05,7.45,7.88,8.31,10.41,12.51
26.07,27.85,29.64,33.34,37.03,36.02,35.01
4.97,5.34,5.7,4.81,3.92,3.17,2.42
43.52,41.62,39.73,41.82,43.9,41.66,39.43
35.24,36.52,37.79,37.09,36.39,38.53,40.67
33.43,33.73,34.03,34.4,34.77,35.35,35.93
36.9,42.0,47.09,50.67,54.25,50.38,46.5
1.4,1.43,1.46,1.42,1.37,1.16,0.95
2.1,1.96,1.81,1.85,1.88,2.04,2.2
1.4,1.43,1.46,1.23,0.99,1.2,1.4
4.14,4.11,4.08,4.0,3.92,3.93,3.95
2.1,2.16,2.23,2.05,1.88,1.86,1.85
7.55,8.22,8.88,9.55,10.22,10.68,11.14
3.98,3.84,3.69,4.06,4.43,4.88,5.32
12.77,11.82,10.86,11.19,11.52,10.81,10.09
56.99,56.83,56.67,56.38,56.1,56.3,56.49
8.44,8.66,8.88,8.39,7.9,7.82,7.73
73.8,72.64,71.47,70.03,68.58,67.23,65.88
0.0,0.0,0.0,0.11,0.22,0.2,0.19
37.22,38.22,39.22,39.19,39.16,38.04,36.92
98.79,99.11,99.43,98.7,97.96,98.14,98.31
57.91,58.62,59.34,58.48,57.62,57.58,57.54
94.94,94.89,94.84,95.38,95.92,95.51,95.1
35.24,35.45,35.66,36.02,36.39,37.24,38.1
9.39,9.82,10.25,10.65,11.05,11.46,11.87
98.79,98.62,98.44,98.47,98.5,98.28,98.06
44.41,46.88,49.35,50.82,52.28,52.92,53.56
85.9,85.12,84.34,84.24,84.15,83.88,83.61
56.99,57.18,57.37,57.72,58.07,59.18,60.28
23.3,23.92,24.55,24.0,23.46,24.34,25.21
97.77,97.61,97.45,97.53,97.61,97.96,98.31
97.13,96.18,95.22,94.08,92.93,93.32,93.7
99.71,99.78,99.84,99.8,99.75,99.72,99.68
19.48,19.56,19.64,20.55,21.46,21.25,21.04
30.88,31.74,32.6,33.3,34.0,32.92,31.83
22.73,21.94,21.14,21.3,21.46,22.5,23.55
77.75,78.37,78.99,80.16,81.34,75.77,70.21
91.75,91.82,91.88,92.34,92.8,92.55,92.3
99.81,99.81,99.81,99.8,99.78,99.81,99.84
99.87,99.88,99.9,99.87,99.84,99.81,99.78
82.81,80.12,77.43,78.33,79.24,79.62,80.01
99.59,99.44,99.3,99.32,99.33,99.06,98.79
94.4,94.0,93.6,92.78,91.95,91.41,90.87
98.57,98.78,98.98,98.9,98.82,98.65,98.47
70.61,70.44,70.26,70.1,69.95,69.71,69.48
91.53,89.82,88.12,88.42,88.73,87.56,86.38
34.73,34.38,34.03,33.73,33.43,33.52,33.61
94.56,94.44,94.33,95.24,96.15,97.14,98.12
33.91,34.16,34.42,35.72,37.03,36.74,36.44
92.74,93.42,94.11,93.7,93.28,93.93,94.59
97.04,96.76,96.47,97.12,97.77,98.36,98.95
99.49,99.24,98.98,99.25,99.52,99.62,99.71
80.04,78.74,77.43,76.65,75.87,75.11,74.35
47.53,47.66,47.79,46.02,44.25,45.87,47.49
37.85,37.28,36.71,37.16,37.6,38.77,39.94
99.68,99.78,99.87,99.79,99.71,99.56,99.4
99.62,99.6,99.59,99.59,99.59,99.48,99.36
98.09,98.15,98.22,98.7,99.17,98.92,98.66
67.56,68.01,68.45,67.7,66.95,66.96,66.96
81.41,81.51,81.6,80.78,79.97,79.23,78.49
44.41,44.79,45.18,45.08,44.99,44.9,44.81
4.14,4.38,4.62,4.73,4.84,4.6,4.36
64.25,62.94,61.64,59.63,57.62,54.42,51.21
75.01,76.04,77.08,75.39,73.7,74.96,76.23
29.8,29.02,28.24,26.71,25.18,23.74,22.31
99.4,99.16,98.92,98.54,98.15,98.0,97.84
17.22,17.07,16.91,16.46,16.01,16.22,16.42
39.51,39.36,39.22,38.12,37.03,36.98,36.92
10.35,10.82,11.3,11.18,11.05,11.1,11.14
76.6,76.17,75.74,76.34,76.95,76.59,76.23
41.77,42.28,42.79,43.17,43.55,43.76,43.98
82.39,82.16,81.92,81.55,81.18,82.01,82.85
99.11,99.15,99.2,99.26,99.33,99.22,99.11
37.22,36.09,34.96,34.64,34.32,33.6,32.88
38.43,37.81,37.19,38.67,40.15,40.04,39.94
46.9,49.74,52.59,51.11,49.63,48.96,48.28
40.46,41.37,42.28,42.74,43.2,43.08,42.97
10.35,10.6,10.86,10.96,11.05,10.33,9.61
66.13,65.85,65.58,66.26,66.95,65.38,63.81
99.84,99.9,99.97,99.94,99.9,99.88,99.87
98.38,97.47,96.56,95.96,95.35,96.53,97.71
99.55,99.54,99.52,99.54,99.55,99.57,99.59
39.92,40.24,40.56,40.83,41.1,41.73,42.36
96.53,95.91,95.29,93.22,91.15,89.59,88.03
58.87,58.9,58.93,59.79,60.65,61.34,62.03
98.47,98.66,98.85,98.68,98.5,98.47,98.44
99.04,98.65,98.25,98.16,98.06,97.54,97.01
99.3,99.46,99.62,99.56,99.49,99.4,99.3
96.15,96.92,97.68,97.48,97.29,97.85,98.41
94.62,95.91,97.2,97.9,98.6,94.0,89.4
80.61,79.92,79.24,78.7,78.16,75.98,73.81
95.61,95.35,95.1,94.26,93.41,92.74,92.08
37.22,40.22,43.23,40.74,38.24,37.08,35.93
58.87,58.9,58.93,56.38,53.84,53.37,52.9
83.06,85.22,87.39,86.5,85.61,85.77,85.93
98.38,97.78,97.17,96.96,96.75,96.24,95.74
11.65,11.48,11.3,11.66,12.03,12.58,13.14
78.86,80.83,82.81,83.9,85.0,85.21,85.42
99.78,99.86,99.94,99.96,99.97,99.89,99.81
94.21,94.28,94.36,93.28,92.2,93.33,94.46
60.68,61.38,62.08,61.36,60.65,63.18,65.72
74.88,74.11,73.35,73.3,73.26,72.87,72.47
96.94,96.75,96.56,97.01,97.45,97.37,97.29
33.91,40.5,47.09,54.06,61.03,57.78,54.52
87.04,88.26,89.49,91.34,93.19,93.08,92.97
56.99,56.71,56.42,53.02,49.63,52.74,55.86
97.36,97.65,97.93,98.17,98.41,98.44,98.47
52.21,51.92,51.64,51.33,51.03,52.7,54.36
50.43,52.15,53.87,53.08,52.28,52.59,52.9
98.92,99.16,99.4,99.35,99.3,98.94,98.57
19.99,19.6,19.2,18.93,18.66,16.76,14.86
60.04,64.54,69.05,71.26,73.48,77.05,80.62
79.72,79.8,79.88,81.55,83.22,80.46,77.69
18.59,17.75,16.91,16.46,16.01,16.61,17.22
19.99,19.6,19.2,20.57,21.94,20.82,19.7
94.65,95.8,96.94,97.84,98.73,98.87,99.01
10.35,11.1,11.84,12.21,12.58,12.22,11.87
86.18,90.04,93.89,96.12,98.34,95.48,92.62
4.14,4.61,5.09,4.96,4.84,4.2,3.56
96.94,97.23,97.52,97.31,97.1,96.78,96.47
91.34,92.62,93.89,94.43,94.97,94.28,93.6
34.73,33.84,32.95,31.39,29.83,29.66,29.5
96.47,96.72,96.98,96.56,96.15,94.82,93.48
11.65,13.29,14.93,14.94,14.96,14.45,13.94
98.69,98.31,97.93,98.46,98.98,98.1,97.23
84.65,85.67,86.69,85.84,85.0,82.51,80.01
84.43,83.62,82.81,82.08,81.34,82.25,83.16
55.68,51.38,47.09,46.9,46.7,39.04,31.38
79.4,79.48,79.56,81.39,83.22,80.46,77.69
2.1,1.96,1.81,1.85,1.88,2.04,2.2
91.72,92.47,93.22,94.68,96.15,95.99,95.83
97.2,95.16,93.12,92.77,92.42,90.5,88.57
18.59,20.24,21.9,21.92,21.94,20.82,19.7
20.73,19.44,18.15,17.62,17.1,17.44,17.79
89.84,90.86,91.88,91.16,90.45,90.93,91.41
99.94,99.72,99.49,99.65,99.81,99.89,99.97
84.65,83.73,82.81,80.15,77.49,77.7,77.91
89.27,90.2,91.12,90.26,89.4,86.58,83.77
89.68,89.16,88.63,88.22,87.81,89.18,90.55
96.02,96.38,96.75,96.61,96.47,96.66,96.85
52.56,51.35,50.14,49.01,47.88,47.94,47.99
10.98,10.62,10.25,9.75,9.26,12.06,14.86
38.43,40.35,42.28,42.17,42.06,45.46,48.85
22.73,21.74,20.76,19.71,18.66,18.56,18.46
95.16,94.64,94.11,93.7,93.28,92.84,92.39
1.78,2.0,2.23,2.16,2.1,2.26,2.42
75.01,77.0,78.99,77.85,76.7,74.33,71.96
99.43,98.96,98.5,98.88,99.27,98.06,96.85
52.21,51.68,51.16,48.93,46.7,46.24,45.77
62.62,64.42,66.22,63.62,61.03,59.43,57.83
94.36,93.31,92.26,92.23,92.2,93.09,93.98
73.58,72.75,71.92,72.3,72.68,67.23,61.78
5.35,5.7,6.05,6.06,6.08,5.7,5.32
75.01,75.3,75.58,73.19,70.81,71.39,71.96
47.53,48.09,48.65,48.61,48.58,48.43,48.28
98.28,98.72,99.17,99.1,99.04,98.92,98.79
74.88,74.96,75.04,76.46,77.87,74.23,70.59
31.33,34.02,36.71,37.48,38.24,38.36,38.48
86.85,86.52,86.18,86.77,87.36,87.38,87.4
97.04,96.52,95.99,95.29,94.59,95.3,96.02
10.98,12.19,13.4,13.91,14.42,14.18,13.94
38.65,37.92,37.19,37.4,37.6,36.76,35.93
93.22,92.66,92.1,90.97,89.84,83.21,76.58
67.21,67.83,68.45,67.02,65.58,64.52,63.46
73.93,79.68,85.42,82.82,80.23,76.8,73.36
93.51,94.58,95.64,96.18,96.72,95.49,94.27
91.53,90.92,90.32,90.88,91.44,92.6,93.76
97.64,95.76,93.89,92.17,90.45,93.76,97.07
88.32,88.97,89.62,90.29,90.96,93.49,96.02
80.9,80.07,79.24,80.29,81.34,83.76,86.19
68.42,69.58,70.74,66.03,61.32,64.62,67.92
96.02,94.73,93.44,92.82,92.2,93.73,95.26
90.19,89.96,89.72,90.15,90.58,91.04,91.5
58.29,59.16,60.04,61.49,62.94,57.92,52.9
73.26,69.95,66.63,66.26,65.9,66.77,67.63
98.5,98.3,98.09,96.91,95.73,95.0,94.27
99.75,99.72,99.68,99.5,99.33,99.3,99.27
49.35,48.57,47.79,49.41,51.03,47.5,43.98
69.6,74.12,78.64,78.75,78.86,78.94,79.03
85.2,84.77,84.34,81.6,78.86,83.67,88.48
96.82,97.46,98.09,96.34,94.59,94.0,93.41
89.84,89.73,89.62,91.53,93.44,93.11,92.78
94.24,93.11,91.98,92.2,92.42,92.22,92.01
97.36,97.82,98.28,98.26,98.25,97.79,97.33
86.02,81.36,76.7,76.57,76.44,79.07,81.7
73.8,75.0,76.19,79.7,83.22,87.2,91.18
89.84,90.75,91.66,89.08,86.5,84.45,82.4
