2014 SVI Limited English Ability Data and Encoding,2015 SVI Limited English Ability Data and Encoding,2016 SVI Limited English Ability Data and Encoding,2017 SVI Limited English Ability Data and Encoding,2018 SVI Limited English Ability Data and Encoding,2019 SVI Limited English Ability Data and Encoding,2020 SVI Limited English Ability Data and Encoding
16.81,31.66,46.51,38.1,29.7,14.85,0.0
32.7,44.36,56.03,55.48,54.92,56.78,58.63
42.38,46.0,49.63,52.28,54.92,48.95,42.97
53.07,54.17,55.27,55.1,54.92,51.14,47.36
72.3,68.8,65.3,64.2,63.1,62.07,61.04
15.12,25.52,35.91,35.86,35.82,33.49,31.16
17.48,17.88,18.27,12.67,7.07,25.02,42.97
55.46,55.26,55.05,50.74,46.42,27.51,8.59
68.58,70.6,72.62,77.68,82.74,83.5,84.25
44.38,30.16,15.95,11.51,7.07,7.83,8.59
44.29,40.07,35.85,41.14,46.42,44.7,42.97
27.06,34.38,41.71,35.7,29.7,14.85,0.0
15.6,25.6,35.59,32.65,29.7,19.14,8.59
58.55,58.79,59.03,61.07,63.1,67.93,72.76
20.28,15.62,10.95,9.01,7.07,7.83,8.59
10.95,9.26,7.58,11.18,14.77,19.46,24.16
89.46,89.9,90.35,89.27,88.19,88.67,89.15
35.66,34.7,33.75,31.72,29.7,26.93,24.16
87.3,87.32,87.33,86.9,86.47,83.98,81.48
70.65,68.26,65.87,68.2,70.52,68.26,66.01
12.29,8.9,5.51,6.29,7.07,7.83,8.59
11.84,14.98,18.12,9.06,0.0,0.0,0.0
25.18,27.0,28.81,29.26,29.7,42.41,55.12
79.97,81.32,82.68,84.3,85.93,85.63,85.33
23.94,16.12,8.31,15.51,22.7,37.1,51.5
8.82,14.74,20.66,17.72,14.77,11.68,8.59
32.16,18.76,5.35,28.24,51.13,56.09,61.04
13.59,33.79,54.0,50.21,46.42,53.73,61.04
0.0,3.47,6.94,7.0,7.07,3.54,0.0
62.97,67.73,72.49,61.81,51.13,37.65,24.16
40.94,41.94,42.95,44.68,46.42,41.75,37.08
63.29,67.64,71.98,69.58,67.18,37.88,8.59
10.28,10.72,11.17,5.58,0.0,4.3,8.59
6.3,11.73,17.16,12.12,7.07,3.54,0.0
40.21,45.54,50.88,55.88,60.87,58.0,55.12
12.67,19.18,25.69,16.38,7.07,3.54,0.0
36.1,41.96,47.82,52.86,57.91,63.02,68.14
18.12,9.06,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.77,44.22,46.67,30.72,14.77,11.68,8.59
11.78,5.89,0.0,0.0,0.0,0.0,0.0
32.89,30.26,27.63,21.2,14.77,7.38,0.0
74.63,75.72,76.82,74.26,71.7,73.15,74.6
21.62,20.1,18.59,20.65,22.7,15.65,8.59
59.89,63.12,66.35,63.61,60.87,60.96,61.04
74.69,77.74,80.8,79.64,78.48,77.35,76.23
0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.33,70.63,70.93,71.32,71.7,71.54,71.39
4.68,5.24,5.79,23.83,41.87,46.68,51.5
63.32,64.72,66.13,47.92,29.7,55.08,80.46
49.22,54.18,59.15,60.01,60.87,56.18,51.5
68.86,70.3,71.73,59.08,46.42,65.33,84.25
15.35,18.02,20.69,21.7,22.7,11.35,0.0
86.66,86.5,86.34,86.4,86.47,87.4,88.32
97.39,97.02,96.66,96.82,96.98,96.71,96.44
52.59,44.12,35.66,21.36,7.07,7.83,8.59
27.86,24.52,21.17,14.12,7.07,3.54,0.0
53.04,51.84,50.65,50.89,51.13,51.32,51.5
40.5,29.12,17.73,12.4,7.07,19.11,31.16
90.45,89.88,89.3,88.52,87.74,88.78,89.82
46.55,51.23,55.91,56.91,57.91,52.64,47.36
0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.6,93.51,93.41,92.9,92.39,92.22,92.04
96.85,96.78,96.72,96.68,96.63,96.42,96.21
74.94,66.46,57.98,46.9,35.82,53.6,71.39
68.96,70.13,71.31,66.09,60.87,60.96,61.04
80.67,80.8,80.93,81.03,81.12,82.4,83.67
58.8,52.26,45.72,46.07,46.42,46.89,47.36
99.27,99.15,99.04,99.2,99.36,99.22,99.08
93.98,94.25,94.52,94.44,94.36,94.41,94.46
79.88,78.46,77.05,74.37,71.7,71.54,71.39
74.47,75.16,75.84,73.77,71.7,70.78,69.86
98.54,98.57,98.6,98.54,98.47,98.26,98.06
96.75,97.22,97.68,97.63,97.58,97.71,97.84
72.43,72.89,73.35,74.13,74.91,72.39,69.86
99.71,99.7,99.68,99.72,99.75,99.73,99.71
82.59,82.16,81.73,82.24,82.74,78.67,74.6
97.74,97.68,97.61,97.7,97.8,97.76,97.71
97.58,97.4,97.23,97.4,97.58,97.74,97.9
84.53,86.47,88.41,87.63,86.85,85.55,84.25
75.17,76.17,77.17,74.44,71.7,76.08,80.46
99.11,99.04,98.98,98.95,98.92,98.88,98.85
98.89,98.89,98.89,98.84,98.79,98.78,98.76
88.95,89.28,89.62,89.28,88.95,88.64,88.32
61.86,61.81,61.76,62.43,63.1,59.11,55.12
92.36,92.23,92.1,92.32,92.55,92.02,91.5
98.82,98.82,98.82,98.87,98.92,98.92,98.92
87.84,85.92,83.99,84.96,85.93,86.74,87.56
95.92,95.74,95.57,92.79,90.0,88.27,86.54
99.55,99.58,99.62,99.62,99.62,99.56,99.49
96.56,96.56,96.56,96.6,96.63,96.38,96.12
69.37,68.3,67.24,64.05,60.87,62.5,64.13
97.77,97.8,97.84,97.79,97.74,97.62,97.49
77.36,77.14,76.92,75.09,73.26,72.32,71.39
59.98,58.76,57.53,56.22,54.92,59.53,64.13
96.28,96.26,96.24,96.28,96.31,96.39,96.47
94.91,94.82,94.72,94.58,94.43,94.59,94.75
97.36,97.22,97.07,97.12,97.17,97.09,97.01
96.34,96.34,96.34,96.32,96.31,96.31,96.31
95.8,95.64,95.48,95.32,95.16,95.06,94.97
98.73,98.64,98.54,98.46,98.38,98.22,98.06
97.29,97.14,96.98,96.98,96.98,97.0,97.01
87.71,88.04,88.38,87.42,86.47,85.36,84.25
96.24,96.1,95.96,95.72,95.48,95.51,95.54
97.9,97.93,97.96,98.02,98.09,98.01,97.93
97.33,97.23,97.13,97.02,96.91,97.02,97.14
96.47,96.26,96.05,95.96,95.86,95.59,95.32
66.76,64.66,62.56,62.83,63.1,60.86,58.63
83.79,74.08,64.37,39.57,14.77,7.38,0.0
71.44,72.86,74.28,71.67,69.05,69.46,69.86
91.66,91.63,91.6,91.55,91.5,91.77,92.04
93.09,93.08,93.06,93.04,93.03,93.2,93.38
97.07,97.08,97.1,97.2,97.29,97.34,97.39
97.45,97.45,97.45,97.68,97.9,97.77,97.64
87.62,88.24,88.86,88.08,87.3,86.68,86.06
22.99,38.29,53.58,52.36,51.13,49.24,47.36
98.98,99.06,99.14,99.12,99.11,99.02,98.92
62.81,59.92,57.02,54.08,51.13,44.1,37.08
97.23,97.26,97.29,97.29,97.29,97.29,97.29
95.35,95.05,94.75,94.34,93.92,94.19,94.46
93.03,92.42,91.82,92.42,93.03,92.1,91.18
95.03,94.95,94.87,94.65,94.43,94.22,94.02
82.68,82.65,82.62,86.15,89.68,89.75,89.82
89.27,89.22,89.18,89.3,89.43,89.29,89.15
55.56,56.59,57.62,57.76,57.91,36.97,16.04
62.37,68.56,74.75,78.33,81.92,76.66,71.39
80.52,82.06,83.6,81.04,78.48,79.47,80.46
81.03,79.82,78.61,76.76,74.91,72.39,69.86
77.87,75.31,72.75,71.64,70.52,68.26,66.01
69.25,64.09,58.93,50.4,41.87,53.94,66.01
72.84,69.37,65.9,68.21,70.52,67.32,64.13
18.31,22.7,27.09,42.5,57.91,50.44,42.97
84.37,85.93,87.49,85.12,82.74,75.44,68.14
82.43,88.52,94.62,95.66,96.69,95.12,93.54
90.67,87.96,85.26,83.59,81.92,81.19,80.46
9.55,33.73,57.91,59.39,60.87,30.44,0.0
65.23,68.82,72.4,72.05,71.7,69.92,68.14
94.4,94.27,94.14,93.9,93.66,93.08,92.49
0.0,0.0,0.0,0.0,0.0,43.78,87.56
60.14,55.62,51.1,48.76,46.42,48.96,51.5
94.94,94.65,94.36,94.62,94.87,94.56,94.24
48.42,47.78,47.15,27.11,7.07,22.08,37.08
72.46,72.24,72.02,71.27,70.52,68.26,66.01
85.26,77.96,70.65,70.59,70.52,69.33,68.14
92.87,92.29,91.72,91.84,91.95,93.1,94.24
0.0,12.81,25.63,20.2,14.77,15.4,16.04
54.66,57.34,60.01,61.56,63.1,53.04,42.97
59.25,61.32,63.39,46.54,29.7,36.34,42.97
0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.45,25.61,14.77,36.34,57.91,56.52,55.12
63.1,65.71,68.32,70.01,71.7,71.54,71.39
67.46,68.29,69.12,69.08,69.05,67.53,66.01
25.41,28.21,31.01,33.42,35.82,29.99,24.16
84.78,87.92,91.05,89.81,88.57,87.56,86.54
93.0,91.24,89.49,89.46,89.43,90.15,90.87
51.23,49.65,48.07,41.94,35.82,36.45,37.08
60.74,58.28,55.81,59.46,63.1,63.62,64.13
67.56,66.51,65.46,68.58,71.7,63.41,55.12
91.85,89.24,86.63,86.74,86.85,85.26,83.67
82.71,81.99,81.28,83.11,84.94,84.3,83.67
57.02,58.32,59.63,60.25,60.87,58.0,55.12
24.1,23.12,22.13,18.45,14.77,7.38,0.0
77.17,78.08,78.99,77.65,76.31,82.73,89.15
39.54,41.56,43.58,42.72,41.87,48.5,55.12
80.9,83.16,85.42,86.58,87.74,89.09,90.45
96.15,96.08,96.02,96.16,96.31,96.15,95.99
82.39,81.63,80.87,80.99,81.12,80.31,79.5
53.26,48.32,43.39,44.9,46.42,27.51,8.59
19.23,16.24,13.24,10.15,7.07,7.83,8.59
95.26,89.13,83.0,88.19,93.38,93.46,93.54
60.68,58.19,55.71,53.42,51.13,47.05,42.97
88.25,88.74,89.24,89.46,89.68,89.75,89.82
72.62,68.83,65.04,59.98,54.92,55.02,55.12
79.69,65.11,50.53,58.85,67.18,68.52,69.86
83.06,84.8,86.53,87.14,87.74,86.54,85.33
73.19,76.71,80.23,75.38,70.52,62.82,55.12
92.9,92.46,92.01,91.86,91.72,87.36,83.0
68.07,34.03,0.0,25.56,51.13,71.81,92.49
74.24,59.14,44.03,54.81,65.58,73.02,80.46
16.08,30.44,44.79,49.86,54.92,55.02,55.12
86.88,87.0,87.11,87.2,87.3,86.92,86.54
26.01,27.78,29.54,32.68,35.82,22.2,8.59
62.24,55.14,48.04,52.97,57.91,56.52,55.12
87.65,87.76,87.87,87.36,86.85,88.18,89.5
92.07,92.96,93.86,94.11,94.36,95.28,96.21
93.54,93.28,93.03,93.2,93.38,93.64,93.89
89.43,89.2,88.98,89.49,90.0,90.15,90.29
66.06,66.47,66.89,67.04,67.18,64.11,61.04
62.66,63.79,64.92,64.01,63.1,65.62,68.14
86.34,86.14,85.93,86.2,86.47,87.4,88.32
79.62,77.77,75.93,77.2,78.48,79.47,80.46
51.51,50.2,48.9,50.02,51.13,51.32,51.5
78.29,80.22,82.14,81.26,80.39,80.42,80.46
60.9,61.53,62.15,64.66,67.18,69.97,72.76
80.1,79.82,79.53,78.46,77.4,76.82,76.23
82.11,81.84,81.57,80.61,79.66,80.06,80.46
76.92,78.59,80.26,80.69,81.12,81.3,81.48
61.16,61.4,61.64,62.37,63.1,65.62,68.14
11.91,28.18,44.44,43.16,41.87,28.96,16.04
59.12,60.87,62.62,64.1,65.58,65.8,66.01
48.9,42.18,35.47,35.65,35.82,29.99,24.16
67.08,68.34,69.6,68.39,67.18,64.11,61.04
95.13,95.2,95.26,95.45,95.64,95.9,96.15
71.38,69.06,66.73,58.93,51.13,41.14,31.16
62.4,66.07,69.75,71.5,73.26,71.56,69.86
46.51,49.02,51.54,53.23,54.92,51.14,47.36
62.91,67.21,71.51,72.39,73.26,74.74,76.23
96.98,97.01,97.04,97.3,97.55,97.48,97.42
47.6,42.71,37.82,39.84,41.87,44.62,47.36
98.69,98.24,97.8,97.69,97.58,97.08,96.59
30.63,25.27,19.9,21.3,22.7,32.84,42.97
79.34,79.74,80.13,81.44,82.74,83.2,83.67
62.27,59.96,57.66,59.26,60.87,62.5,64.13
82.94,80.5,78.06,79.59,81.12,81.77,82.43
66.41,63.76,61.1,59.5,57.91,56.52,55.12
79.85,80.46,81.06,82.16,83.25,81.38,79.5
64.6,61.65,58.71,63.88,69.05,73.32,77.59
91.12,90.62,90.13,91.04,91.95,92.22,92.49
45.91,47.02,48.14,41.98,35.82,45.47,55.12
70.26,73.55,76.85,78.26,79.66,78.62,77.59
99.08,98.14,97.2,96.1,95.0,94.19,93.38
99.24,99.24,99.24,99.3,99.36,99.26,99.17
66.7,68.7,70.71,68.14,65.58,63.31,61.04
90.7,91.13,91.56,90.62,89.68,89.19,88.7
92.26,92.68,93.09,93.63,94.17,94.46,94.75
40.69,38.4,36.1,38.98,41.87,46.68,51.5
81.73,80.89,80.04,78.72,77.4,77.5,77.59
68.1,67.56,67.02,66.3,65.58,64.85,64.13
50.78,50.78,50.78,46.32,41.87,46.68,51.5
91.88,91.44,90.99,89.78,88.57,88.86,89.15
73.96,74.24,74.53,73.9,73.26,76.38,79.5
92.77,92.71,92.65,92.84,93.03,93.38,93.73
54.06,53.15,52.24,49.33,46.42,48.96,51.5
57.75,62.06,66.38,65.98,65.58,67.72,69.86
80.48,82.26,84.05,78.66,73.26,60.31,47.36
63.48,58.92,54.35,52.74,51.13,51.32,51.5
87.07,86.14,85.2,85.07,84.94,85.14,85.33
73.03,69.76,66.48,64.79,63.1,69.66,76.23
85.16,85.59,86.02,85.48,84.94,83.68,82.43
99.78,99.74,99.71,99.78,99.84,99.82,99.81
91.63,91.48,91.34,91.07,90.8,92.34,93.89
17.61,26.19,34.77,38.32,41.87,33.02,24.16
71.73,72.5,73.26,71.16,69.05,70.9,72.76
95.38,94.65,93.92,93.79,93.66,92.06,90.45
93.28,93.54,93.79,94.4,95.0,95.49,95.99
96.88,96.94,97.01,97.21,97.42,97.56,97.71
94.21,94.27,94.33,94.6,94.87,95.21,95.54
77.94,77.53,77.11,76.01,74.91,75.57,76.23
80.77,80.84,80.9,80.28,79.66,79.58,79.5
90.16,90.21,90.26,90.45,90.64,90.54,90.45
74.21,74.83,75.45,76.42,77.4,80.82,84.25
46.45,46.29,46.13,44.0,41.87,46.68,51.5
87.14,88.24,89.33,88.76,88.19,86.76,85.33
41.61,43.98,46.35,46.38,46.42,46.89,47.36
76.73,76.6,76.47,76.94,77.4,76.82,76.23
79.94,80.34,80.74,81.99,83.25,84.12,84.98
67.91,64.08,60.24,59.08,57.91,56.52,55.12
80.36,79.92,79.47,76.36,73.26,73.01,72.76
46.99,52.69,58.39,52.4,46.42,48.96,51.5
37.41,38.24,39.06,30.88,22.7,19.37,16.04
71.35,70.82,70.3,67.94,65.58,66.86,68.14
37.25,39.05,40.85,27.81,14.77,28.87,42.97
75.77,72.52,69.28,65.07,60.87,56.18,51.5
38.14,43.7,49.25,50.19,51.13,49.24,47.36
54.22,64.01,73.8,77.86,81.92,81.19,80.46
95.83,95.62,95.42,96.16,96.91,97.6,98.28
81.95,78.76,75.58,79.42,83.25,78.92,74.6
0.0,30.92,61.83,51.85,41.87,25.23,8.59
55.3,48.9,42.5,44.46,46.42,46.89,47.36
73.35,76.94,80.52,78.42,76.31,72.23,68.14
79.66,80.66,81.66,81.39,81.12,82.06,83.0
73.32,74.8,76.28,75.6,74.91,73.84,72.76
54.7,48.98,43.27,47.2,51.13,60.5,69.86
71.12,65.71,60.3,53.36,46.42,41.75,37.08
52.02,52.0,51.99,54.95,57.91,59.48,61.04
8.6,17.75,26.9,31.36,35.82,22.2,8.59
19.93,19.52,19.1,20.9,22.7,19.37,16.04
70.46,69.26,68.07,72.74,77.4,66.26,55.12
33.65,47.08,60.52,60.7,60.87,56.18,51.5
64.53,56.16,47.79,38.74,29.7,36.34,42.97
35.12,42.63,50.14,48.28,46.42,35.29,24.16
49.32,47.35,45.37,34.03,22.7,40.67,58.63
74.75,57.36,39.96,53.57,67.18,71.7,76.23
47.44,46.42,45.4,40.61,35.82,22.2,8.59
68.19,67.7,67.21,64.04,60.87,68.55,76.23
69.5,68.16,66.83,67.01,67.18,69.97,72.76
42.44,42.56,42.69,39.26,35.82,33.49,31.16
83.0,84.42,85.83,89.19,92.55,91.5,90.45
76.28,73.59,70.9,69.04,67.18,67.66,68.14
66.22,69.93,73.64,57.76,41.87,42.42,42.97
69.66,68.96,68.26,68.66,69.05,69.46,69.86
82.52,82.7,82.87,82.4,81.92,82.18,82.43
85.04,85.6,86.15,85.0,83.86,81.68,79.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.79,93.34,92.9,92.2,91.5,91.5,91.5
48.81,57.04,65.27,61.59,57.91,33.25,8.59
87.81,88.36,88.92,88.74,88.57,88.44,88.32
71.03,73.67,76.31,77.98,79.66,81.33,83.0
95.67,95.83,95.99,95.7,95.42,95.6,95.77
70.81,71.68,72.56,70.81,69.05,69.46,69.86
72.78,66.27,59.76,60.32,60.87,62.5,64.13
74.37,74.39,74.4,73.83,73.26,73.01,72.76
6.88,6.22,5.57,2.78,0.0,4.3,8.59
32.73,45.68,58.64,52.53,46.42,46.89,47.36
19.1,23.02,26.93,24.82,22.7,23.43,24.16
35.5,38.36,41.23,43.82,46.42,41.75,37.08
42.47,39.5,36.52,33.11,29.7,30.43,31.16
92.2,92.07,91.95,91.84,91.72,91.08,90.45
46.64,52.23,57.82,52.12,46.42,38.79,31.16
46.48,58.5,70.52,71.11,71.7,66.37,61.04
36.55,37.95,39.35,37.58,35.82,43.66,51.5
76.54,75.95,75.36,73.53,71.7,72.23,72.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.06,97.88,97.71,91.32,84.94,83.21,81.48
25.66,32.57,39.48,42.95,46.42,48.96,51.5
70.11,70.86,71.6,71.65,71.7,75.6,79.5
74.15,73.56,72.97,69.27,65.58,65.8,66.01
87.49,85.94,84.4,86.3,88.19,87.6,87.01
60.24,60.59,60.94,56.04,51.13,37.65,24.16
65.55,65.47,65.39,65.48,65.58,64.85,64.13
83.09,83.44,83.79,82.86,81.92,84.23,86.54
85.39,84.26,83.13,81.76,80.39,80.94,81.48
61.57,65.04,68.51,68.78,69.05,69.46,69.86
82.62,81.3,79.97,78.14,76.31,75.46,74.6
83.92,85.21,86.5,87.12,87.74,86.36,84.98
0.0,14.68,29.35,32.58,35.82,29.99,24.16
81.44,78.75,76.06,73.29,70.52,68.26,66.01
91.72,91.76,91.79,92.17,92.55,91.86,91.18
87.77,87.52,87.27,87.5,87.74,87.65,87.56
61.35,72.62,83.89,70.9,57.91,41.04,24.16
95.77,95.7,95.64,95.64,95.64,96.1,96.56
85.74,87.7,89.65,90.44,91.24,90.62,90.01
96.43,96.56,96.69,96.61,96.53,96.5,96.47
33.78,36.99,40.21,27.49,14.77,19.46,24.16
31.45,27.92,24.39,27.04,29.7,19.14,8.59
38.33,34.66,30.98,19.02,7.07,3.54,0.0
48.58,55.22,61.86,58.39,54.92,48.95,42.97
7.93,10.24,12.54,31.84,51.13,67.06,83.0
65.36,67.73,70.11,67.84,65.58,67.72,69.86
68.26,68.21,68.16,65.63,63.1,62.07,61.04
36.49,36.72,36.96,41.69,46.42,48.96,51.5
78.03,78.7,79.37,77.14,74.91,75.57,76.23
68.42,62.46,56.51,51.46,46.42,46.89,47.36
84.3,84.32,84.34,81.41,78.48,60.73,42.97
33.24,30.24,27.25,36.84,46.42,56.22,66.01
68.77,65.73,62.69,73.82,84.94,85.14,85.33
4.84,4.84,4.84,5.96,7.07,11.55,16.04
10.25,8.66,7.07,3.54,0.0,8.02,16.04
8.91,10.68,12.45,9.76,7.07,3.54,0.0
45.75,44.18,42.6,24.83,7.07,3.54,0.0
53.17,47.47,41.77,28.27,14.77,28.87,42.97
51.16,53.65,56.13,35.45,14.77,31.06,47.36
53.36,60.85,68.35,68.7,69.05,62.08,55.12
0.0,13.98,27.95,25.33,22.7,26.93,31.16
80.23,75.82,71.41,75.54,79.66,76.21,72.76
60.33,62.6,64.88,59.9,54.92,48.95,42.97
71.31,69.34,67.37,65.24,63.1,55.23,47.36
48.26,49.84,51.42,48.92,46.42,35.29,24.16
24.55,22.49,20.44,17.6,14.77,11.68,8.59
68.83,65.47,62.11,51.99,41.87,50.25,58.63
67.18,68.96,70.74,68.96,67.18,64.11,61.04
86.12,79.82,73.51,80.62,87.74,78.8,69.86
26.46,21.9,17.35,12.21,7.07,3.54,0.0
25.5,12.75,0.0,0.0,0.0,0.0,0.0
52.34,61.51,70.68,69.86,69.05,67.53,66.01
