2014 SVI Multi-Unit Structures Data and Encoding,2015 SVI Multi-Unit Structures Data and Encoding,2016 SVI Multi-Unit Structures Data and Encoding,2017 SVI Multi-Unit Structures Data and Encoding,2018 SVI Multi-Unit Structures Data and Encoding,2019 SVI Multi-Unit Structures Data and Encoding,2020 SVI Multi-Unit Structures Data and Encoding
5.6,5.33,5.06,4.47,3.88,1.94,0.0
47.79,43.72,39.64,42.06,44.48,48.56,52.64
87.27,87.52,87.77,87.94,88.12,88.3,88.48
42.92,44.35,45.78,35.78,25.79,28.36,30.94
36.13,34.0,31.87,27.02,22.16,20.12,18.08
38.43,33.78,29.13,29.46,29.8,29.44,29.09
81.15,82.71,84.27,85.02,85.77,85.79,85.81
30.53,29.88,29.23,25.7,22.16,23.9,25.65
82.62,82.84,83.06,83.68,84.3,84.68,85.07
73.13,73.11,73.1,72.24,71.38,69.49,67.6
61.25,67.1,72.94,63.72,54.5,35.17,15.85
23.46,29.04,34.61,30.2,25.79,27.44,29.09
66.22,69.86,73.51,67.48,61.45,67.15,72.85
30.02,30.28,30.53,30.16,29.8,26.83,23.87
66.7,67.05,67.4,60.36,53.33,58.74,64.16
38.24,35.82,33.4,32.7,32.0,27.94,23.87
81.92,82.03,82.14,81.86,81.57,81.51,81.44
85.8,85.68,85.55,79.87,74.18,69.6,65.02
32.38,37.65,42.92,42.32,41.71,41.39,41.06
58.45,60.16,61.86,58.18,54.5,54.86,55.22
94.62,95.04,95.45,95.48,95.51,95.46,95.42
17.92,14.18,10.44,13.99,17.54,15.5,13.46
4.17,3.44,2.71,1.36,0.0,0.0,0.0
12.73,11.0,9.26,6.57,3.88,1.94,0.0
14.96,18.37,21.78,28.8,35.82,30.74,25.65
41.58,47.79,54.0,57.09,60.17,56.4,52.64
92.17,94.08,95.99,95.96,95.92,96.86,97.8
92.23,91.28,90.32,90.45,90.58,90.16,89.75
63.87,62.56,61.25,59.56,57.88,58.63,59.39
42.69,39.2,35.72,36.48,37.25,31.45,25.65
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.11,38.49,36.87,40.67,44.48,50.44,56.4
38.46,39.97,41.48,42.32,43.17,47.38,51.59
84.34,83.34,82.33,81.54,80.74,81.48,82.21
49.67,47.88,46.1,28.99,11.88,10.96,10.03
34.64,22.97,11.3,9.87,8.44,10.95,13.46
89.11,88.89,88.67,89.93,91.18,92.55,93.92
51.67,54.22,56.77,53.12,49.47,47.46,45.45
95.22,94.5,93.79,93.26,92.74,91.88,91.02
83.03,86.18,89.33,89.12,88.92,88.86,88.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.25,3.41,3.57,3.14,2.71,3.56,4.42
37.47,38.68,39.89,37.85,35.82,36.9,37.97
67.72,60.28,52.85,51.83,50.81,48.13,45.45
89.56,88.64,87.71,87.47,87.23,87.25,87.27
73.61,74.78,75.96,77.41,78.86,77.48,76.1
56.61,58.32,60.04,62.02,63.99,62.24,60.5
54.22,49.46,44.7,42.54,40.37,48.38,56.4
65.71,70.07,74.43,72.9,71.38,73.74,76.1
64.34,57.92,51.51,33.32,15.12,14.29,13.46
32.31,32.98,33.65,40.21,46.77,46.79,46.82
72.84,67.75,62.66,51.52,40.37,36.49,32.62
60.62,64.44,68.26,60.14,52.02,41.48,30.94
6.11,7.4,8.69,8.57,8.44,9.24,10.03
14.33,13.82,13.31,11.83,10.35,10.19,10.03
82.3,81.63,80.96,79.33,77.71,76.19,74.67
86.02,84.86,83.7,82.4,81.09,82.92,84.75
32.25,27.89,23.53,19.32,15.12,15.48,15.85
44.6,47.16,49.73,47.74,45.75,44.1,42.46
40.62,31.42,22.22,22.19,22.16,22.17,22.18
26.14,23.54,20.95,21.56,22.16,20.12,18.08
94.91,94.77,94.62,94.72,94.81,94.62,94.43
65.62,64.82,64.02,63.67,63.32,64.17,65.02
32.03,28.72,25.41,27.6,29.8,28.4,26.99
94.11,94.03,93.95,93.44,92.93,92.82,92.71
38.84,39.02,39.19,39.78,40.37,40.72,41.06
77.49,73.86,70.23,70.07,69.91,58.36,46.82
56.54,56.7,56.86,54.44,52.02,54.21,56.4
73.35,71.33,69.31,68.37,67.43,63.96,60.5
52.85,49.38,45.91,40.86,35.82,39.92,44.02
28.81,23.91,19.01,29.01,39.0,32.99,26.99
46.96,47.82,48.68,51.0,53.33,52.98,52.64
75.93,76.3,76.66,77.92,79.18,80.52,81.86
42.63,46.29,49.95,49.71,49.47,45.96,42.46
57.56,56.48,55.4,49.28,43.17,28.32,13.46
8.09,5.58,3.06,1.53,0.0,2.9,5.79
18.66,23.16,27.67,32.46,37.25,41.35,45.45
57.69,63.64,69.6,69.17,68.74,65.62,62.51
76.35,76.54,76.73,73.32,69.91,72.58,75.24
37.6,29.48,21.36,23.58,25.79,22.81,19.83
20.28,22.48,24.67,16.56,8.44,7.76,7.07
28.53,18.62,8.72,7.82,6.91,6.99,7.07
81.69,78.84,75.99,69.66,63.32,60.35,57.38
19.07,23.64,28.21,33.61,39.0,44.06,49.11
84.37,84.8,85.23,85.62,86.02,83.94,81.86
43.52,46.26,49.0,46.08,43.17,48.52,53.88
63.51,63.98,64.44,69.48,74.53,75.57,76.61
11.97,17.51,23.05,24.42,25.79,23.98,22.18
51.16,39.89,28.62,23.08,17.54,31.5,45.45
19.58,23.98,28.37,27.08,25.79,38.69,51.59
80.42,76.98,73.54,72.92,72.3,71.23,70.15
91.12,90.3,89.49,87.76,86.02,86.28,86.54
10.09,15.17,20.25,22.2,24.16,20.0,15.85
18.5,19.26,20.03,16.86,13.69,13.57,13.46
77.27,79.42,81.57,81.16,80.74,81.09,81.44
20.95,27.36,33.78,43.56,53.33,56.92,60.5
47.6,48.04,48.49,48.25,48.01,52.2,56.4
41.36,41.5,41.64,33.72,25.79,25.72,25.65
18.12,17.53,16.94,18.26,19.58,19.71,19.83
37.06,36.2,35.34,37.17,39.0,32.33,25.65
48.39,41.99,35.59,40.67,45.75,44.88,44.02
11.33,12.83,14.33,12.34,10.35,10.19,10.03
30.72,32.44,34.16,26.87,19.58,16.52,13.46
77.65,78.84,80.04,79.94,79.85,80.64,81.44
35.85,36.38,36.9,41.84,46.77,44.62,42.46
4.58,3.48,2.39,3.14,3.88,9.86,15.85
53.9,53.42,52.94,54.9,56.86,53.75,50.64
34.16,35.1,36.04,36.65,37.25,26.55,15.85
14.01,12.88,11.75,11.82,11.88,13.86,15.85
32.95,40.22,47.5,42.37,37.25,20.84,4.42
13.37,13.04,12.7,17.43,22.16,23.9,25.65
33.75,37.76,41.77,41.74,41.71,36.33,30.94
28.62,31.96,35.31,30.55,25.79,22.81,19.83
16.21,17.65,19.1,19.34,19.58,19.71,19.83
82.14,82.89,83.64,83.67,83.7,82.18,80.65
10.38,18.44,26.49,29.24,32.0,40.56,49.11
43.43,40.21,36.99,32.48,27.98,38.13,48.28
12.38,11.62,10.86,14.2,17.54,14.71,11.87
4.84,4.28,3.72,11.65,19.58,27.9,36.22
22.54,18.21,13.88,18.02,22.16,21.0,19.83
43.9,34.43,24.96,23.56,22.16,21.0,19.83
4.9,3.92,2.93,4.22,5.51,6.29,7.07
51.1,56.6,62.11,60.71,59.31,55.97,52.64
13.63,11.06,8.5,11.1,13.69,14.77,15.85
24.23,22.96,21.68,18.4,15.12,16.6,18.08
45.56,44.67,43.78,42.08,40.37,45.98,51.59
63.48,60.14,56.8,58.48,60.17,55.4,50.64
14.52,14.08,13.63,14.37,15.12,24.9,34.69
95.07,94.6,94.14,93.88,93.63,93.52,93.41
11.68,12.43,13.18,12.53,11.88,12.67,13.46
43.55,46.13,48.71,47.74,46.77,48.7,50.64
58.58,59.5,60.43,61.87,63.32,65.46,67.6
31.61,33.56,35.5,27.54,19.58,24.34,29.09
36.68,33.16,29.64,25.9,22.16,21.0,19.83
85.58,85.78,85.99,86.26,86.53,85.26,83.99
12.29,12.66,13.02,9.26,5.51,8.69,11.87
29.23,23.13,17.03,22.5,27.98,21.92,15.85
27.92,24.48,21.04,21.6,22.16,17.02,11.87
28.24,29.05,29.86,26.01,22.16,27.39,32.62
58.29,60.85,63.42,67.4,71.38,71.37,71.36
95.99,95.9,95.8,95.59,95.38,94.62,93.86
72.87,73.98,75.1,74.09,73.07,73.22,73.36
37.28,34.52,31.77,36.74,41.71,44.26,46.82
34.22,40.67,47.12,42.18,37.25,48.88,60.5
98.34,98.31,98.28,98.24,98.19,98.17,98.15
99.27,99.08,98.89,98.81,98.73,98.76,98.79
48.93,49.0,49.06,49.93,50.81,59.66,68.52
81.63,82.56,83.48,82.28,81.09,81.98,82.88
27.54,26.28,25.02,23.59,22.16,24.57,26.99
67.05,64.32,61.6,54.18,46.77,40.73,34.69
92.07,92.02,91.98,91.94,91.91,91.96,92.01
66.32,61.62,56.92,55.12,53.33,56.36,59.39
64.06,64.81,65.55,67.14,68.74,68.17,67.6
84.11,82.94,81.76,80.94,80.13,81.84,83.55
64.41,66.32,68.23,65.32,62.4,69.5,76.61
66.25,63.67,61.1,62.55,63.99,64.5,65.02
78.51,77.06,75.61,75.52,75.42,76.81,78.2
69.72,68.08,66.44,63.95,61.45,51.26,41.06
69.95,69.96,69.98,70.68,71.38,72.11,72.85
76.76,77.64,78.51,77.88,77.24,77.72,78.2
39.45,38.97,38.49,43.25,48.01,48.56,49.11
76.31,69.69,63.07,58.78,54.5,54.86,55.22
99.11,99.08,99.04,99.02,99.01,99.0,98.98
44.35,46.06,47.76,48.61,49.47,51.05,52.64
94.27,93.92,93.57,93.4,93.22,92.62,92.01
25.34,25.94,26.55,31.9,37.25,43.18,49.11
68.61,66.19,63.77,63.08,62.4,61.95,61.49
62.78,62.05,61.32,60.74,60.17,62.17,64.16
16.17,13.55,10.92,22.42,33.91,38.96,44.02
96.47,95.8,95.13,93.57,92.01,92.54,93.06
88.7,88.92,89.14,88.71,88.28,88.14,88.0
85.13,85.0,84.88,85.18,85.48,86.14,86.79
59.03,60.0,60.97,60.57,60.17,60.34,60.5
97.58,97.55,97.52,97.44,97.36,97.32,97.29
79.21,79.09,78.96,79.54,80.13,80.39,80.65
35.37,35.75,36.13,32.06,27.98,31.34,34.69
83.09,83.32,83.54,82.92,82.3,81.87,81.44
93.16,93.12,93.09,92.85,92.61,92.39,92.17
54.44,56.62,58.8,56.65,54.5,49.98,45.45
85.61,85.9,86.18,85.98,85.77,86.39,87.01
98.22,98.14,98.06,98.09,98.12,98.06,97.99
99.68,99.7,99.71,99.7,99.68,99.7,99.71
84.56,84.46,84.37,84.34,84.3,84.15,83.99
76.19,76.24,76.28,76.06,75.84,74.92,74.0
97.9,97.88,97.87,97.86,97.84,97.86,97.87
92.52,92.54,92.55,92.88,93.22,93.32,93.41
98.15,98.2,98.25,98.25,98.25,98.28,98.31
84.24,85.3,86.37,85.59,84.81,84.59,84.37
69.5,69.84,70.17,68.36,66.54,66.56,66.58
33.46,34.64,35.82,38.77,41.71,34.35,26.99
62.08,59.32,56.57,55.54,54.5,53.05,51.59
85.9,85.86,85.83,85.32,84.81,85.42,86.03
86.66,86.44,86.21,85.84,85.48,86.01,86.54
80.13,80.24,80.36,79.44,78.51,79.07,79.63
86.5,85.8,85.1,84.7,84.3,84.15,83.99
47.47,47.79,48.11,44.91,41.71,38.97,36.22
22.89,19.4,15.92,15.52,15.12,15.48,15.85
59.31,59.18,59.06,62.39,65.71,68.54,71.36
44.67,43.78,42.88,42.3,41.71,42.08,42.46
89.05,89.22,89.4,89.35,89.3,89.13,88.96
94.56,94.4,94.24,94.51,94.78,95.02,95.26
74.98,74.63,74.28,74.68,75.07,76.41,77.75
95.61,95.58,95.54,95.46,95.38,94.97,94.56
72.11,75.79,79.47,78.59,77.71,81.87,86.03
98.79,98.74,98.69,98.62,98.54,98.48,98.41
44.32,47.93,51.54,53.02,54.5,52.57,50.64
15.54,15.89,16.24,22.11,27.98,32.98,37.97
15.15,13.36,11.56,10.96,10.35,19.72,29.09
96.53,96.52,96.5,96.62,96.75,96.72,96.69
97.64,97.9,98.15,98.39,98.63,98.58,98.54
28.72,29.07,29.42,37.58,45.75,42.62,39.5
7.58,9.26,10.95,10.65,10.35,8.07,5.79
76.22,76.2,76.19,73.42,70.65,65.58,60.5
25.79,24.16,22.54,29.9,37.25,29.72,22.18
3.5,5.88,8.25,8.34,8.44,8.55,8.66
5.32,5.51,5.7,17.75,29.8,40.22,50.64
18.72,18.64,18.56,18.05,17.54,13.78,10.03
29.89,35.99,42.09,38.96,35.82,29.84,23.87
99.59,99.59,99.59,99.6,99.62,99.62,99.62
0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,88.14,88.28,88.95,89.62,90.53,91.44
99.01,99.06,99.11,99.04,98.98,99.09,99.2
7.07,6.5,5.92,8.14,10.35,6.75,3.15
93.12,92.82,92.52,92.26,92.01,91.8,91.6
44.51,49.92,55.33,55.52,55.71,54.18,52.64
79.72,79.09,78.45,79.15,79.85,81.2,82.56
78.64,77.27,75.9,74.69,73.48,64.35,55.22
96.12,96.01,95.89,95.73,95.57,95.6,95.64
91.56,90.96,90.35,88.6,86.85,87.78,88.7
0.0,0.0,0.0,1.94,3.88,4.15,4.42
32.89,29.07,25.25,24.7,24.16,16.41,8.66
0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.54,95.44,95.35,95.08,94.81,94.51,94.21
34.0,36.57,39.13,37.48,35.82,43.23,50.64
65.11,61.29,57.47,53.47,49.47,43.72,37.97
79.24,78.89,78.54,77.89,77.24,72.23,67.22
82.2,83.22,84.24,84.12,83.99,83.43,82.88
89.3,89.62,89.94,90.48,91.02,90.66,90.29
48.46,44.92,41.39,42.28,43.17,37.06,30.94
46.1,49.4,52.69,54.2,55.71,62.93,70.15
75.8,75.53,75.26,78.6,81.95,81.3,80.65
74.28,73.18,72.08,72.19,72.3,72.16,72.02
0.0,0.0,0.0,2.76,5.51,6.29,7.07
79.53,80.77,82.01,83.74,85.48,86.14,86.79
23.05,24.2,25.34,30.58,35.82,36.9,37.97
64.18,62.96,61.73,60.95,60.17,52.81,45.45
79.47,79.27,79.08,80.08,81.09,79.09,77.08
60.2,57.32,54.44,62.55,70.65,71.01,71.36
12.1,21.96,31.81,26.98,22.16,16.1,10.03
2.55,2.51,2.48,1.24,0.0,0.0,0.0
51.83,47.77,43.71,35.84,27.98,19.92,11.87
98.76,98.87,98.98,98.95,98.92,98.49,98.06
74.37,68.3,62.24,48.08,33.91,51.01,68.11
80.58,81.66,82.74,82.94,83.13,83.34,83.55
84.75,81.66,78.57,76.82,75.07,70.82,66.58
64.02,65.55,67.08,63.2,59.31,51.66,44.02
97.74,97.79,97.84,97.95,98.06,98.09,98.12
13.47,8.77,4.08,2.04,0.0,2.21,4.42
94.97,95.64,96.31,95.84,95.38,96.48,97.58
98.6,98.72,98.85,98.87,98.89,98.9,98.92
47.18,52.21,57.24,62.99,68.74,68.63,68.52
99.78,99.76,99.75,99.75,99.75,99.72,99.68
33.01,30.05,27.09,35.13,43.17,44.31,45.45
25.15,29.34,33.52,23.6,13.69,18.78,23.87
82.9,82.6,82.3,80.86,79.43,78.59,77.75
52.21,57.08,61.95,62.18,62.4,48.54,34.69
93.51,93.38,93.25,93.66,94.08,94.32,94.56
94.68,94.62,94.56,94.32,94.08,94.0,93.92
71.03,71.12,71.22,70.94,70.65,69.38,68.11
87.07,86.78,86.5,86.14,85.77,86.76,87.75
93.92,93.95,93.98,93.96,93.95,93.58,93.22
85.67,85.78,85.9,85.42,84.94,84.12,83.29
81.66,82.17,82.68,83.1,83.51,82.26,81.0
68.23,68.27,68.32,66.54,64.76,64.46,64.16
81.09,81.28,81.47,80.86,80.26,80.85,81.44
93.57,93.48,93.38,93.5,93.63,93.7,93.76
73.8,73.61,73.42,71.4,69.37,67.61,65.85
99.87,99.87,99.87,99.87,99.87,99.87,99.87
97.45,97.5,97.55,97.66,97.77,97.82,97.87
7.0,8.52,10.03,8.47,6.91,5.66,4.42
97.96,97.93,97.9,97.71,97.52,97.4,97.29
53.55,53.6,53.65,54.08,54.5,52.57,50.64
92.8,92.5,92.2,92.26,92.33,91.96,91.6
99.62,99.58,99.55,99.55,99.55,99.54,99.52
3.85,3.56,3.28,3.0,2.71,4.25,5.79
88.41,87.79,87.17,86.6,86.02,85.7,85.39
29.74,35.14,40.53,41.85,43.17,36.13,29.09
71.41,69.08,66.76,66.24,65.71,63.6,61.49
99.33,99.32,99.3,99.22,99.14,99.08,99.01
66.35,61.22,56.1,58.14,60.17,60.34,60.5
37.03,36.1,35.18,24.44,13.69,17.94,22.18
13.69,14.3,14.9,15.01,15.12,15.48,15.85
97.1,97.08,97.07,96.88,96.69,96.8,96.91
91.53,90.75,89.97,89.86,89.75,89.91,90.07
85.77,85.15,84.53,84.12,83.7,81.66,79.63
17.77,14.9,12.03,22.02,32.0,34.98,37.97
15.44,14.14,12.83,13.97,15.12,19.5,23.87
5.41,4.38,3.34,3.02,2.71,5.68,8.66
13.15,12.83,12.51,9.71,6.91,3.45,0.0
28.02,25.33,22.64,24.22,25.79,33.43,41.06
3.6,3.76,3.92,3.9,3.88,9.86,15.85
41.48,49.78,58.07,58.69,59.31,50.89,42.46
17.61,19.76,21.9,20.74,19.58,23.28,26.99
37.25,38.68,40.11,43.44,46.77,49.18,51.59
56.38,55.62,54.86,52.16,49.47,45.96,42.46
96.98,96.86,96.75,96.5,96.24,96.32,96.4
14.84,11.32,7.8,9.07,10.35,8.07,5.79
93.86,94.62,95.38,95.1,94.81,94.62,94.43
31.81,28.19,24.58,19.85,15.12,15.48,15.85
24.67,14.64,4.62,2.31,0.0,2.21,4.42
18.05,32.75,47.44,44.58,41.71,26.79,11.87
77.91,77.43,76.95,75.74,74.53,74.6,74.67
96.21,95.92,95.64,95.78,95.92,95.89,95.86
96.59,96.88,97.17,97.22,97.26,97.22,97.17
22.51,22.06,21.62,23.7,25.79,22.81,19.83
0.0,2.18,4.36,6.4,8.44,12.14,15.85
27.41,27.22,27.03,28.42,29.8,22.82,15.85
93.31,93.18,93.06,93.14,93.22,92.96,92.71
54.89,53.34,51.8,49.9,48.01,51.62,55.22
95.8,95.54,95.29,94.68,94.08,93.74,93.41
99.75,99.76,99.78,99.78,99.78,99.78,99.78
91.24,91.54,91.85,91.93,92.01,91.94,91.88
81.76,80.82,79.88,78.1,76.31,75.49,74.67
95.45,95.58,95.7,95.88,96.05,95.99,95.93
26.87,25.23,23.59,23.88,24.16,31.83,39.5
98.41,98.32,98.22,98.18,98.15,98.09,98.03
95.77,95.37,94.97,94.3,93.63,93.24,92.84
98.98,98.95,98.92,98.88,98.85,98.8,98.76
75.58,76.89,78.19,77.46,76.73,76.42,76.1
98.92,98.86,98.79,98.78,98.76,98.66,98.57
73.89,72.93,71.98,71.68,71.38,71.06,70.75
46.51,46.06,45.62,46.2,46.77,43.14,39.5
88.92,88.95,88.98,88.28,87.58,86.48,85.39
92.33,92.5,92.68,92.34,92.01,90.93,89.85
72.21,67.49,62.78,61.04,59.31,58.34,57.38
96.56,96.54,96.53,96.46,96.4,95.97,95.54
95.51,95.35,95.19,94.81,94.43,93.92,93.41
26.74,27.89,29.04,31.48,33.91,40.36,46.82
45.85,41.85,37.85,39.11,40.37,35.66,30.94
37.85,32.26,26.68,28.24,29.8,23.94,18.08
23.27,33.22,43.17,31.37,19.58,29.54,39.5
94.33,94.33,94.33,93.98,93.63,93.17,92.71
13.18,14.83,16.49,15.8,15.12,9.14,3.15
98.19,97.93,97.68,97.7,97.71,97.48,97.26
16.94,20.62,24.29,19.71,15.12,9.77,4.42
3.79,4.95,6.11,6.51,6.91,13.37,19.83
34.77,31.0,27.22,28.51,29.8,30.37,30.94
9.68,9.9,10.12,12.62,15.12,10.46,5.79
5.09,4.14,3.18,3.53,3.88,3.52,3.15
68.04,71.68,75.33,72.62,69.91,66.21,62.51
13.24,10.24,7.23,6.37,5.51,7.77,10.03
17.54,20.31,23.08,24.44,25.79,26.39,26.99
63.99,64.74,65.49,70.28,75.07,73.22,71.36
50.02,47.09,44.16,39.99,35.82,35.26,34.69
21.81,16.48,11.14,10.74,10.35,9.5,8.66
86.6,87.82,89.05,88.54,88.03,88.84,89.66
34.61,35.4,36.2,29.18,22.16,23.02,23.87
19.74,15.63,11.52,7.7,3.88,4.15,4.42
10.51,11.99,13.47,24.64,35.82,39.92,44.02
33.87,38.55,43.23,38.57,33.91,36.7,39.5
88.73,87.98,87.23,86.36,85.48,84.74,83.99
22.38,13.3,4.23,5.57,6.91,6.99,7.07
34.45,31.86,29.26,26.71,24.16,18.02,11.87
46.23,43.19,40.15,40.93,41.71,38.97,36.22
71.79,71.46,71.12,69.66,68.19,65.74,63.3
28.94,20.41,11.88,11.88,11.88,17.88,23.87
71.16,70.9,70.65,69.69,68.74,66.45,64.16
50.97,44.44,37.92,37.58,37.25,39.16,41.06
0.0,4.9,9.81,10.08,10.35,11.9,13.46
89.33,89.89,90.45,90.82,91.18,91.1,91.02
53.71,42.84,31.96,28.88,25.79,38.69,51.59
31.93,31.16,30.4,37.44,44.48,45.65,46.82
79.78,80.1,80.42,80.34,80.26,81.7,83.13
98.06,98.0,97.93,97.34,96.75,97.08,97.42
17.57,18.64,19.71,18.62,17.54,34.09,50.64
92.26,92.18,92.1,92.01,91.91,91.4,90.9
29.96,19.78,9.61,7.56,5.51,20.1,34.69
95.64,95.62,95.61,95.59,95.57,95.52,95.48
19.96,17.54,15.12,18.64,22.16,29.19,36.22
61.38,57.76,54.15,50.46,46.77,39.7,32.62
56.7,58.07,59.44,61.72,63.99,64.07,64.16
5.92,6.6,7.29,8.82,10.35,28.58,46.82
73.48,74.78,76.09,76.9,77.71,77.51,77.31
13.91,14.31,14.71,10.81,6.91,13.37,19.83
40.53,41.2,41.87,46.94,52.02,47.24,42.46
16.11,21.32,26.52,28.16,29.8,36.91,44.02
31.58,24.88,18.18,27.72,37.25,39.16,41.06
39.0,37.26,35.53,32.66,29.8,25.99,22.18
98.54,98.54,98.54,98.48,98.41,98.3,98.19
14.87,21.18,27.48,30.7,33.91,22.89,11.87
7.26,11.84,16.43,14.16,11.88,5.94,0.0
66.92,65.55,64.18,67.04,69.91,67.46,65.02
89.37,88.65,87.93,87.47,87.01,85.93,84.85
9.74,9.3,8.85,9.6,10.35,7.38,4.42
71.6,69.54,67.49,53.93,40.37,23.72,7.07
40.91,38.08,35.24,39.2,43.17,43.59,44.02
36.74,34.2,31.65,28.72,25.79,30.24,34.69
14.93,13.45,11.97,13.55,15.12,11.89,8.66
26.81,28.48,30.15,22.64,15.12,15.48,15.85
15.22,17.45,19.68,25.84,32.0,44.69,57.38
68.77,69.36,69.95,66.97,63.99,65.28,66.58
75.29,75.16,75.04,75.23,75.42,75.76,76.1
43.3,43.42,43.55,49.63,55.71,58.1,60.5
28.75,27.4,26.04,21.79,17.54,16.7,15.85
99.46,99.46,99.46,99.43,99.4,99.42,99.43
20.47,21.66,22.86,25.42,27.98,28.54,29.09
24.04,19.44,14.84,11.64,8.44,10.15,11.87
85.0,85.84,86.69,85.65,84.62,83.03,81.44
69.37,70.42,71.47,73.45,75.42,77.16,78.9
17.19,22.86,28.53,31.22,33.91,33.26,32.62
21.01,30.2,39.38,38.32,37.25,42.76,48.28
90.35,90.29,90.23,90.99,91.75,91.93,92.11
38.55,37.58,36.61,31.2,25.79,26.39,26.99
84.81,84.03,83.25,83.62,83.99,84.69,85.39
51.13,52.18,53.23,48.2,43.17,42.12,41.06
14.65,19.6,24.55,28.28,32.0,38.72,45.45
19.64,25.06,30.47,22.08,13.69,15.88,18.08
7.7,11.18,14.65,14.88,15.12,25.67,36.22
7.64,11.46,15.28,18.72,22.16,23.02,23.87
80.39,81.41,82.43,82.19,81.95,82.42,82.88
62.62,63.22,63.83,66.6,69.37,69.39,69.41
3.18,8.37,13.56,11.0,8.44,4.22,0.0
40.56,40.76,40.97,34.48,27.98,32.1,36.22
3.02,3.8,4.58,5.04,5.51,4.33,3.15
0.0,4.11,8.21,20.1,32.0,27.94,23.87
14.74,13.55,12.35,8.12,3.88,9.86,15.85
0.0,0.0,0.0,0.0,0.0,4.33,8.66
8.79,20.94,33.08,43.79,54.5,56.94,59.39
25.57,20.94,16.3,11.6,6.91,9.39,11.87
11.43,17.5,23.56,19.34,15.12,26.54,37.97
33.97,31.02,28.08,32.66,37.25,33.17,29.09
16.43,17.11,17.8,16.46,15.12,16.6,18.08
18.78,26.82,34.86,33.43,32.0,31.47,30.94
58.9,61.68,64.47,68.98,73.48,74.79,76.1
6.3,5.24,4.17,3.44,2.71,1.36,0.0
16.84,19.15,21.46,19.5,17.54,19.86,22.18
80.99,81.2,81.41,80.63,79.85,79.85,79.85
48.71,45.56,42.41,43.44,44.48,41.22,37.97
49.63,55.12,60.62,64.68,68.74,63.06,57.38
47.12,40.72,34.32,34.12,33.91,48.21,62.51
36.99,35.74,34.48,30.14,25.79,19.62,13.46
2.83,3.07,3.31,3.01,2.71,1.36,0.0
37.41,43.38,49.35,44.86,40.37,47.8,55.22
38.97,40.78,42.6,54.57,66.54,66.56,66.58
16.59,16.86,17.13,11.32,5.51,8.69,11.87
