2014 SVI No Vehicle Data and Encoding,2015 SVI No Vehicle Data and Encoding,2016 SVI No Vehicle Data and Encoding,2017 SVI No Vehicle Data and Encoding,2018 SVI No Vehicle Data and Encoding,2019 SVI No Vehicle Data and Encoding,2020 SVI No Vehicle Data and Encoding
67.53,72.94,78.35,72.68,67.02,65.56,64.1
62.97,62.26,61.54,59.71,57.88,54.21,50.54
38.2,41.78,45.37,43.81,42.25,41.64,41.02
86.85,86.47,86.09,87.74,89.4,86.06,82.72
82.23,82.72,83.22,82.62,82.01,79.37,76.73
23.62,24.96,26.3,26.64,26.97,27.25,27.53
57.15,51.26,45.37,43.1,40.82,48.67,56.52
34.8,29.1,23.4,21.56,19.71,22.73,25.75
49.32,51.36,53.39,53.9,54.41,48.61,42.81
74.12,79.83,85.55,88.64,91.72,86.14,80.55
51.29,53.87,56.45,69.96,83.48,76.48,69.48
24.99,22.68,20.38,18.74,17.1,25.61,34.12
8.44,8.58,8.72,9.9,11.08,10.68,10.28
52.98,51.66,50.33,49.4,48.46,44.74,41.02
84.59,89.0,93.41,90.44,87.46,85.46,83.45
57.15,45.94,34.73,42.37,50.02,51.12,52.23
36.52,46.48,56.45,49.35,42.25,48.59,54.93
98.22,98.0,97.77,98.16,98.54,98.03,97.52
44.51,51.26,58.01,63.15,68.29,68.88,69.48
36.52,52.93,69.34,76.94,84.53,74.32,64.1
8.44,8.15,7.86,7.84,7.83,10.2,12.57
15.79,23.54,31.3,36.78,42.25,45.74,49.24
75.17,66.59,58.01,50.13,42.25,34.89,27.53
54.6,58.07,61.54,64.91,68.29,75.26,82.24
61.76,66.79,71.82,73.4,74.98,71.78,68.59
20.73,19.14,17.54,18.62,19.71,22.73,25.75
93.54,92.9,92.26,92.77,93.28,93.4,93.51
78.83,78.11,77.4,72.84,68.29,66.92,65.56
97.17,96.3,95.42,94.74,94.05,92.79,91.53
95.16,96.08,97.01,97.71,98.41,98.12,97.84
51.29,41.3,31.3,47.78,64.25,72.87,81.48
32.73,33.73,34.73,34.27,33.81,33.97,34.12
24.99,24.98,24.96,34.66,44.35,48.99,53.63
22.03,29.14,36.26,33.19,30.12,30.34,30.55
68.64,71.69,74.75,75.3,75.84,75.58,75.33
8.44,6.53,4.62,5.08,5.54,8.46,11.39
19.33,15.97,12.61,20.54,28.46,26.22,23.97
67.53,69.01,70.49,70.25,70.01,76.12,82.24
38.2,36.47,34.73,43.08,51.42,52.52,53.63
75.96,78.96,81.95,81.1,80.26,50.06,19.86
40.18,41.02,41.87,33.75,25.63,29.87,34.12
29.74,39.26,48.77,42.24,35.72,49.91,64.1
82.84,80.6,78.35,67.3,56.26,53.4,50.54
69.79,77.02,84.24,87.82,91.4,89.2,87.01
47.63,51.29,54.95,45.34,35.72,39.97,44.21
91.66,91.5,91.34,88.82,86.31,86.66,87.01
44.51,48.22,51.93,51.68,51.42,50.33,49.24
99.04,98.63,98.22,98.46,98.69,98.94,99.2
91.09,87.66,84.24,84.38,84.53,61.94,39.34
55.78,55.36,54.95,68.21,81.47,75.48,69.48
60.17,54.47,48.77,40.39,32.0,35.67,39.34
32.73,36.3,39.86,32.03,24.2,27.38,30.55
20.73,19.9,19.07,31.71,44.35,36.72,29.09
31.36,39.35,47.34,53.88,60.43,59.28,58.12
85.23,78.53,71.82,74.88,77.94,80.33,82.72
87.71,85.74,83.76,86.8,89.84,89.0,88.16
98.82,98.22,97.61,97.14,96.66,96.45,96.24
19.33,34.83,50.33,49.4,48.46,29.37,10.28
91.09,85.9,80.71,68.48,56.26,47.0,37.75
20.73,14.72,8.72,14.93,21.14,19.29,17.44
89.78,88.49,87.2,88.3,89.4,91.76,94.11
32.73,28.84,24.96,39.68,54.41,59.98,65.56
97.42,97.92,98.41,98.65,98.89,98.8,98.7
32.73,37.3,41.87,39.51,37.15,34.8,32.46
78.83,77.72,76.6,72.45,68.29,69.52,70.75
29.74,36.66,43.58,52.78,61.99,49.87,37.75
38.2,40.03,41.87,44.32,46.77,43.9,41.02
52.98,55.5,58.01,61.13,64.25,40.14,16.04
67.53,69.01,70.49,71.36,72.24,73.06,73.87
78.83,71.54,64.25,58.6,52.94,43.53,34.12
93.82,93.96,94.11,95.51,96.91,97.34,97.77
17.13,16.68,16.24,18.69,21.14,25.85,30.55
65.97,75.1,84.24,83.86,83.48,83.1,82.72
57.15,51.26,45.37,58.24,71.12,73.23,75.33
68.64,71.69,74.75,69.5,64.25,64.18,64.1
40.18,35.74,31.3,28.46,25.63,32.48,39.34
55.78,48.82,41.87,33.04,24.2,38.92,53.63
49.32,45.6,41.87,33.75,25.63,36.64,47.64
52.98,52.46,51.93,42.87,33.81,28.89,23.97
34.8,40.08,45.37,48.4,51.42,55.42,59.42
49.32,49.82,50.33,52.37,54.41,51.02,47.64
40.18,40.02,39.86,48.06,56.26,60.18,64.1
97.71,96.96,96.21,94.62,93.03,91.57,90.1
42.38,38.56,34.73,34.27,33.81,33.14,32.46
90.29,90.1,89.91,89.42,88.92,88.54,88.16
2.32,11.35,20.38,37.4,54.41,34.64,14.86
15.79,16.02,16.24,31.5,46.77,57.68,68.59
67.53,67.29,67.05,69.08,71.12,68.34,65.56
19.33,19.2,19.07,12.31,5.54,3.91,2.29
42.38,30.72,19.07,31.71,44.35,37.45,30.55
49.32,49.82,50.33,48.55,46.77,46.41,46.05
81.12,85.68,90.23,89.58,88.92,86.47,84.02
24.99,27.19,29.39,25.93,22.48,25.79,29.09
85.86,85.29,84.72,83.78,82.84,81.03,79.22
69.79,68.93,68.07,50.94,33.81,29.78,25.75
71.06,72.47,73.89,74.44,74.98,73.95,72.92
82.84,80.12,77.4,75.39,73.38,72.51,71.64
82.84,81.28,79.72,72.68,65.65,58.1,50.54
67.53,67.29,67.05,66.35,65.65,65.6,65.56
64.34,66.2,68.07,64.25,60.43,52.32,44.21
62.97,68.86,74.75,70.88,67.02,54.92,42.81
62.97,61.41,59.85,56.4,52.94,46.14,39.34
88.38,87.79,87.2,86.46,85.71,85.54,85.36
61.76,61.65,61.54,57.98,54.41,42.48,30.55
36.52,38.19,39.86,37.79,35.72,32.4,29.09
10.73,8.89,7.04,9.06,11.08,25.21,39.34
75.17,74.53,73.89,66.47,59.06,64.9,70.75
71.89,72.89,73.89,73.06,72.24,71.94,71.64
44.51,30.37,16.24,18.69,21.14,18.59,16.04
19.33,19.86,20.38,13.34,6.3,9.96,13.62
38.2,34.75,31.3,31.65,32.0,30.54,29.09
32.73,33.73,34.73,35.94,37.15,39.08,41.02
23.62,25.62,27.63,25.06,22.48,20.52,18.56
29.74,29.56,29.39,28.18,26.97,29.72,32.46
15.79,16.67,17.54,18.07,18.59,19.23,19.86
62.97,61.41,59.85,54.16,48.46,47.26,46.05
34.8,33.05,31.3,28.46,25.63,24.8,23.97
75.17,74.01,72.84,70.56,68.29,64.57,60.85
9.36,7.17,4.97,5.0,5.03,6.72,8.4
47.63,46.5,45.37,42.14,38.9,38.32,37.75
52.98,50.88,48.77,47.77,46.77,47.2,47.64
99.46,99.48,99.49,99.5,99.52,99.5,99.49
67.53,66.7,65.87,63.15,60.43,55.48,50.54
23.62,27.46,31.3,28.46,25.63,22.74,19.86
45.88,42.87,39.86,42.1,44.35,44.28,44.21
64.34,62.1,59.85,54.16,48.46,51.04,53.63
34.8,35.53,36.26,37.58,38.9,42.48,46.05
44.51,47.42,50.33,48.55,46.77,45.49,44.21
67.53,64.54,61.54,63.6,65.65,63.25,60.85
1.78,3.64,5.51,24.93,44.35,38.4,32.46
77.17,76.52,75.87,72.08,68.29,63.86,59.42
45.88,46.61,47.34,43.12,38.9,37.3,35.71
38.2,34.75,31.3,33.51,35.72,36.74,37.75
64.34,65.1,65.87,63.15,60.43,56.33,52.23
52.98,56.42,59.85,57.13,54.41,52.48,50.54
40.18,49.1,58.01,66.24,74.47,74.17,73.87
3.06,15.34,27.63,37.2,46.77,57.68,68.59
65.97,61.99,58.01,57.14,56.26,51.15,46.05
32.73,41.53,50.33,41.16,32.0,45.06,58.12
27.98,27.14,26.3,25.25,24.2,26.64,29.09
75.17,75.89,76.6,75.54,74.47,77.18,79.89
68.64,67.26,65.87,67.94,70.01,67.78,65.56
40.18,40.02,39.86,35.93,32.0,30.54,29.09
83.41,85.08,86.76,83.51,80.26,80.08,79.89
42.38,42.12,41.87,39.51,37.15,36.43,35.71
3.44,3.82,4.2,2.68,1.15,1.58,2.01
14.65,28.26,41.87,49.07,56.26,51.15,46.05
42.38,49.42,56.45,72.68,88.92,91.9,94.88
40.18,41.88,43.58,42.92,42.25,45.74,49.24
18.08,13.4,8.72,9.47,10.22,12.54,14.86
12.0,14.77,17.54,36.9,56.26,64.59,72.92
2.04,1.25,0.45,2.15,3.85,8.73,13.62
3.88,3.14,2.39,3.97,5.54,10.79,16.04
49.32,52.14,54.95,57.69,60.43,67.15,73.87
86.85,90.3,93.76,91.58,89.4,59.98,30.55
22.03,27.51,32.98,38.66,44.35,24.01,3.66
18.08,12.97,7.86,6.14,4.43,2.8,1.18
15.79,22.59,29.39,33.27,37.15,39.98,42.81
93.82,92.38,90.93,90.84,90.74,90.14,89.53
24.99,22.03,19.07,10.54,2.01,5.21,8.4
2.04,2.07,2.1,2.66,3.22,3.7,4.17
1.31,2.42,3.53,2.92,2.32,6.86,11.39
3.44,4.47,5.51,4.36,3.22,2.36,1.5
29.74,28.02,26.3,25.96,25.63,24.8,23.97
32.73,35.44,38.14,42.46,46.77,43.9,41.02
15.79,16.67,17.54,12.68,7.83,14.58,21.32
36.52,32.96,29.39,30.7,32.0,35.67,39.34
2.04,4.12,6.21,5.62,5.03,12.44,19.86
5.48,13.77,22.06,15.63,9.2,13.88,18.56
1.78,3.64,5.51,5.9,6.3,4.3,2.29
69.79,75.66,81.53,82.72,83.92,83.97,84.02
8.44,4.36,0.29,1.15,2.01,8.44,14.86
24.99,22.68,20.38,20.76,21.14,21.23,21.32
7.7,21.22,34.73,35.22,35.72,21.46,7.19
18.08,12.14,6.21,15.92,25.63,45.6,65.56
20.73,20.56,20.38,21.43,22.48,51.18,79.89
6.08,5.14,4.2,5.25,6.3,4.98,3.66
24.99,22.68,20.38,21.43,22.48,24.12,25.75
81.12,83.6,86.09,87.25,88.41,88.97,89.53
31.36,45.6,59.85,46.83,33.81,52.28,70.75
84.59,87.41,90.23,86.54,82.84,71.84,60.85
52.98,46.42,39.86,35.93,32.0,39.02,46.05
1.62,1.7,1.78,1.9,2.01,5.7,9.39
13.34,23.16,32.98,35.07,37.15,40.68,44.21
26.52,17.19,7.86,6.44,5.03,20.37,35.71
42.38,47.88,53.39,50.92,48.46,37.1,25.75
65.97,56.66,47.34,37.9,28.46,37.26,46.05
77.94,72.5,67.05,74.26,81.47,79.1,76.73
6.08,9.35,12.61,9.46,6.3,4.3,2.29
3.06,2.58,2.1,2.46,2.83,1.78,0.73
60.17,47.45,34.73,29.46,24.2,15.01,5.82
27.98,27.81,27.63,37.2,46.77,35.37,23.97
36.52,43.42,50.33,49.4,48.46,65.35,82.24
83.86,82.7,81.53,78.68,75.84,74.86,73.87
29.74,24.4,19.07,12.69,6.3,7.35,8.4
84.59,85.68,86.76,89.68,92.61,88.65,84.69
6.08,10.64,15.19,12.2,9.2,7.51,5.82
26.52,36.93,47.34,67.1,86.85,55.41,23.97
32.73,25.14,17.54,46.0,74.47,47.16,19.86
42.38,39.32,36.26,26.68,17.1,25.61,34.12
52.98,52.46,51.93,49.35,46.77,42.26,37.75
8.44,5.81,3.18,2.6,2.01,4.22,6.43
6.08,5.52,4.97,3.74,2.52,2.01,1.5
10.73,19.18,27.63,30.72,33.81,31.45,29.09
22.03,22.04,22.06,18.9,15.73,14.68,13.62
32.73,28.84,24.96,26.71,28.46,22.25,16.04
78.83,78.11,77.4,76.62,75.84,75.58,75.33
92.2,92.36,92.52,92.57,92.61,92.47,92.33
36.52,40.94,45.37,43.81,42.25,44.15,46.05
32.73,37.3,41.87,43.11,44.35,42.68,41.02
93.7,93.9,94.11,94.43,94.75,94.82,94.88
68.64,65.09,61.54,59.71,57.88,58.65,59.42
10.16,16.11,22.06,25.26,28.46,31.29,34.12
69.79,64.82,59.85,64.93,70.01,68.6,67.19
58.87,58.44,58.01,60.0,61.99,64.59,67.19
69.79,70.14,70.49,68.76,67.02,67.1,67.19
20.73,21.4,22.06,20.32,18.59,17.32,16.04
99.62,99.62,99.62,99.62,99.62,99.62,99.62
81.12,80.92,80.71,72.48,64.25,69.79,75.33
13.34,10.6,7.86,5.34,2.83,4.63,6.43
54.6,54.78,54.95,58.47,61.99,54.82,47.64
81.12,82.92,84.72,84.32,83.92,81.57,79.22
40.18,43.76,47.34,44.79,42.25,38.18,34.12
74.12,73.48,72.84,71.43,70.01,69.3,68.59
64.34,70.1,75.87,70.76,65.65,70.49,75.33
38.2,34.75,31.3,29.88,28.46,33.9,39.34
34.8,41.07,47.34,49.38,51.42,43.56,35.71
14.65,11.68,8.72,7.99,7.26,12.35,17.44
51.29,46.58,41.87,40.39,38.9,39.12,39.34
51.29,51.61,51.93,46.38,40.82,36.64,32.46
65.97,68.9,71.82,70.06,68.29,60.26,52.23
32.73,53.74,74.75,79.64,84.53,79.2,73.87
80.32,80.52,80.71,80.14,79.56,78.14,76.73
65.97,59.68,53.39,52.4,51.42,56.14,60.85
17.13,17.34,17.54,17.32,17.1,12.14,7.19
83.86,69.4,54.95,49.65,44.35,51.89,59.42
94.46,93.79,93.12,94.06,95.0,93.26,91.53
57.15,47.64,38.14,36.93,35.72,49.21,62.7
23.62,36.2,48.77,38.62,28.46,22.95,17.44
38.2,35.59,32.98,30.72,28.46,22.25,16.04
71.89,82.2,92.52,90.72,88.92,86.47,84.02
81.12,75.81,70.49,62.45,54.41,43.44,32.46
77.17,82.66,88.16,86.04,83.92,77.33,70.75
38.2,32.25,26.3,25.25,24.2,30.98,37.75
67.53,62.77,58.01,50.13,42.25,42.53,42.81
67.53,67.8,68.07,66.86,65.65,62.54,59.42
51.29,59.17,67.05,69.64,72.24,53.97,35.71
34.8,38.33,41.87,43.11,44.35,40.03,35.71
75.96,81.58,87.2,84.34,81.47,73.52,65.56
80.32,70.08,59.85,41.16,22.48,37.35,52.23
49.32,56.14,62.97,68.98,74.98,47.42,19.86
44.51,44.04,43.58,42.92,42.25,36.4,30.55
36.52,36.39,36.26,36.7,37.15,39.08,41.02
61.76,60.8,59.85,60.14,60.43,61.57,62.7
62.97,62.26,61.54,50.22,38.9,34.72,30.55
42.38,42.98,43.58,45.18,46.77,49.5,52.23
92.77,92.2,91.63,93.42,95.22,92.9,90.58
38.2,39.03,39.86,37.79,35.72,30.74,25.75
51.29,46.58,41.87,41.34,40.82,39.29,37.75
24.99,27.19,29.39,34.15,38.9,38.32,37.75
93.09,92.93,92.77,92.38,91.98,91.92,91.85
74.12,74.44,74.75,72.38,70.01,72.67,75.33
9.36,17.83,26.3,23.72,21.14,15.26,9.39
29.74,30.52,31.3,35.1,38.9,33.22,27.53
22.03,21.2,20.38,21.43,22.48,20.52,18.56
57.15,58.5,59.85,57.13,54.41,50.23,46.05
51.29,49.32,47.34,44.79,42.25,43.23,44.21
60.17,60.85,61.54,59.71,57.88,58.0,58.12
47.63,48.98,50.33,48.55,46.77,43.9,41.02
85.23,83.59,81.95,80.76,79.56,78.14,76.73
64.34,62.1,59.85,54.16,48.46,48.05,47.64
75.96,76.28,76.6,74.99,73.38,75.06,76.73
17.13,15.58,14.04,10.17,6.3,5.4,4.49
58.87,55.4,51.93,44.54,37.15,33.85,30.55
15.79,14.92,14.04,12.13,10.22,10.81,11.39
49.32,44.59,39.86,39.38,38.9,39.12,39.34
13.34,13.69,14.04,14.31,14.58,16.57,18.56
18.08,15.34,12.61,11.84,11.08,12.35,13.62
64.34,61.18,58.01,54.72,51.42,64.53,77.63
55.78,56.9,58.01,62.52,67.02,70.45,73.87
60.17,63.02,65.87,53.34,40.82,37.47,34.12
62.97,60.49,58.01,56.21,54.41,53.32,52.23
14.65,17.52,20.38,15.3,10.22,6.94,3.66
31.36,38.36,45.37,47.7,50.02,42.07,34.12
47.63,49.78,51.93,49.35,46.77,32.66,18.56
77.94,77.27,76.6,80.56,84.53,83.0,81.48
87.3,83.51,79.72,78.83,77.94,59.48,41.02
60.17,50.02,39.86,39.38,38.9,58.26,77.63
83.86,78.35,72.84,77.43,82.01,79.37,76.73
75.96,76.68,77.4,78.04,78.67,69.76,60.85
31.36,29.49,27.63,33.26,38.9,24.59,10.28
14.65,13.63,12.61,12.35,12.1,15.33,18.56
27.98,25.69,23.4,23.8,24.2,22.03,19.86
97.87,98.36,98.85,98.65,98.44,93.81,89.18
82.84,85.91,88.98,89.86,90.74,73.63,56.52
94.3,95.0,95.7,95.35,95.0,95.44,95.89
52.98,61.74,70.49,64.78,59.06,30.82,2.58
27.98,22.11,16.24,16.67,17.1,17.83,18.56
62.97,66.73,70.49,64.78,59.06,51.64,44.21
7.13,14.6,22.06,29.6,37.15,28.51,19.86
52.98,51.66,50.33,46.29,42.25,41.64,41.02
84.59,76.33,68.07,76.3,84.53,87.03,89.53
19.33,38.67,58.01,60.62,63.23,43.6,23.97
98.03,92.06,86.09,89.35,92.61,89.56,86.51
34.8,37.33,39.86,35.93,32.0,42.82,53.63
84.59,76.33,68.07,78.24,88.41,83.82,79.22
44.51,48.95,53.39,47.82,42.25,32.44,22.63
18.08,16.06,14.04,14.88,15.73,24.92,34.12
91.95,85.84,79.72,83.29,86.85,77.02,67.19
77.94,78.83,79.72,80.6,81.47,79.55,77.63
13.34,34.15,54.95,53.18,51.42,46.22,41.02
58.87,55.4,51.93,51.68,51.42,53.18,54.93
6.08,8.42,10.76,9.3,7.83,7.51,7.19
69.79,75.87,81.95,85.18,88.41,86.55,84.69
99.36,99.32,99.27,98.73,98.19,91.78,85.36
71.06,70.78,70.49,70.25,70.01,73.0,76.0
94.91,94.16,93.41,88.13,82.84,81.7,80.55
19.33,18.44,17.54,17.32,17.1,17.83,18.56
84.59,84.42,84.24,86.06,87.87,80.87,73.87
91.95,91.79,91.63,89.75,87.87,79.76,71.64
4.78,5.14,5.51,5.27,5.03,6.11,7.19
67.53,73.62,79.72,80.6,81.47,77.19,72.92
14.65,16.1,17.54,21.58,25.63,21.54,17.44
40.18,42.78,45.37,49.89,54.41,63.66,72.92
88.92,92.0,95.07,95.72,96.37,97.2,98.03
23.62,31.74,39.86,53.44,67.02,51.36,35.71
4.33,6.1,7.86,5.73,3.6,2.66,1.72
91.66,92.54,93.41,89.56,85.71,85.2,84.69
86.47,85.6,84.72,84.32,83.92,83.68,83.45
88.38,88.92,89.46,87.0,84.53,75.86,67.19
80.32,77.1,73.89,82.8,91.72,89.6,87.49
96.31,96.35,96.4,96.66,96.91,96.5,96.09
19.33,17.78,16.24,20.22,24.2,20.12,16.04
96.43,93.33,90.23,87.38,84.53,89.76,95.0
27.98,16.74,5.51,5.9,6.3,7.35,8.4
8.44,6.98,5.51,6.39,7.26,6.54,5.82
69.79,72.83,75.87,80.58,85.29,84.65,84.02
88.38,90.18,91.98,91.69,91.4,92.98,94.56
73.0,74.8,76.6,67.83,59.06,44.8,30.55
38.2,32.25,26.3,27.38,28.46,31.29,34.12
3.88,4.7,5.51,5.9,6.3,8.29,10.28
79.59,78.5,77.4,80.12,82.84,83.43,84.02
4.33,3.47,2.61,2.56,2.52,2.41,2.29
79.59,76.74,73.89,68.56,63.23,49.47,35.71
94.46,94.28,94.11,93.86,93.6,94.08,94.56
42.38,34.34,26.3,34.28,42.25,34.0,25.75
9.36,18.5,27.63,42.76,57.88,75.87,93.86
62.97,67.4,71.82,66.9,61.99,59.26,56.52
34.8,36.47,38.14,50.07,61.99,64.59,67.19
88.03,85.38,82.74,66.38,50.02,52.48,54.93
73.0,76.36,79.72,78.29,76.85,55.48,34.12
8.44,9.6,10.76,12.02,13.28,12.34,11.39
36.52,38.19,39.86,42.1,44.35,46.0,47.64
49.32,44.59,39.86,40.34,40.82,45.68,50.54
95.38,91.93,88.48,91.04,93.6,95.21,96.82
42.38,39.32,36.26,34.13,32.0,30.54,29.09
6.08,10.06,14.04,11.28,8.53,6.1,3.66
36.52,33.91,31.3,36.78,42.25,44.94,47.64
34.8,33.89,32.98,39.88,46.77,42.26,37.75
7.13,7.08,7.04,5.44,3.85,3.58,3.31
17.13,20.26,23.4,26.76,30.12,32.12,34.12
36.52,56.96,77.4,78.04,78.67,76.27,73.87
24.99,27.19,29.39,29.76,30.12,22.49,14.86
19.33,47.6,75.87,62.95,50.02,31.82,13.62
78.83,75.32,71.82,78.76,85.71,86.36,87.01
98.15,98.38,98.6,97.9,97.2,96.44,95.67
73.0,84.76,96.53,95.16,93.79,89.58,85.36
90.29,91.7,93.12,93.58,94.05,87.76,81.48
19.33,17.78,16.24,25.02,33.81,29.78,25.75
52.98,57.26,61.54,59.71,57.88,60.29,62.7
77.94,84.29,90.64,88.74,86.85,89.86,92.87
77.17,77.28,77.4,77.12,76.85,65.89,54.93
10.73,9.3,7.86,10.57,13.28,9.2,5.12
49.32,49.04,48.77,53.32,57.88,44.22,30.55
82.84,83.54,84.24,64.3,44.35,63.3,82.24
44.51,37.9,31.3,25.5,19.71,46.79,73.87
71.89,76.3,80.71,78.78,76.85,82.17,87.49
14.65,11.26,7.86,9.98,12.1,14.77,17.44
81.12,78.86,76.6,84.82,93.03,86.79,80.55
40.18,24.45,8.72,17.84,26.97,43.19,59.42
97.58,97.85,98.12,98.04,97.96,97.42,96.88
15.79,14.2,12.61,11.42,10.22,13.13,16.04
88.92,81.4,73.89,67.94,61.99,62.35,62.7
88.92,92.0,95.07,94.34,93.6,92.31,91.02
82.23,78.49,74.75,75.3,75.84,87.06,98.28
96.15,96.28,96.4,95.81,95.22,96.68,98.15
55.78,54.58,53.39,44.56,35.72,36.74,37.75
