2014 SVI Unemployed Data and Encoding,2015 SVI Unemployed Data and Encoding,2016 SVI Unemployed Data and Encoding,2017 SVI Unemployed Data and Encoding,2018 SVI Unemployed Data and Encoding,2019 SVI Unemployed Data and Encoding,2020 SVI Unemployed Data and Encoding
54.09,55.54,56.99,60.38,63.76,67.64,71.51
84.97,79.33,73.7,67.88,62.07,65.39,68.71
34.54,24.08,13.63,24.25,34.87,58.27,81.67
93.7,93.14,92.58,87.45,82.32,83.58,84.85
84.37,84.56,84.75,79.11,73.47,71.09,68.71
64.02,58.29,52.56,47.8,43.03,43.44,43.86
96.66,96.61,96.56,95.71,94.87,93.48,92.08
92.71,91.79,90.86,91.86,92.87,89.84,86.82
96.34,95.62,94.91,93.06,91.21,91.85,92.49
88.98,86.52,84.05,85.67,87.29,90.11,92.93
91.05,89.52,88.0,89.88,91.75,93.57,95.39
95.13,93.68,92.23,81.58,70.92,77.38,83.83
61.99,60.73,59.47,58.08,56.69,55.27,53.85
64.02,64.34,64.66,65.82,66.97,64.88,62.79
97.74,96.42,95.1,90.6,86.11,84.32,82.53
60.74,50.19,39.64,35.42,31.21,32.22,33.23
74.91,74.3,73.7,82.46,91.21,85.96,80.71
47.06,42.49,37.92,34.56,31.21,35.16,39.12
59.82,54.02,48.23,51.52,54.81,46.23,37.65
8.63,10.27,11.91,9.84,7.77,5.6,3.44
69.02,66.84,64.66,70.24,75.83,57.48,39.12
33.43,33.2,32.98,35.68,38.38,40.03,41.69
23.78,21.66,19.55,19.5,19.46,21.62,23.77
24.86,18.92,12.99,11.67,10.35,9.17,7.99
22.03,48.28,74.53,76.74,78.95,41.54,4.14
37.76,28.32,18.88,11.6,4.33,18.78,33.23
59.82,73.08,86.34,91.36,96.37,95.78,95.19
94.94,93.58,92.23,94.11,95.99,95.01,94.02
99.94,99.9,99.87,99.54,99.2,98.48,97.77
87.68,88.43,89.18,78.08,66.97,50.1,33.23
84.37,81.44,78.51,82.63,86.75,83.73,80.71
43.52,36.85,30.18,27.36,24.55,31.1,37.65
47.06,29.17,11.27,6.33,1.4,15.01,28.61
13.59,12.43,11.27,11.86,12.45,17.2,21.96
15.31,11.43,7.55,6.64,5.73,17.17,28.61
38.81,35.89,32.98,21.24,9.49,7.18,4.87
60.74,59.44,58.13,60.1,62.07,65.39,68.71
59.82,62.91,66.0,62.27,58.54,59.98,61.43
41.39,41.16,40.94,35.09,29.24,29.94,30.65
21.11,17.37,13.63,10.36,7.1,6.36,5.63
19.33,27.32,35.31,40.11,44.9,48.31,51.72
55.21,54.73,54.25,54.53,54.81,45.1,35.39
11.11,18.5,25.88,23.88,21.88,38.87,55.86
93.47,94.19,94.91,60.51,26.11,17.05,7.99
1.02,1.78,2.55,4.14,5.73,50.68,95.64
34.54,30.86,27.19,23.86,20.54,25.6,30.65
6.08,10.9,15.73,13.48,11.24,14.34,17.44
28.84,26.93,25.02,32.42,39.81,32.62,25.43
28.84,33.38,37.92,43.99,50.06,36.92,23.77
23.78,24.83,25.88,26.0,26.11,27.36,28.61
40.08,39.0,37.92,39.79,41.66,47.76,53.85
57.59,60.6,63.61,72.06,80.51,84.26,88.0
44.57,30.67,16.78,14.62,12.45,13.21,13.97
82.87,67.02,51.16,38.64,26.11,40.98,55.86
59.82,66.76,73.7,77.6,81.5,81.1,80.71
0.29,2.02,3.76,3.54,3.31,33.05,62.79
19.33,19.44,19.55,22.83,26.11,38.92,51.72
64.02,54.52,45.02,44.03,43.03,41.08,39.12
67.34,70.12,72.91,73.19,73.47,65.7,57.92
22.03,26.8,31.58,31.4,31.21,33.3,35.39
77.3,81.34,85.39,85.75,86.11,77.41,68.71
72.78,58.23,43.68,41.74,39.81,37.6,35.39
31.01,24.28,17.54,33.15,48.76,58.74,68.71
24.86,15.42,5.99,4.82,3.66,2.6,1.53
43.52,37.55,31.58,30.41,29.24,24.64,20.05
67.34,77.67,88.0,83.86,79.71,65.72,51.72
78.13,80.36,82.59,84.35,86.11,83.41,80.71
10.54,14.04,17.54,31.22,44.9,55.54,66.17
55.21,67.64,80.07,86.12,92.17,93.33,94.49
26.81,21.27,15.73,14.09,12.45,20.53,28.61
80.58,71.32,62.05,67.18,72.32,83.76,95.19
98.66,92.5,86.34,48.34,10.35,36.57,62.79
21.11,19.32,17.54,13.07,8.6,11.84,15.09
45.62,57.99,70.36,70.02,69.68,71.93,74.19
21.11,19.32,17.54,17.88,18.22,17.24,16.26
58.8,57.16,55.52,59.64,63.76,46.18,28.61
19.33,16.48,13.63,11.56,9.49,8.04,6.59
40.08,39.0,37.92,35.46,32.99,43.42,53.85
3.85,3.98,4.11,6.36,8.6,20.92,33.23
64.02,66.07,68.13,70.8,73.47,75.76,78.04
70.77,69.45,68.13,67.55,66.97,66.57,66.17
41.39,44.81,48.23,46.56,44.9,55.54,66.17
30.25,29.31,28.37,32.36,36.34,36.99,37.65
71.89,71.76,71.63,72.55,73.47,74.48,75.49
50.72,56.38,62.05,62.06,62.07,60.0,57.92
40.08,41.24,42.41,43.66,44.9,47.22,49.55
73.96,72.16,70.36,67.06,63.76,72.24,80.71
64.02,65.01,66.0,61.35,56.69,64.81,72.92
48.2,49.68,51.16,57.46,63.76,67.64,71.51
56.45,55.35,54.25,47.03,39.81,43.62,47.42
73.96,73.83,73.7,75.8,77.9,80.22,82.53
51.74,52.15,52.56,56.44,60.32,56.02,51.72
66.35,57.96,49.57,49.82,50.06,51.96,53.85
66.35,62.91,59.47,59.0,58.54,48.83,39.12
93.98,90.99,88.0,72.34,56.69,57.31,57.92
84.37,81.84,79.31,70.69,62.07,57.96,53.85
79.82,76.76,73.7,71.01,68.31,68.51,68.71
69.02,77.2,85.39,78.86,72.32,51.48,30.65
86.66,86.02,85.39,81.32,77.26,71.71,66.17
93.0,92.62,92.23,89.76,87.29,87.64,88.0
81.76,78.68,75.61,77.28,78.95,69.33,59.71
59.82,51.75,43.68,39.28,34.87,36.99,39.12
97.55,95.06,92.58,92.38,92.17,92.12,92.08
74.91,72.14,69.37,55.52,41.66,66.87,92.08
49.38,38.88,28.37,39.22,50.06,40.36,30.65
78.13,75.52,72.91,70.61,68.31,63.12,57.92
76.5,72.93,69.37,68.17,66.97,71.23,75.49
71.89,66.33,60.78,55.42,50.06,40.36,30.65
79.05,78.78,78.51,78.73,78.95,83.27,87.59
89.37,85.55,81.73,81.61,81.5,64.46,47.42
94.43,88.51,82.59,71.46,60.32,47.86,35.39
92.23,94.11,95.99,95.72,95.45,96.1,96.75
87.68,83.1,78.51,78.2,77.9,60.88,43.86
97.68,97.26,96.85,97.6,98.34,96.99,95.64
90.29,90.76,91.24,74.89,58.54,73.92,89.31
92.71,89.05,85.39,85.4,85.41,83.06,80.71
95.96,93.41,90.86,84.38,77.9,79.31,80.71
94.62,94.43,94.24,94.84,95.45,93.02,90.58
69.02,66.84,64.66,62.49,60.32,58.09,55.86
85.42,90.61,95.8,95.59,95.38,78.4,61.43
91.5,88.92,86.34,80.58,74.81,74.5,74.19
91.72,92.98,94.24,91.37,88.5,78.6,68.71
88.19,79.28,70.36,55.09,39.81,52.99,66.17
93.0,95.38,97.77,97.82,97.87,97.36,96.85
76.5,72.32,68.13,67.55,66.97,69.24,71.51
83.25,77.44,71.63,64.16,56.69,54.2,51.72
79.05,80.39,81.73,81.61,81.5,77.84,74.19
92.23,88.14,84.05,77.48,70.92,73.21,75.49
97.61,87.56,77.52,86.85,96.18,93.0,89.82
90.61,92.54,94.46,73.95,53.44,46.28,39.12
66.35,62.91,59.47,58.08,56.69,60.56,64.42
88.19,86.79,85.39,86.94,88.5,84.6,80.71
78.13,74.24,70.36,58.64,46.91,45.38,43.86
79.05,75.34,71.63,67.69,63.76,57.74,51.72
35.5,29.6,23.69,17.46,11.24,15.65,20.05
69.91,65.35,60.78,48.56,36.34,40.98,45.61
47.06,46.04,45.02,48.37,51.72,42.47,33.23
92.71,91.79,90.86,82.84,74.81,66.37,57.92
71.89,69.51,67.14,62.84,58.54,59.98,61.43
79.82,74.6,69.37,66.56,63.76,64.09,64.42
75.68,71.9,68.13,67.55,66.97,69.24,71.51
77.3,72.72,68.13,67.55,66.97,68.56,70.15
65.46,61.22,56.99,55.21,53.44,54.65,55.86
83.25,82.49,81.73,77.03,72.32,66.02,59.71
85.42,88.48,91.53,93.2,94.87,92.92,90.96
36.55,37.24,37.92,38.86,39.81,46.83,53.85
91.05,87.55,84.05,75.51,66.97,63.34,59.71
64.02,59.14,54.25,52.98,51.72,56.58,61.43
66.35,60.3,54.25,45.29,36.34,33.49,30.65
70.77,68.39,66.0,58.86,51.72,47.79,43.86
79.82,72.24,64.66,50.5,36.34,40.98,45.61
83.25,84.8,86.34,81.8,77.26,66.56,55.86
80.58,71.32,62.05,62.06,62.07,72.95,83.83
77.3,82.36,87.42,87.72,88.03,51.56,15.09
72.78,68.2,63.61,57.66,51.72,48.67,45.61
54.09,54.17,54.25,49.58,44.9,31.17,17.44
49.38,53.18,56.99,50.94,44.9,48.31,51.72
87.17,85.26,83.35,85.69,88.03,81.76,75.49
45.62,58.63,71.63,64.16,56.69,41.95,27.21
59.82,48.3,36.77,63.65,90.54,83.02,75.49
15.31,21.84,28.37,37.64,46.91,42.28,37.65
35.5,22.05,8.6,16.58,24.55,61.83,99.11
61.99,65.06,68.13,79.94,91.75,88.3,84.85
58.8,60.42,62.05,54.48,46.91,36.17,25.43
79.05,75.98,72.91,57.97,43.03,45.22,47.42
72.78,67.42,62.05,56.89,51.72,58.94,66.17
83.92,73.76,63.61,49.98,36.34,53.92,71.51
95.96,91.47,86.98,87.14,87.29,76.73,66.17
87.17,89.2,91.24,89.87,88.5,86.68,84.85
34.54,40.35,46.16,62.03,77.9,78.5,79.09
88.19,83.35,78.51,66.66,54.81,50.21,45.61
98.19,98.56,98.92,96.52,94.11,87.02,79.92
54.09,66.7,79.31,78.29,77.26,79.46,81.67
64.02,73.3,82.59,84.94,87.29,90.11,92.93
64.02,60.5,56.99,49.32,41.66,40.39,39.12
87.68,79.02,70.36,61.04,51.72,52.78,53.85
42.73,70.01,97.29,97.88,98.47,97.86,97.26
72.78,76.04,79.31,78.29,77.26,77.65,78.04
65.46,59.85,54.25,59.0,63.76,58.8,53.85
89.37,89.28,89.18,85.75,82.32,77.62,72.92
61.99,58.76,55.52,39.43,23.34,22.65,21.96
97.39,95.46,93.54,95.38,97.23,98.12,99.01
63.01,70.76,78.51,80.96,83.41,84.13,84.85
98.38,98.36,98.34,95.43,92.52,95.24,97.96
76.5,80.94,85.39,85.04,84.68,67.12,49.55
41.39,36.48,31.58,30.41,29.24,28.22,27.21
66.35,69.63,72.91,69.18,65.45,65.81,66.17
99.36,99.34,99.33,99.38,99.43,97.7,95.96
95.96,95.02,94.08,90.42,86.75,84.64,82.53
59.82,75.53,91.24,79.77,68.31,47.76,27.21
58.8,54.18,49.57,45.62,41.66,44.54,47.42
73.96,65.47,56.99,45.93,34.87,35.13,35.39
64.02,63.04,62.05,66.48,70.92,78.68,86.44
37.76,44.46,51.16,48.03,44.9,46.16,47.42
60.74,45.46,30.18,37.54,44.9,44.38,43.86
44.57,45.36,46.16,41.25,36.34,32.48,28.61
86.37,84.05,81.73,87.13,92.52,91.88,91.25
97.39,97.06,96.72,96.98,97.23,97.66,98.09
55.21,45.26,35.31,30.71,26.11,38.92,51.72
67.34,63.4,59.47,42.01,24.55,39.2,53.85
59.82,54.02,48.23,48.5,48.76,62.82,76.89
88.98,86.16,83.35,80.62,77.9,78.5,79.09
64.02,75.72,87.42,81.62,75.83,59.84,43.86
61.99,71.03,80.07,88.76,97.45,95.56,93.67
98.54,98.62,98.69,98.46,98.22,97.33,96.44
81.31,79.01,76.7,74.51,72.32,75.7,79.09
50.72,57.69,64.66,72.18,79.71,84.76,89.82
47.06,49.81,52.56,47.8,43.03,26.12,9.2
35.5,36.71,37.92,31.24,24.55,46.63,68.71
84.97,77.17,69.37,70.14,70.92,76.3,81.67
94.43,93.12,91.82,86.16,80.51,84.56,88.61
84.97,74.29,63.61,72.55,81.5,84.16,86.82
93.98,86.24,78.51,70.29,62.07,64.12,66.17
51.74,47.08,42.41,42.04,41.66,38.52,35.39
84.37,81.84,79.31,71.54,63.76,63.27,62.79
37.76,30.15,22.54,20.38,18.22,18.36,18.49
52.88,58.77,64.66,54.78,44.9,43.3,41.69
78.13,76.87,75.61,71.29,66.97,66.57,66.17
78.13,70.87,63.61,56.84,50.06,33.16,16.26
59.82,55.49,51.16,33.64,16.11,9.53,2.96
79.82,71.71,63.61,56.18,48.76,48.09,47.42
63.01,62.53,62.05,48.46,34.87,28.42,21.96
81.76,80.14,78.51,73.41,68.31,42.28,16.26
73.96,60.06,46.16,42.98,39.81,39.47,39.12
63.01,56.29,49.57,42.96,36.34,33.49,30.65
55.21,55.36,55.52,40.03,24.55,16.88,9.2
59.82,47.02,34.22,27.38,20.54,21.25,21.96
98.28,92.31,86.34,55.44,24.55,17.36,10.18
87.68,87.01,86.34,62.36,38.38,38.02,37.65
51.74,59.44,67.14,70.97,74.81,74.5,74.19
49.38,41.18,32.98,36.39,39.81,56.36,72.92
92.04,87.7,83.35,81.93,80.51,82.68,84.85
82.36,78.98,75.61,72.65,69.68,67.05,64.42
69.02,71.78,74.53,74.0,73.47,67.45,61.43
76.5,63.83,51.16,70.85,90.54,94.32,98.09
50.72,50.14,49.57,43.97,38.38,33.49,28.61
85.9,80.21,74.53,71.42,68.31,61.08,53.85
66.35,47.36,28.37,42.53,56.69,57.31,57.92
98.47,97.23,95.99,84.16,72.32,75.7,79.09
74.91,57.92,40.94,32.75,24.55,26.58,28.61
61.99,70.65,79.31,84.4,89.49,93.72,97.96
66.35,66.18,66.0,71.95,77.9,54.28,30.65
96.24,95.94,95.64,95.82,95.99,92.65,89.31
89.37,93.04,96.72,92.38,88.03,59.34,30.65
33.43,35.1,36.77,37.58,38.38,45.05,51.72
43.52,47.34,51.16,64.53,77.9,61.76,45.61
90.61,93.12,95.64,95.99,96.34,95.18,94.02
78.13,77.82,77.52,56.19,34.87,34.05,33.23
96.47,97.47,98.47,98.54,98.6,98.49,98.38
89.37,89.8,90.23,84.97,79.71,72.94,66.17
68.04,58.8,49.57,41.28,32.99,40.2,47.42
76.5,74.7,72.91,79.16,85.41,79.8,74.19
72.78,78.42,84.05,83.18,82.32,57.78,33.23
98.06,98.36,98.66,97.8,96.94,95.3,93.67
44.57,55.28,66.0,76.38,86.75,80.47,74.19
83.25,90.38,97.52,95.94,94.36,85.62,76.89
95.13,93.0,90.86,73.77,56.69,59.74,62.79
67.34,66.0,64.66,53.16,41.66,61.67,81.67
81.76,90.18,98.6,98.3,97.99,97.56,97.14
72.78,74.74,76.7,79.51,82.32,53.88,25.43
