2014 SVI Aged 65 or Older Data and Encoding,2015 SVI Aged 65 or Older Data and Encoding,2016 SVI Aged 65 or Older Data and Encoding,2017 SVI Aged 65 or Older Data and Encoding,2018 SVI Aged 65 or Older Data and Encoding,2019 SVI Aged 65 or Older Data and Encoding,2020 SVI Aged 65 or Older Data and Encoding
18.69,30.71,42.73,66.54,90.35,86.31,82.27
36.39,39.96,43.52,53.9,64.28,72.24,80.2
2.71,3.14,3.57,4.99,6.4,8.01,9.61
15.79,18.0,20.22,22.97,25.72,30.1,34.47
7.07,9.36,11.65,13.53,15.41,17.16,18.91
0.86,1.0,1.15,1.18,1.21,1.48,1.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.26,0.13,0.27,0.41,1.16,1.91
1.88,2.07,2.26,2.6,2.93,3.74,4.55
0.48,0.48,0.48,0.38,0.29,0.34,0.38
0.03,0.03,0.03,0.06,0.1,0.13,0.16
0.32,0.32,0.32,0.35,0.38,0.34,0.29
9.39,13.78,18.18,48.82,79.47,86.46,93.44
6.34,6.3,6.27,13.0,19.74,27.1,34.47
12.23,13.51,14.8,16.33,17.86,21.26,24.67
1.34,1.8,2.26,3.24,4.23,5.71,7.19
5.19,5.97,6.75,8.33,9.9,11.41,12.92
95.8,84.4,73.0,77.74,82.49,82.38,82.27
2.71,5.14,7.58,7.45,7.32,9.83,12.35
13.5,14.7,15.89,14.62,13.34,14.76,16.17
15.19,15.32,15.44,16.97,18.5,19.15,19.8
69.02,71.4,73.77,74.88,75.99,76.81,77.63
3.98,4.46,4.93,5.06,5.19,5.7,6.21
95.29,95.78,96.28,96.4,96.53,96.38,96.24
11.17,10.78,10.38,10.8,11.21,11.22,11.23
11.17,9.13,7.1,7.1,7.1,6.97,6.84
99.87,99.86,99.84,99.86,99.87,99.87,99.87
17.7,17.94,18.18,18.02,17.86,17.78,17.7
95.64,96.28,96.91,97.2,97.48,97.45,97.42
30.85,32.16,33.46,35.54,37.63,39.84,42.04
51.74,53.49,55.24,55.79,56.35,57.64,58.94
44.29,51.87,59.44,60.89,62.34,63.65,64.96
30.85,33.3,35.75,36.69,37.63,38.77,39.91
97.2,97.6,97.99,98.2,98.41,98.4,98.38
49.51,50.35,51.19,50.06,48.93,50.54,52.16
57.12,56.18,55.24,54.38,53.52,53.26,52.99
57.12,57.78,58.45,60.84,63.23,64.09,64.96
99.11,99.03,98.95,98.87,98.79,98.5,98.22
15.19,14.01,12.83,11.81,10.79,10.04,9.29
73.26,73.13,73.0,71.25,69.5,69.32,69.13
63.77,62.13,60.49,57.0,53.52,49.44,45.35
72.43,67.43,62.43,68.49,74.56,72.54,70.53
78.41,79.72,81.03,81.2,81.38,81.82,82.27
71.06,69.61,68.16,66.22,64.28,66.22,68.17
38.62,36.04,33.46,31.64,29.83,28.48,27.12
83.41,82.4,81.38,77.97,74.56,73.28,71.99
95.03,94.82,94.62,94.68,94.75,93.97,93.19
56.03,59.68,63.32,66.41,69.5,67.74,65.98
47.56,45.14,42.73,40.18,37.63,35.62,33.61
62.81,61.65,60.49,58.83,57.18,55.09,52.99
14.17,13.5,12.83,12.37,11.91,11.11,10.31
28.72,29.05,29.39,29.61,29.83,29.57,29.31
9.87,9.76,9.65,10.78,11.91,11.34,10.76
48.55,48.18,47.82,48.38,48.93,47.7,46.47
75.71,76.24,76.76,77.53,78.29,80.28,82.27
46.39,46.61,46.83,48.52,50.21,49.77,49.33
39.64,37.7,35.75,35.7,35.66,38.28,40.9
5.54,5.9,6.27,5.97,5.67,5.76,5.86
58.36,59.94,61.51,59.84,58.17,59.08,59.99
94.4,94.32,94.24,93.52,92.8,92.3,91.79
86.06,85.31,84.56,84.98,85.39,85.3,85.2
36.39,37.14,37.89,39.4,40.91,38.34,35.77
30.85,28.35,25.85,25.79,25.72,24.59,23.46
42.22,41.98,41.74,43.5,45.27,43.66,42.04
50.68,50.43,50.18,51.16,52.15,50.22,48.28
42.22,41.98,41.74,42.98,44.22,42.06,39.91
46.39,44.96,43.52,42.22,40.91,37.26,33.61
93.82,93.74,93.66,92.66,91.66,91.06,90.45
48.55,46.66,44.76,43.33,41.9,40.9,39.91
26.77,27.55,28.33,30.16,32.0,32.8,33.61
37.47,34.86,32.25,30.58,28.91,27.57,26.23
82.59,83.21,83.83,84.61,85.39,85.3,85.2
73.26,70.71,68.16,64.64,61.13,58.58,56.02
48.55,47.15,45.75,49.64,53.52,53.79,54.07
16.56,16.49,16.43,17.46,18.5,18.7,18.91
68.29,68.23,68.16,69.9,71.63,72.46,73.3
69.02,68.27,67.53,64.33,61.13,61.12,61.11
11.72,11.68,11.65,10.58,9.52,9.57,9.61
49.51,51.4,53.3,53.41,53.52,52.3,51.08
96.28,96.32,96.37,96.32,96.28,95.7,95.13
27.67,27.03,26.39,27.65,28.91,28.02,27.12
16.11,16.0,15.89,15.65,15.41,15.26,15.12
79.72,80.55,81.38,82.56,83.73,82.66,81.6
93.0,93.33,93.66,94.32,94.97,94.46,93.95
75.71,73.4,71.09,69.48,67.88,66.93,65.98
88.48,89.42,90.35,90.62,90.89,92.04,93.19
59.85,59.64,59.44,59.7,59.95,62.07,64.19
61.8,62.11,62.43,60.85,59.28,59.63,59.99
39.64,39.82,39.99,42.63,45.27,47.3,49.33
65.04,65.05,65.07,67.28,69.5,65.76,62.03
51.74,50.96,50.18,47.2,44.22,42.56,40.9
83.86,83.62,83.38,83.14,82.9,81.99,81.09
22.76,22.19,21.62,21.86,22.09,20.5,18.91
84.34,85.04,85.74,85.78,85.83,85.7,85.58
16.11,16.27,16.43,17.14,17.86,18.83,19.8
75.71,75.82,75.93,71.36,66.79,63.39,59.99
17.7,18.67,19.64,21.18,22.73,24.48,26.23
46.39,46.61,46.83,43.87,40.91,40.41,39.91
61.8,61.65,61.51,64.69,67.88,68.5,69.13
90.04,91.17,92.3,91.88,91.47,91.02,90.58
21.87,21.74,21.62,22.18,22.73,23.1,23.46
16.56,17.02,17.48,16.44,15.41,13.68,11.94
95.03,94.9,94.78,94.14,93.51,92.8,92.08
94.08,94.32,94.56,94.58,94.59,94.08,93.57
47.56,45.14,42.73,40.18,37.63,37.47,37.3
93.82,93.6,93.38,93.09,92.8,92.14,91.47
4.68,4.57,4.46,4.12,3.79,3.74,3.69
30.85,29.59,28.33,27.9,27.48,26.49,25.49
77.36,79.19,81.03,82.18,83.32,84.26,85.2
42.22,43.98,45.75,42.36,38.97,36.29,33.61
11.17,10.92,10.67,10.73,10.79,11.01,11.23
71.6,76.08,80.55,86.92,93.28,94.82,96.37
91.37,92.38,93.38,93.93,94.49,93.96,93.44
46.39,46.61,46.83,46.5,46.16,44.68,43.19
92.65,93.52,94.4,95.12,95.83,95.48,95.13
15.19,14.56,13.94,13.99,14.04,14.4,14.77
20.73,20.84,20.95,21.04,21.14,21.52,21.9
33.17,31.28,29.39,32.52,35.66,37.08,38.51
48.55,52.53,56.51,61.14,65.78,68.49,71.2
5.89,5.8,5.7,5.54,5.38,5.2,5.03
24.45,24.23,24.01,24.1,24.2,25.22,26.23
25.95,28.14,30.34,33.0,35.66,37.08,38.51
8.72,8.74,8.76,8.54,8.31,7.75,7.19
79.72,81.98,84.24,85.04,85.83,84.65,83.48
2.96,2.8,2.64,2.58,2.52,2.48,2.45
1.75,1.72,1.69,1.7,1.72,1.64,1.56
73.26,76.01,78.76,79.66,80.55,80.82,81.09
7.26,8.82,10.38,11.14,11.91,12.88,13.84
9.87,9.76,9.65,9.78,9.9,9.75,9.61
12.8,13.15,13.5,12.94,12.38,12.16,11.94
67.65,69.37,71.09,73.54,75.99,77.12,78.26
93.0,93.33,93.66,94.42,95.19,95.4,95.61
59.06,62.48,65.9,68.77,71.63,74.42,77.21
4.17,4.03,3.88,3.6,3.31,3.07,2.83
85.8,87.36,88.92,91.22,93.51,93.86,94.21
9.11,11.95,14.8,15.84,16.87,17.57,18.27
9.11,9.12,9.14,9.33,9.52,9.57,9.61
45.34,46.08,46.83,47.88,48.93,50.96,52.99
86.5,88.09,89.68,91.3,92.93,93.57,94.21
14.65,14.72,14.8,14.61,14.42,14.99,15.56
51.74,54.12,56.51,56.43,56.35,56.78,57.22
92.45,93.25,94.05,94.62,95.19,94.92,94.65
15.19,15.0,14.8,14.42,14.04,14.15,14.26
12.23,12.53,12.83,12.6,12.38,12.36,12.35
5.54,5.62,5.7,6.22,6.75,6.6,6.46
3.31,3.44,3.57,3.44,3.31,3.39,3.47
12.23,12.29,12.35,12.13,11.91,12.13,12.35
25.18,23.74,22.29,22.19,22.09,22.0,21.9
8.15,7.98,7.8,7.45,7.1,6.97,6.84
48.55,50.92,53.3,54.82,56.35,59.19,62.03
25.18,24.6,24.01,24.1,24.2,24.44,24.67
20.73,20.18,19.64,19.07,18.5,18.39,18.27
10.7,10.18,9.65,9.59,9.52,9.4,9.29
13.5,14.96,16.43,18.78,21.14,23.68,26.23
66.6,67.84,69.09,68.48,67.88,66.93,65.98
92.14,93.9,95.67,96.77,97.87,96.74,95.61
85.8,87.0,88.19,88.57,88.95,89.3,89.66
14.65,15.74,16.84,18.0,19.17,20.15,21.13
38.62,41.07,43.52,47.32,51.13,54.18,57.22
9.39,9.36,9.33,9.01,8.69,8.1,7.51
22.76,22.94,23.11,21.42,19.74,19.32,18.91
54.66,55.58,56.51,57.34,58.17,58.56,58.94
88.83,90.39,91.95,93.22,94.49,94.81,95.13
3.98,3.78,3.57,3.44,3.31,3.23,3.15
87.93,88.8,89.68,90.58,91.47,91.78,92.08
15.79,16.32,16.84,17.67,18.5,19.48,20.46
5.89,6.08,6.27,5.97,5.67,5.76,5.86
7.26,7.18,7.1,6.75,6.4,6.05,5.7
2.26,2.18,2.1,1.99,1.88,1.82,1.75
12.23,12.29,12.35,10.94,9.52,10.38,11.23
7.8,8.09,8.37,7.84,7.32,7.58,7.83
80.17,83.27,86.37,88.5,90.64,90.93,91.22
95.48,95.13,94.78,94.28,93.79,93.09,92.39
37.47,37.68,37.89,39.9,41.9,47.03,52.16
8.15,8.74,9.33,10.06,10.79,12.32,13.84
7.8,8.28,8.76,9.33,9.9,10.33,10.76
90.39,89.29,88.19,89.27,90.35,90.0,89.66
11.17,9.38,7.58,6.99,6.4,22.46,38.51
45.34,52.39,59.44,58.8,58.17,60.45,62.73
49.51,50.35,51.19,50.06,48.93,50.0,51.08
94.3,94.54,94.78,95.06,95.35,93.87,92.39
9.39,12.42,15.44,12.67,9.9,12.34,14.77
98.73,98.57,98.41,99.11,99.81,99.49,99.17
89.46,89.44,89.43,90.35,91.28,91.38,91.47
5.89,5.41,4.93,4.71,4.49,4.23,3.98
91.72,94.41,97.1,95.19,93.28,96.52,99.75
1.78,2.21,2.64,2.97,3.31,3.93,4.55
0.6,0.78,0.96,1.52,2.07,2.61,3.15
10.28,13.88,17.48,18.33,19.17,21.58,24.0
6.34,6.72,7.1,6.93,6.75,6.8,6.84
72.43,73.86,75.29,75.37,75.45,74.37,73.3
3.53,3.88,4.23,5.32,6.4,6.96,7.51
2.96,5.38,7.8,12.83,17.86,24.51,31.16
15.19,19.15,23.11,26.47,29.83,32.15,34.47
3.76,4.11,4.46,6.13,7.8,9.28,10.76
99.52,99.26,99.01,97.65,96.28,94.04,91.79
97.77,98.33,98.89,98.87,98.85,98.98,99.11
83.06,85.15,87.23,85.06,82.9,91.29,99.68
21.87,22.94,24.01,24.86,25.72,26.42,27.12
65.62,69.69,73.77,69.78,65.78,65.88,65.98
59.85,54.47,49.09,49.01,48.93,51.5,54.07
2.55,4.82,7.1,6.24,5.38,8.86,12.35
17.03,18.62,20.22,23.44,26.65,30.56,34.47
17.03,17.6,18.18,18.68,19.17,19.81,20.46
80.17,82.36,84.56,85.2,85.83,86.2,86.57
56.03,53.1,50.18,45.04,39.89,37.83,35.77
39.64,39.82,39.99,38.32,36.64,35.56,34.47
44.29,44.53,44.76,46.46,48.17,50.58,52.99
99.97,99.96,99.94,99.35,98.76,80.74,62.73
10.7,11.76,12.83,13.62,14.42,13.67,12.92
62.81,64.36,65.9,69.85,73.8,76.4,78.99
78.41,80.9,83.38,83.56,83.73,84.66,85.58
32.12,32.18,32.25,27.92,23.59,21.25,18.91
70.33,69.24,68.16,66.97,65.78,64.62,63.46
95.48,95.98,96.47,96.24,96.02,95.75,95.48
25.18,33.46,41.74,50.85,59.95,65.24,70.53
78.41,73.75,69.09,61.3,53.52,38.76,24.0
28.72,30.48,32.25,36.58,40.91,44.6,48.28
36.39,36.61,36.84,38.36,39.89,39.9,39.91
46.39,46.07,45.75,46.45,47.15,47.22,47.29
19.8,18.32,16.84,17.35,17.86,18.39,18.91
57.12,58.8,60.49,59.33,58.17,60.45,62.73
4.33,6.54,8.76,11.59,14.42,17.11,19.8
44.29,52.39,60.49,69.69,78.89,81.18,83.48
28.72,37.78,46.83,71.79,96.75,89.92,83.1
2.1,2.99,3.88,6.1,8.31,11.08,13.84
93.6,94.44,95.29,94.54,93.79,82.89,71.99
3.15,3.36,3.57,4.62,5.67,7.64,9.61
43.33,49.28,55.24,62.8,70.36,72.9,75.43
81.41,79.09,76.76,70.52,64.28,64.62,64.96
5.19,5.44,5.7,5.44,5.19,5.11,5.03
52.82,54.67,56.51,53.82,51.13,46.58,42.04
24.45,23.37,22.29,22.51,22.73,22.79,22.85
36.39,34.32,32.25,32.97,33.68,32.93,32.18
57.12,59.32,61.51,64.69,67.88,69.93,71.99
51.74,53.04,54.35,56.81,59.28,61.74,64.19
34.42,33.34,32.25,33.38,34.51,34.49,34.47
36.39,37.14,37.89,39.4,40.91,42.74,44.56
17.03,17.94,18.85,19.3,19.74,20.82,21.9
22.76,23.38,24.01,25.33,26.65,27.26,27.88
30.85,31.09,31.33,31.66,32.0,32.09,32.18
17.7,17.94,18.18,18.68,19.17,19.81,20.46
90.39,91.35,92.3,93.22,94.14,94.59,95.04
9.11,7.93,6.75,6.39,6.02,5.52,5.03
9.87,10.27,10.67,10.94,11.21,12.07,12.92
12.8,13.15,13.5,13.77,14.04,13.69,13.34
38.62,38.26,37.89,35.78,33.68,34.72,35.77
52.82,52.6,52.37,49.76,47.15,44.02,40.9
86.98,87.1,87.23,86.82,86.41,85.8,85.2
32.12,31.23,30.34,29.22,28.11,28.4,28.68
49.51,51.4,53.3,53.41,53.52,48.36,43.19
99.94,99.94,99.94,99.96,99.97,99.94,99.9
99.78,99.78,99.78,99.74,99.71,99.63,99.55
17.7,19.32,20.95,20.72,20.5,20.82,21.13
98.63,98.72,98.82,98.84,98.85,98.78,98.7
49.51,49.3,49.09,49.01,48.93,49.13,49.33
71.6,70.86,70.11,74.2,78.29,78.28,78.26
82.59,83.58,84.56,84.67,84.78,83.19,81.6
11.72,12.04,12.35,12.36,12.38,12.36,12.35
36.39,35.51,34.64,32.81,30.98,30.59,30.2
97.45,97.72,97.99,98.1,98.22,97.92,97.61
71.06,72.88,74.69,76.79,78.89,80.79,82.69
27.67,28.53,29.39,31.54,33.68,36.8,39.91
70.33,71.22,72.11,70.31,68.51,65.62,62.73
91.95,93.66,95.38,94.58,93.79,94.7,95.61
58.36,57.44,56.51,62.2,67.88,72.54,77.21
28.72,29.53,30.34,32.01,33.68,34.08,34.47
25.95,24.53,23.11,23.65,24.2,24.44,24.67
11.72,12.28,12.83,12.02,11.21,10.25,9.29
97.58,97.5,97.42,96.92,96.43,95.43,94.43
99.65,99.57,99.49,99.52,99.55,99.48,99.4
14.65,14.57,14.49,14.26,14.04,13.69,13.34
66.6,66.25,65.9,66.35,66.79,62.86,58.94
98.92,98.95,98.98,99.0,99.01,98.93,98.85
54.66,54.5,54.35,54.38,54.41,57.2,59.99
68.29,72.11,75.93,78.96,81.98,82.34,82.69
22.76,20.47,18.18,15.49,12.8,15.01,17.22
95.96,95.67,95.38,94.93,94.49,93.73,92.97
95.48,95.76,96.05,96.26,96.47,96.16,95.86
4.87,5.57,6.27,7.03,7.8,8.42,9.04
85.42,86.54,87.65,87.81,87.97,87.68,87.4
5.54,7.15,8.76,17.24,25.72,19.78,13.84
57.12,57.78,58.45,62.12,65.78,68.16,70.53
94.62,94.7,94.78,94.76,94.75,94.59,94.43
97.64,97.61,97.58,97.46,97.33,96.79,96.24
98.76,98.71,98.66,98.65,98.63,98.42,98.22
30.85,29.59,28.33,27.02,25.72,25.6,25.49
72.43,75.17,77.91,78.1,78.29,78.64,78.99
66.6,70.64,74.69,75.07,75.45,76.33,77.21
28.72,28.02,27.32,25.76,24.2,23.83,23.46
58.36,56.8,55.24,58.18,61.13,59.65,58.18
4.68,4.57,4.46,4.47,4.49,4.4,4.3
12.23,11.94,11.65,10.58,9.52,8.67,7.83
88.83,88.34,87.84,87.48,87.11,86.6,86.09
87.14,87.06,86.98,85.6,84.21,82.2,80.2
88.83,88.72,88.6,88.66,88.73,88.54,88.35
72.43,71.76,71.09,69.8,68.51,65.98,63.46
80.74,81.28,81.82,82.78,83.73,82.66,81.6
54.66,56.56,58.45,59.79,61.13,61.93,62.73
86.06,86.85,87.65,87.38,87.11,86.96,86.82
21.87,22.08,22.29,23.24,24.2,23.83,23.46
99.52,99.54,99.55,99.58,99.62,99.64,99.65
19.01,20.32,21.62,20.68,19.74,19.77,19.8
100.0,100.0,100.0,100.0,100.0,100.0,100.0
71.06,73.5,75.93,72.72,69.5,66.84,64.19
56.03,55.64,55.24,57.6,59.95,60.53,61.11
8.15,10.49,12.83,15.34,17.86,18.07,18.27
89.46,89.35,89.24,88.94,88.63,88.12,87.62
11.17,12.34,13.5,13.96,14.42,15.3,16.17
62.81,63.94,65.07,64.15,63.23,60.7,58.18
49.51,50.94,52.37,47.78,43.2,39.87,36.54
27.67,29.5,31.33,32.51,33.68,33.36,33.04
6.34,6.72,7.1,8.12,9.14,8.16,7.19
23.75,22.68,21.62,21.86,22.09,21.28,20.46
73.26,72.18,71.09,78.75,86.41,91.7,96.98
17.7,17.94,18.18,19.66,21.14,22.0,22.85
30.85,34.89,38.94,37.3,35.66,32.17,28.68
5.54,5.62,5.7,5.86,6.02,5.94,5.86
10.7,11.76,12.83,12.6,12.38,11.8,11.23
30.02,29.71,29.39,30.18,30.98,31.58,32.18
36.39,37.14,37.89,39.4,40.91,40.41,39.91
19.01,18.93,18.85,19.3,19.74,20.1,20.46
44.29,45.02,45.75,41.2,36.64,33.9,31.16
19.8,21.04,22.29,23.24,24.2,25.22,26.23
59.85,60.17,60.49,60.22,59.95,56.06,52.16
2.71,2.77,2.83,2.51,2.2,2.15,2.1
3.15,3.15,3.15,3.23,3.31,3.16,3.02
17.03,18.34,19.64,19.07,18.5,19.81,21.13
19.8,21.46,23.11,22.6,22.09,21.28,20.46
12.8,11.96,11.11,14.49,17.86,18.83,19.8
4.33,5.01,5.7,6.4,7.1,7.68,8.27
41.74,41.74,41.74,40.35,38.97,40.51,42.04
10.7,10.68,10.67,10.73,10.79,10.2,9.61
32.12,33.38,34.64,35.64,36.64,36.97,37.3
16.56,14.7,12.83,16.28,19.74,20.82,21.9
17.03,16.93,16.84,17.14,17.45,18.18,18.91
0.0,0.0,0.0,0.0,0.0,0.02,0.03
37.47,38.2,38.94,38.29,37.63,37.08,36.54
5.89,7.32,8.76,9.33,9.9,10.92,11.94
2.36,2.31,2.26,2.31,2.36,2.28,2.2
45.34,68.36,91.37,88.07,84.78,91.15,97.52
0.89,0.92,0.96,0.88,0.8,0.84,0.89
34.42,30.87,27.32,25.02,22.73,19.97,17.22
3.53,3.88,4.23,4.36,4.49,4.95,5.41
11.17,11.41,11.65,11.78,11.91,11.92,11.94
19.8,19.32,18.85,19.01,19.17,18.44,17.7
7.26,7.53,7.8,8.47,9.14,9.38,9.61
25.18,24.93,24.67,24.84,25.02,24.51,24.0
9.39,10.25,11.11,11.16,11.21,11.22,11.23
35.59,39.16,42.73,44.44,46.16,46.32,46.47
30.85,31.09,31.33,38.3,45.27,47.3,49.33
41.74,43.74,45.75,47.98,50.21,52.14,54.07
47.56,53.5,59.44,61.86,64.28,62.14,59.99
32.12,31.72,31.33,28.99,26.65,26.07,25.49
3.31,3.32,3.34,4.07,4.81,5.26,5.7
30.85,28.62,26.39,32.01,37.63,40.41,43.19
33.17,32.71,32.25,42.88,53.52,57.78,62.03
16.11,16.27,16.43,17.46,18.5,20.2,21.9
3.15,3.24,3.34,3.5,3.66,3.56,3.47
61.0,60.74,60.49,57.85,55.21,53.68,52.16
5.19,5.28,5.38,18.18,30.98,20.3,9.61
4.33,4.28,4.23,4.01,3.79,3.74,3.69
63.77,64.83,65.9,65.84,65.78,66.53,67.28
32.12,32.18,32.25,28.64,25.02,24.24,23.46
27.67,30.56,33.46,31.18,28.91,26.79,24.67
93.35,94.06,94.78,95.76,96.75,96.56,96.37
30.02,33.43,36.84,38.36,39.89,42.22,44.56
33.17,32.25,31.33,30.58,29.83,28.85,27.88
4.68,5.03,5.38,4.94,4.49,4.4,4.3
65.62,66.89,68.16,65.69,63.23,57.16,51.08
3.53,3.55,3.57,3.68,3.79,3.74,3.69
79.72,81.98,84.24,85.91,87.58,88.36,89.15
62.81,54.28,45.75,42.36,38.97,34.58,30.2
48.55,50.46,52.37,54.78,57.18,60.32,63.46
13.5,14.7,15.89,15.65,15.41,16.01,16.61
37.47,38.73,39.99,40.45,40.91,42.05,43.19
93.22,94.43,95.64,96.15,96.66,96.72,96.79
1.24,1.29,1.34,1.3,1.27,1.28,1.3
49.51,51.93,54.35,52.74,51.13,48.8,46.47
14.65,15.74,16.84,16.49,16.14,16.38,16.61
61.0,65.55,70.11,75.08,80.04,80.82,81.6
34.42,34.53,34.64,30.18,25.72,24.86,24.0
30.85,34.37,37.89,40.54,43.2,44.28,45.35
77.36,77.64,77.91,78.1,78.29,79.46,80.62
28.72,29.05,29.39,30.18,30.98,29.83,28.68
2.96,3.15,3.34,3.5,3.66,3.68,3.69
7.26,7.82,8.37,7.74,7.1,6.78,6.46
37.47,45.91,54.35,54.78,55.21,54.1,52.99
15.79,15.84,15.89,16.67,17.45,15.64,13.84
22.76,26.08,29.39,33.51,37.63,39.26,40.9
21.36,20.1,18.85,21.22,23.59,21.25,18.91
42.22,43.98,45.75,44.47,43.2,43.2,43.19
46.39,50.37,54.35,45.5,36.64,34.84,33.04
32.12,31.72,31.33,38.75,46.16,48.62,51.08
25.95,30.3,34.64,34.58,34.51,35.9,37.3
36.39,36.61,36.84,34.91,32.98,34.76,36.54
7.8,9.24,10.67,9.9,9.14,8.32,7.51
39.64,39.82,39.99,38.32,36.64,36.2,35.77
3.15,3.69,4.23,5.12,6.02,6.76,7.51
0.48,0.52,0.57,0.57,0.57,0.64,0.7
74.98,76.87,78.76,81.61,84.46,85.28,86.09
1.05,1.2,1.34,1.13,0.92,0.76,0.6
4.33,4.54,4.74,4.78,4.81,5.11,5.41
26.77,30.12,33.46,34.56,35.66,37.08,38.51
33.17,33.9,34.64,35.15,35.66,36.48,37.3
73.26,74.6,75.93,83.28,90.64,91.8,92.97
22.76,22.52,22.29,25.6,28.91,30.54,32.18
32.12,33.93,35.75,31.62,27.48,28.08,28.68
43.33,47.26,51.19,61.14,71.09,68.54,65.98
59.06,60.28,61.51,61.92,62.34,63.26,64.19
73.26,73.98,74.69,76.49,78.29,77.4,76.51
