2014 Mortality Data and Encoding,2015 Mortality Data and Encoding,2016 Mortality Data and Encoding,2017 Mortality Data and Encoding,2018 Mortality Data and Encoding,2019 Mortality Data and Encoding,2020 Mortality Data and Encoding,2014 Dispensing Data and Encoding,2015 Dispensing Data and Encoding,2016 Dispensing Data and Encoding,2017 Dispensing Data and Encoding,2018 Dispensing Data and Encoding,2019 Dispensing Data and Encoding,2020 Dispensing Data and Encoding,2014 SVI Aged 17 or Younger Data and Encoding,2015 SVI Aged 17 or Younger Data and Encoding,2016 SVI Aged 17 or Younger Data and Encoding,2017 SVI Aged 17 or Younger Data and Encoding,2018 SVI Aged 17 or Younger Data and Encoding,2019 SVI Aged 17 or Younger Data and Encoding,2020 SVI Aged 17 or Younger Data and Encoding,2014 SVI Aged 65 or Older Data and Encoding,2015 SVI Aged 65 or Older Data and Encoding,2016 SVI Aged 65 or Older Data and Encoding,2017 SVI Aged 65 or Older Data and Encoding,2018 SVI Aged 65 or Older Data and Encoding,2019 SVI Aged 65 or Older Data and Encoding,2020 SVI Aged 65 or Older Data and Encoding,2014 SVI Below Poverty Data and Encoding,2015 SVI Below Poverty Data and Encoding,2016 SVI Below Poverty Data and Encoding,2017 SVI Below Poverty Data and Encoding,2018 SVI Below Poverty Data and Encoding,2019 SVI Below Poverty Data and Encoding,2020 SVI Below Poverty Data and Encoding,2014 SVI Crowding Data and Encoding,2015 SVI Crowding Data and Encoding,2016 SVI Crowding Data and Encoding,2017 SVI Crowding Data and Encoding,2018 SVI Crowding Data and Encoding,2019 SVI Crowding Data and Encoding,2020 SVI Crowding Data and Encoding,2014 SVI Disability Data and Encoding,2015 SVI Disability Data and Encoding,2016 SVI Disability Data and Encoding,2017 SVI Disability Data and Encoding,2018 SVI Disability Data and Encoding,2019 SVI Disability Data and Encoding,2020 SVI Disability Data and Encoding,2014 SVI Group Quarters Data and Encoding,2015 SVI Group Quarters Data and Encoding,2016 SVI Group Quarters Data and Encoding,2017 SVI Group Quarters Data and Encoding,2018 SVI Group Quarters Data and Encoding,2019 SVI Group Quarters Data and Encoding,2020 SVI Group Quarters Data and Encoding,2014 SVI Limited English Ability Data and Encoding,2015 SVI Limited English Ability Data and Encoding,2016 SVI Limited English Ability Data and Encoding,2017 SVI Limited English Ability Data and Encoding,2018 SVI Limited English Ability Data and Encoding,2019 SVI Limited English Ability Data and Encoding,2020 SVI Limited English Ability Data and Encoding,2014 SVI Minority Status Data and Encoding,2015 SVI Minority Status Data and Encoding,2016 SVI Minority Status Data and Encoding,2017 SVI Minority Status Data and Encoding,2018 SVI Minority Status Data and Encoding,2019 SVI Minority Status Data and Encoding,2020 SVI Minority Status Data and Encoding,2014 SVI Mobile Homes Data and Encoding,2015 SVI Mobile Homes Data and Encoding,2016 SVI Mobile Homes Data and Encoding,2017 SVI Mobile Homes Data and Encoding,2018 SVI Mobile Homes Data and Encoding,2019 SVI Mobile Homes Data and Encoding,2020 SVI Mobile Homes Data and Encoding,2014 SVI Multi-Unit Structures Data and Encoding,2015 SVI Multi-Unit Structures Data and Encoding,2016 SVI Multi-Unit Structures Data and Encoding,2017 SVI Multi-Unit Structures Data and Encoding,2018 SVI Multi-Unit Structures Data and Encoding,2019 SVI Multi-Unit Structures Data and Encoding,2020 SVI Multi-Unit Structures Data and Encoding,2014 SVI No High School Diploma Data and Encoding,2015 SVI No High School Diploma Data and Encoding,2016 SVI No High School Diploma Data and Encoding,2017 SVI No High School Diploma Data and Encoding,2018 SVI No High School Diploma Data and Encoding,2019 SVI No High School Diploma Data and Encoding,2020 SVI No High School Diploma Data and Encoding,2014 SVI No Vehicle Data and Encoding,2015 SVI No Vehicle Data and Encoding,2016 SVI No Vehicle Data and Encoding,2017 SVI No Vehicle Data and Encoding,2018 SVI No Vehicle Data and Encoding,2019 SVI No Vehicle Data and Encoding,2020 SVI No Vehicle Data and Encoding,2014 SVI Single-Parent Household Data and Encoding,2015 SVI Single-Parent Household Data and Encoding,2016 SVI Single-Parent Household Data and Encoding,2017 SVI Single-Parent Household Data and Encoding,2018 SVI Single-Parent Household Data and Encoding,2019 SVI Single-Parent Household Data and Encoding,2020 SVI Single-Parent Household Data and Encoding,2014 SVI Unemployed Data and Encoding,2015 SVI Unemployed Data and Encoding,2016 SVI Unemployed Data and Encoding,2017 SVI Unemployed Data and Encoding,2018 SVI Unemployed Data and Encoding,2019 SVI Unemployed Data and Encoding,2020 SVI Unemployed Data and Encoding
14.2,18.1,14.5,17.4,20.0,18.7,23.0,132.1,120.6,120.4,107.4,96.0,41.2,39.3,72.75,72.54,72.33,73.81,75.29,74.82,74.35,30.85,29.59,28.33,27.9,27.48,27.68,27.88,66.7,71.57,76.44,74.83,73.22,70.9,68.59,84.05,79.96,75.87,73.26,70.65,71.51,72.37,66.92,65.26,63.61,66.03,68.45,76.25,84.05,10.09,11.21,12.32,11.99,11.65,13.67,15.69,82.46,81.52,80.58,77.74,74.91,73.84,72.76,56.96,56.67,56.38,56.28,56.19,55.69,55.19,95.32,95.3,95.29,95.42,95.54,95.68,95.83,17.99,17.72,17.45,14.66,11.88,13.86,15.85,85.2,82.72,80.23,78.57,76.92,80.18,83.45,34.8,40.08,45.37,40.54,35.72,29.18,22.63,63.64,59.35,55.05,67.49,79.94,72.02,64.1,65.46,65.06,64.66,69.73,74.81,73.16,71.51
5.7,6.7,7.1,7.6,7.3,8.0,9.6,141.2,97.0,97.8,91.5,67.4,37.5,37.8,31.9,29.8,27.7,26.2,24.71,24.59,24.47,78.41,79.16,79.91,81.2,82.49,82.59,82.69,78.89,79.14,79.4,82.54,85.67,80.89,76.1,33.59,31.09,28.59,29.12,29.64,23.22,16.8,96.75,97.47,98.19,98.65,99.11,98.24,97.36,29.04,29.39,29.74,29.96,30.18,28.52,26.86,5.09,2.54,0.0,14.85,29.7,22.87,16.04,85.26,84.91,84.56,84.06,83.57,83.06,82.56,93.89,94.46,95.03,94.9,94.78,95.68,96.59,20.79,24.36,27.92,23.75,19.58,16.52,13.46,93.19,88.8,84.4,82.03,79.66,80.17,80.68,80.32,85.62,90.93,90.94,90.96,80.22,69.48,72.62,62.82,53.01,56.19,59.38,71.76,84.15,90.61,93.49,96.37,95.76,95.16,86.02,76.89
6.9,7.5,8.0,9.6,9.2,10.6,11.2,184.3,165.6,164.7,156.1,144.4,66.3,65.9,59.41,55.34,51.26,48.84,46.42,44.42,42.43,56.03,57.24,58.45,58.86,59.28,59.63,59.99,92.87,91.14,89.4,90.99,92.58,90.94,89.31,40.97,39.0,37.03,40.8,44.57,47.44,50.32,54.76,54.48,54.19,59.2,64.22,71.29,78.36,20.98,26.06,31.14,32.86,34.57,34.87,35.17,15.47,18.13,20.79,13.93,7.07,7.83,8.59,86.79,86.66,86.53,86.48,86.44,86.38,86.31,89.97,90.55,91.12,90.48,89.84,90.22,90.61,39.13,40.29,41.45,37.68,33.91,28.04,22.18,76.95,76.9,76.85,78.62,80.39,80.66,80.94,94.46,94.46,94.46,92.93,91.4,88.38,85.36,85.13,61.6,38.08,41.63,45.18,64.98,84.79,99.08,98.92,98.76,98.54,98.31,98.04,97.77
7.9,9.6,10.9,11.7,10.5,12.2,13.7,150.6,139.7,133.7,117.4,105.7,84.5,81.7,40.27,38.63,36.99,35.13,33.27,31.69,30.11,68.29,69.2,70.11,68.45,66.79,65.49,64.19,66.19,61.42,56.64,64.5,72.36,71.52,70.69,73.42,44.46,15.5,13.86,12.23,16.1,19.96,82.43,70.88,59.34,53.69,48.04,62.93,77.82,51.1,50.45,49.79,48.54,47.28,45.95,44.62,54.92,47.42,39.92,34.81,29.7,19.14,8.59,57.66,57.28,56.89,56.41,55.94,55.09,54.23,91.75,89.22,86.69,83.46,80.23,82.18,84.12,11.27,8.24,5.22,6.06,6.91,7.78,8.66,91.82,93.22,94.62,94.52,94.43,89.74,85.04,47.63,34.01,20.38,22.29,24.2,37.37,50.54,84.81,88.18,91.56,82.36,73.16,82.32,91.47,76.5,61.33,46.16,55.8,65.45,62.58,59.71
14.5,15.6,13.2,15.8,13.5,13.9,18.4,48.2,51.1,44.2,47.8,38.2,14.5,5.7,64.5,63.83,63.16,61.16,59.15,57.18,55.22,59.85,59.64,59.44,58.31,57.18,61.58,65.98,62.4,67.94,73.48,73.1,72.71,69.86,67.0,87.07,65.22,43.36,27.8,12.23,22.03,31.83,84.24,87.58,90.93,91.44,91.95,88.56,85.17,18.05,18.86,19.68,19.09,18.5,20.74,22.98,11.52,32.14,52.75,49.58,46.42,44.7,42.97,28.33,27.49,26.65,25.92,25.18,23.6,22.02,92.01,91.77,91.53,92.55,93.57,93.35,93.13,8.88,9.2,9.52,8.22,6.91,6.35,5.79,91.05,93.12,95.19,93.34,91.5,86.87,82.24,36.52,44.22,51.93,36.54,21.14,39.63,58.12,27.41,18.59,9.77,11.14,12.51,14.0,15.5,52.88,54.2,55.52,67.24,78.95,48.72,18.49
7.5,6.9,8.9,9.0,8.2,9.8,11.2,143.2,131.9,129.5,121.5,114.2,79.8,74.4,65.11,66.33,67.56,67.91,68.26,69.06,69.86,36.39,35.51,34.64,33.32,32.0,31.58,31.16,66.7,60.68,54.66,53.48,52.29,53.94,55.6,19.77,25.34,30.91,30.27,29.64,44.61,59.58,65.87,69.1,72.33,70.39,68.45,67.79,67.12,22.45,22.92,23.4,22.62,21.84,20.48,19.13,78.1,73.7,69.31,68.24,67.18,64.11,61.04,68.67,68.72,68.77,68.8,68.83,68.73,68.62,59.41,57.77,56.13,58.39,60.65,61.71,62.76,15.12,15.9,16.68,15.9,15.12,18.65,22.18,65.3,62.93,60.55,59.88,59.22,63.84,68.46,38.2,43.48,48.77,51.59,54.41,49.31,44.21,81.18,79.82,78.45,75.81,73.16,81.47,89.78,37.76,39.35,40.94,48.82,56.69,59.06,61.43
7.8,8.4,8.9,8.9,9.0,11.7,12.8,234.3,222.9,208.1,188.0,167.0,156.9,150.0,36.01,36.32,36.64,35.84,35.05,34.1,33.16,63.77,63.1,62.43,62.39,62.34,60.64,58.94,63.8,59.58,55.36,57.84,60.32,54.47,48.63,28.81,18.31,7.8,5.51,3.22,4.36,5.51,84.24,82.28,80.32,78.03,75.74,71.43,67.12,11.33,10.57,9.81,9.59,9.36,9.56,9.77,30.95,24.58,18.21,20.46,22.7,35.03,47.36,59.15,58.98,58.8,58.48,58.17,57.94,57.7,42.34,43.01,43.68,43.62,43.55,43.76,43.98,48.49,46.8,45.11,42.74,40.37,41.42,42.46,63.55,65.92,68.29,68.42,68.55,68.18,67.82,54.6,54.78,54.95,55.6,56.26,47.8,39.34,54.12,53.28,52.44,51.48,50.53,54.81,59.1,68.04,63.76,59.47,58.08,56.69,43.67,30.65
12.9,14.0,15.8,17.9,18.2,14.9,21.0,154.4,102.8,93.9,88.6,88.5,110.5,113.3,42.44,43.81,45.18,39.68,34.19,33.02,31.86,74.21,75.76,77.3,78.67,80.04,80.33,80.62,97.96,97.78,97.61,91.64,85.67,87.24,88.8,55.17,55.65,56.13,37.51,18.88,11.38,3.88,94.08,91.56,89.05,90.8,92.55,92.39,92.23,3.12,3.28,3.44,3.42,3.41,3.52,3.63,28.59,14.3,0.0,0.0,0.0,0.0,0.0,88.25,88.16,88.06,87.96,87.87,87.72,87.56,93.89,93.95,94.01,93.22,92.42,93.44,94.46,19.48,16.2,12.93,10.68,8.44,10.95,13.46,89.4,85.98,82.55,82.33,82.11,76.66,71.2,89.49,77.68,65.87,65.76,65.65,77.42,89.18,67.72,71.12,74.53,79.57,84.62,77.38,70.15,99.78,99.65,99.52,97.94,96.37,92.18,88.0
9.2,10.7,12.1,13.8,13.2,12.0,15.3,35.7,26.8,25.4,24.1,24.4,0.0,0.0,10.16,9.44,8.72,7.05,5.38,5.25,5.12,59.85,62.11,64.37,72.65,80.93,82.2,83.48,73.32,60.44,47.56,45.93,44.3,48.14,51.97,45.53,42.57,39.61,25.92,12.23,44.71,77.18,88.16,89.9,91.63,91.79,91.95,92.94,93.92,61.48,65.25,69.02,70.82,72.62,73.1,73.58,46.77,54.81,62.85,46.28,29.7,30.43,31.16,76.44,75.94,75.45,74.8,74.15,74.1,74.06,95.77,95.2,94.62,94.18,93.73,94.48,95.23,4.78,4.3,3.82,3.85,3.88,6.27,8.66,89.56,92.82,96.08,91.1,86.12,82.35,78.58,58.87,61.56,64.25,45.61,26.97,15.73,4.49,31.2,17.84,4.49,6.51,8.53,11.38,14.23,99.08,97.0,94.91,74.86,54.81,33.01,11.2
10.1,9.3,8.4,10.4,10.1,12.0,16.9,216.2,198.8,170.9,147.5,135.1,94.2,85.3,39.99,41.31,42.63,42.93,43.23,43.6,43.98,76.44,76.6,76.76,74.62,72.49,71.84,71.2,73.77,72.1,70.42,71.1,71.78,70.88,69.99,63.32,50.65,37.98,46.48,54.98,55.77,56.56,88.98,88.33,87.68,86.79,85.9,84.69,83.48,35.91,38.07,40.24,42.36,44.48,46.14,47.8,49.28,46.26,43.23,36.47,29.7,19.14,8.59,52.59,52.32,52.05,51.44,50.84,50.32,49.81,73.0,73.94,74.88,78.36,81.85,82.35,82.85,17.45,16.6,15.76,19.96,24.16,21.12,18.08,77.49,77.34,77.2,75.9,74.59,72.21,69.83,42.38,41.12,39.86,40.34,40.82,49.47,58.12,66.06,56.18,46.29,55.14,63.99,64.68,65.37,72.78,80.66,88.54,88.28,88.03,87.42,86.82
7.3,7.5,8.0,9.7,8.7,9.5,11.4,101.5,94.0,90.9,80.9,59.8,33.1,33.4,55.91,55.02,54.12,52.82,51.51,51.86,52.2,51.74,52.06,52.37,52.26,52.15,53.11,54.07,57.12,61.58,66.03,61.02,56.02,61.0,65.98,23.4,16.37,9.33,10.78,12.23,16.1,19.96,76.5,78.22,79.94,83.36,86.79,89.18,91.57,19.33,19.0,18.66,20.25,21.84,26.7,31.57,56.06,58.42,60.78,61.94,63.1,47.13,31.16,69.79,69.47,69.15,68.66,68.16,67.79,67.41,92.93,92.46,91.98,91.34,90.7,91.26,91.82,3.12,3.96,4.81,5.86,6.91,8.47,10.03,87.01,86.55,86.09,87.66,89.24,90.56,91.88,31.36,47.16,62.97,63.1,63.23,68.55,73.87,86.69,79.67,72.65,67.49,62.34,63.86,65.37,74.91,66.52,58.13,56.47,54.81,42.73,30.65
