2014 SVI Crowding Data and Encoding,2015 SVI Crowding Data and Encoding,2016 SVI Crowding Data and Encoding,2017 SVI Crowding Data and Encoding,2018 SVI Crowding Data and Encoding,2019 SVI Crowding Data and Encoding,2020 SVI Crowding Data and Encoding
95.32,96.08,96.85,95.99,95.13,94.4,93.67
98.03,96.18,94.33,89.92,85.51,89.59,93.67
95.7,95.16,94.62,93.79,92.96,93.62,94.27
90.51,90.4,90.29,90.61,90.93,90.31,89.69
79.15,82.82,86.5,86.5,86.5,84.29,82.08
98.63,98.46,98.28,98.25,98.22,98.14,98.06
87.84,87.73,87.62,87.06,86.5,85.26,84.02
84.69,85.24,85.8,85.65,85.51,85.93,86.35
94.33,94.66,95.0,93.68,92.36,92.74,93.13
78.83,75.28,71.73,67.43,63.13,59.84,56.56
96.4,96.08,95.77,96.22,96.66,97.28,97.9
4.68,11.46,18.24,25.92,33.59,48.0,62.41
40.21,43.18,46.16,39.88,33.59,32.71,31.83
22.48,29.1,35.72,48.1,60.49,56.96,53.44
74.59,74.82,75.04,79.26,83.48,85.95,88.42
70.55,69.69,68.83,65.98,63.13,53.38,43.63
95.45,92.72,90.0,86.74,83.48,74.15,64.83
0.0,9.88,19.77,20.9,22.03,12.02,2.01
71.82,81.16,90.51,92.16,93.82,93.12,92.43
84.78,73.43,62.08,56.94,51.8,58.32,64.83
18.18,39.62,61.06,60.78,60.49,68.01,75.53
57.66,60.7,63.74,52.15,40.56,34.08,27.59
44.32,45.8,47.28,33.08,18.88,37.72,56.56
13.18,16.5,19.83,20.93,22.03,14.47,6.91
58.8,55.84,52.88,71.0,89.11,91.69,94.27
83.19,79.05,74.91,67.7,60.49,52.06,43.63
60.71,62.35,63.99,67.32,70.65,62.04,53.44
84.37,85.29,86.21,81.21,76.22,75.1,73.97
93.16,90.76,88.35,85.92,83.48,78.72,73.97
17.29,26.86,36.42,45.7,54.98,74.93,94.88
6.37,8.94,11.52,7.37,3.22,2.62,2.01
52.72,36.65,20.57,25.1,29.64,38.53,47.42
70.71,46.32,21.94,29.48,37.03,50.93,64.83
46.77,52.9,59.03,53.6,48.17,47.8,47.42
36.87,53.08,69.28,73.66,78.03,75.2,72.37
79.97,87.18,94.4,89.96,85.51,89.89,94.27
73.77,71.35,68.93,56.75,44.57,58.47,72.37
31.49,39.4,47.31,43.94,40.56,45.44,50.32
20.38,29.44,38.49,49.49,60.49,65.35,70.21
76.7,76.22,75.74,75.98,76.22,76.7,77.18
23.37,26.35,29.32,51.83,74.34,70.89,67.44
79.02,76.25,73.48,68.3,63.13,75.77,88.42
69.53,72.65,75.77,69.45,63.13,73.11,83.1
67.72,70.01,72.3,54.66,37.03,28.5,19.96
64.82,66.4,67.97,64.23,60.49,33.0,5.51
35.18,45.12,55.05,55.01,54.98,57.28,59.58
85.04,87.73,90.42,88.46,86.5,84.29,82.08
6.3,9.62,12.93,30.55,48.17,40.0,31.83
48.2,47.48,46.77,38.2,29.64,41.54,53.44
8.85,15.8,22.76,31.66,40.56,59.66,78.77
84.02,84.86,85.71,86.41,87.11,53.54,19.96
16.68,17.27,17.86,15.04,12.23,29.83,47.42
50.24,51.45,52.66,61.65,70.65,62.04,53.44
62.5,65.88,69.25,60.53,51.8,43.9,36.0
65.46,69.54,73.61,73.97,74.34,76.55,78.77
76.19,59.2,42.22,39.62,37.03,42.22,47.42
71.92,62.53,53.14,68.85,84.56,85.02,85.49
79.59,73.48,67.37,78.5,89.62,88.65,87.68
49.32,62.42,75.52,60.04,44.57,70.06,95.54
55.68,50.14,44.6,51.3,58.01,44.92,31.83
59.34,73.8,88.25,91.04,93.82,83.1,72.37
62.69,68.2,73.7,62.75,51.8,30.28,8.75
42.47,62.1,81.73,78.04,74.34,81.01,87.68
91.56,84.98,78.41,82.46,86.5,89.46,92.43
79.37,78.79,78.22,45.22,12.23,24.12,36.0
45.37,43.14,40.91,56.7,72.49,74.01,75.53
91.95,90.68,89.4,90.48,91.56,83.54,75.53
88.0,90.61,93.22,92.23,91.24,88.06,84.88
78.13,76.61,75.1,65.04,54.98,47.6,40.23
68.29,71.28,74.28,76.16,78.03,64.18,50.32
37.76,41.55,45.34,46.76,48.17,52.36,56.56
42.5,55.56,68.61,70.55,72.49,72.43,72.37
78.96,70.25,61.54,67.02,72.49,72.43,72.37
35.63,46.0,56.38,52.28,48.17,42.08,36.0
88.95,87.74,86.53,83.03,79.53,83.6,87.68
47.5,50.02,52.53,34.02,15.5,9.69,3.88
69.4,73.36,77.33,80.4,83.48,81.81,80.14
92.74,94.27,95.8,96.56,97.33,97.24,97.14
80.71,84.5,88.28,83.9,79.53,70.97,62.41
81.28,50.1,18.91,18.9,18.88,44.54,70.21
88.89,91.45,94.01,93.18,92.36,92.4,92.43
74.31,64.66,55.01,59.07,63.13,63.98,64.83
90.64,88.64,86.63,84.3,81.98,85.2,88.42
66.86,61.3,55.75,46.39,37.03,40.33,43.63
61.76,67.38,73.0,41.4,9.81,22.9,36.0
92.26,92.85,93.44,93.79,94.14,93.9,93.67
95.03,95.78,96.53,96.94,97.36,97.34,97.33
58.77,51.9,45.02,52.76,60.49,72.99,85.49
28.3,38.26,48.23,60.36,72.49,71.35,70.21
78.1,77.5,76.89,78.21,79.53,81.32,83.1
47.95,50.5,53.04,52.42,51.8,51.06,50.32
97.45,97.6,97.74,97.08,96.43,95.78,95.13
90.74,91.02,91.31,91.44,91.56,92.0,92.43
88.51,88.3,88.09,89.66,91.24,89.18,87.11
58.55,57.52,56.48,57.24,58.01,64.11,70.21
98.76,98.62,98.47,98.5,98.54,98.5,98.47
91.18,92.74,94.3,90.7,87.11,86.73,86.35
85.45,85.77,86.09,86.3,86.5,87.09,87.68
98.54,98.66,98.79,98.86,98.92,98.79,98.66
61.35,51.58,41.8,44.98,48.17,49.24,50.32
98.34,98.3,98.25,98.4,98.54,98.4,98.25
98.5,98.36,98.22,98.06,97.9,97.85,97.8
77.49,77.42,77.36,78.44,79.53,82.51,85.49
81.15,61.62,42.09,34.06,26.04,36.73,47.42
99.3,99.24,99.17,99.17,99.17,99.24,99.3
98.79,98.58,98.38,98.36,98.34,98.77,99.2
82.01,83.44,84.88,86.58,88.28,89.27,90.26
38.55,52.75,66.95,62.48,58.01,61.42,64.83
93.95,93.79,93.63,93.2,92.77,93.4,94.02
98.38,98.25,98.12,98.39,98.66,98.28,97.9
34.86,41.45,48.04,65.01,81.98,81.06,80.14
87.33,71.69,56.06,42.85,29.64,59.03,88.42
99.36,99.41,99.46,99.52,99.59,99.67,99.75
95.22,94.87,94.52,94.99,95.45,95.29,95.13
59.92,55.14,50.37,51.08,51.8,47.72,43.63
98.44,98.25,98.06,98.18,98.31,98.18,98.06
66.63,62.73,58.83,56.91,54.98,52.65,50.32
40.85,40.05,39.26,25.74,12.23,38.53,64.83
96.98,96.93,96.88,96.66,96.43,96.59,96.75
92.65,92.26,91.88,91.93,91.98,92.74,93.51
97.71,97.78,97.84,97.9,97.96,97.55,97.14
98.12,98.06,97.99,98.16,98.34,98.2,98.06
95.1,95.49,95.89,95.96,96.02,96.26,96.5
95.48,95.49,95.51,95.54,95.57,95.96,96.34
97.2,96.99,96.78,96.86,96.94,97.14,97.33
83.44,83.84,84.24,82.57,80.9,79.83,78.77
96.78,97.02,97.26,97.36,97.45,97.26,97.07
98.6,98.66,98.73,98.86,98.98,98.96,98.95
97.29,97.45,97.61,97.69,97.77,97.65,97.52
95.07,95.68,96.28,96.61,96.94,96.72,96.5
63.07,67.49,71.92,76.41,80.9,79.83,78.77
0.0,0.83,1.66,1.69,1.72,10.84,19.96
85.99,81.93,77.87,78.7,79.53,80.33,81.13
91.28,91.18,91.09,92.02,92.96,93.62,94.27
92.71,92.98,93.25,93.1,92.96,92.7,92.43
96.43,96.43,96.43,96.22,96.02,96.38,96.75
96.72,96.53,96.34,95.96,95.57,95.73,95.89
94.27,94.04,93.82,93.39,92.96,90.69,88.42
90.32,87.01,83.7,76.17,68.64,79.45,90.26
98.95,98.8,98.66,98.71,98.76,98.79,98.82
73.58,76.24,78.89,78.46,78.03,71.43,64.83
96.24,96.45,96.66,96.29,95.92,95.81,95.7
93.25,93.22,93.19,93.5,93.82,94.35,94.88
97.52,97.36,97.2,97.07,96.94,93.9,90.87
92.77,93.42,94.08,93.8,93.51,92.68,91.85
72.94,81.39,89.84,84.68,79.53,86.52,93.51
78.06,77.85,77.65,75.99,74.34,74.94,75.53
79.53,84.04,88.54,88.2,87.87,84.98,82.08
19.68,26.02,32.35,32.97,33.59,48.0,62.41
58.83,66.33,73.83,62.82,51.8,30.28,8.75
51.48,50.76,50.05,45.3,40.56,36.2,31.83
42.12,44.76,47.41,45.99,44.57,34.17,23.77
23.15,20.54,17.92,16.71,15.5,45.51,75.53
4.84,5.82,6.81,8.31,9.81,5.91,2.01
18.62,31.34,44.06,38.82,33.59,34.8,36.0
86.31,86.5,86.69,86.1,85.51,88.68,91.85
36.9,32.69,28.49,49.57,70.65,82.64,94.62
50.49,68.9,87.3,80.82,74.34,63.89,53.44
84.72,84.56,84.4,76.52,68.64,65.53,62.41
77.14,79.61,82.08,71.28,60.49,48.24,36.0
83.22,82.36,81.5,80.52,79.53,79.15,78.77
61.99,72.59,83.19,63.88,44.57,22.28,0.0
10.82,13.34,15.85,17.36,18.88,23.24,27.59
85.2,84.85,84.5,86.8,89.11,88.76,88.42
62.43,57.88,53.33,41.48,29.64,23.22,16.8
67.88,67.83,67.78,70.13,72.49,72.43,72.37
19.83,28.73,37.63,31.84,26.04,39.74,53.44
91.72,93.22,94.72,94.75,94.78,89.4,84.02
33.11,32.98,32.86,21.34,9.81,11.94,14.07
77.05,80.09,83.13,69.06,54.98,58.7,62.41
79.82,81.74,83.67,67.74,51.8,58.32,64.83
52.15,70.91,89.68,79.16,68.64,44.3,19.96
64.31,53.76,43.2,53.16,63.13,32.57,2.01
91.88,45.94,0.0,3.9,7.8,17.7,27.59
31.23,29.75,28.27,28.96,29.64,32.82,36.0
53.84,52.08,50.33,26.31,2.29,1.14,0.0
30.02,19.1,8.18,7.99,7.8,17.7,27.59
78.67,82.52,86.37,76.3,66.22,36.57,6.91
48.74,49.87,51.0,57.06,63.13,61.36,59.58
37.19,38.75,40.31,34.98,29.64,26.7,23.77
29.19,22.9,16.62,34.21,51.8,35.88,19.96
42.09,23.38,4.68,5.18,5.67,4.36,3.06
71.28,42.77,14.26,43.38,72.49,78.26,84.02
54.19,54.21,54.22,57.36,60.49,61.45,62.41
0.0,2.05,4.11,4.2,4.3,2.15,0.0
40.75,45.38,50.02,61.26,72.49,66.04,59.58
82.39,78.2,74.02,75.12,76.22,56.11,36.0
64.25,65.31,66.38,68.51,70.65,51.24,31.83
93.92,93.99,94.05,91.58,89.11,91.86,94.62
80.39,75.82,71.25,50.45,29.64,34.94,40.23
28.88,23.42,17.96,23.8,29.64,24.8,19.96
11.27,19.65,28.02,20.12,12.23,14.52,16.8
93.57,94.49,95.42,91.85,88.28,87.7,87.11
48.65,49.19,49.73,39.68,29.64,49.92,70.21
71.38,67.86,64.34,75.42,86.5,86.42,86.35
42.38,49.08,55.78,58.14,60.49,63.96,67.44
87.81,84.96,82.11,79.16,76.22,79.66,83.1
85.51,88.68,91.85,91.39,90.93,89.3,87.68
30.69,44.24,57.78,64.22,70.65,62.04,53.44
85.32,88.33,91.34,92.42,93.51,88.3,83.1
46.83,32.28,17.73,39.11,60.49,62.66,64.83
83.79,83.48,83.16,79.69,76.22,70.52,64.83
9.68,44.27,78.86,76.6,74.34,63.89,53.44
64.34,78.03,91.72,93.32,94.91,95.3,95.7
30.5,44.16,57.82,51.2,44.57,54.7,64.83
30.72,44.47,58.23,58.12,58.01,67.6,77.18
83.73,79.72,75.71,74.1,72.49,75.63,78.77
17.03,46.75,76.47,83.04,89.62,85.85,82.08
69.28,69.01,68.74,69.69,70.65,70.43,70.21
52.91,51.4,49.89,45.22,40.56,42.1,43.63
13.02,14.32,15.63,15.57,15.5,17.73,19.96
11.02,12.15,13.28,14.39,15.5,13.3,11.11
53.1,48.7,44.29,46.23,48.17,50.8,53.44
32.89,31.24,29.58,27.81,26.04,24.9,23.77
16.4,15.74,15.09,13.66,12.23,18.0,23.77
42.44,43.65,44.86,39.22,33.59,25.2,16.8
38.65,46.63,54.6,53.2,51.8,49.61,47.42
41.04,37.3,33.56,29.8,26.04,26.82,27.59
51.93,54.04,56.16,55.57,54.98,57.28,59.58
80.74,82.58,84.43,84.5,84.56,84.29,84.02
51.26,47.9,44.54,44.56,44.57,49.0,53.44
85.16,81.28,77.4,78.46,79.53,68.04,56.56
48.9,50.22,51.54,51.67,51.8,61.0,70.21
70.93,61.13,51.32,54.66,58.01,54.16,50.32
31.01,31.82,32.63,33.11,33.59,34.8,36.0
85.74,86.17,86.6,87.44,88.28,87.98,87.68
94.94,87.87,80.8,75.72,70.65,60.48,50.32
19.2,23.58,27.95,34.26,40.56,36.2,31.83
34.73,41.52,48.3,40.94,33.59,23.83,14.07
45.91,51.99,58.07,54.94,51.8,47.72,43.63
86.98,86.92,86.85,88.64,90.42,87.65,84.88
74.72,79.12,83.51,82.2,80.9,78.22,75.53
96.47,96.7,96.94,95.38,93.82,92.04,90.26
58.9,71.52,84.15,88.06,91.98,91.92,91.85
51.07,53.89,56.7,59.92,63.13,59.84,56.56
30.88,25.66,20.44,23.24,26.04,33.14,40.23
37.44,40.24,43.04,34.54,26.04,18.58,11.11
75.61,80.12,84.62,78.55,72.49,74.84,77.18
95.42,93.58,91.75,86.86,81.98,78.76,75.53
54.22,51.54,48.87,39.26,29.64,51.8,73.97
57.59,64.69,71.79,69.01,66.22,81.39,96.56
84.97,56.4,27.83,18.82,9.81,34.7,59.58
75.1,77.65,80.2,82.86,85.51,86.96,88.42
98.69,98.07,97.45,97.61,97.77,98.06,98.35
97.17,96.78,96.4,96.99,97.58,97.24,96.91
41.55,42.22,42.88,34.46,26.04,28.94,31.83
66.13,66.11,66.09,74.78,83.48,71.53,59.58
76.63,79.8,82.97,81.94,80.9,79.04,77.18
40.24,48.46,56.67,61.44,66.22,61.39,56.56
36.8,39.34,41.87,35.76,29.64,26.7,23.77
60.52,62.51,64.5,74.53,84.56,77.38,70.21
16.33,22.2,28.08,30.84,33.59,28.68,23.77
54.89,72.42,89.94,92.04,94.14,93.49,92.84
62.3,64.18,66.06,60.52,54.98,52.65,50.32
69.5,68.48,67.46,65.29,63.13,63.98,64.83
69.05,65.76,62.46,53.52,44.57,50.56,56.56
79.18,74.09,68.99,67.6,66.22,68.22,70.21
94.68,88.74,82.81,63.69,44.57,32.26,19.96
88.06,88.58,89.11,88.11,87.11,82.94,78.77
69.98,68.32,66.67,63.58,60.49,62.66,64.83
55.49,49.01,42.53,41.54,40.56,51.48,62.41
43.55,45.44,47.34,47.76,48.17,37.88,27.59
94.52,94.95,95.38,95.42,95.45,95.67,95.89
81.69,80.85,80.01,82.76,85.51,88.68,91.85
21.08,23.24,25.41,25.72,26.04,28.94,31.83
47.76,47.48,47.21,47.69,48.17,49.24,50.32
95.0,94.38,93.76,92.5,91.24,88.36,85.49
70.46,73.35,76.25,77.89,79.53,81.32,83.1
78.41,80.58,82.74,82.36,81.98,82.03,82.08
75.8,77.14,78.48,79.01,79.53,79.15,78.77
52.85,50.84,48.84,46.7,44.57,42.4,40.23
33.43,36.38,39.32,41.94,44.57,47.44,50.32
84.43,84.22,84.02,84.76,85.51,82.82,80.14
69.91,63.56,57.21,61.72,66.22,66.83,67.44
18.94,17.32,15.7,13.96,12.23,18.0,23.77
49.54,55.53,61.51,63.86,66.22,65.53,64.83
51.0,53.99,56.99,50.78,44.57,49.0,53.44
22.76,22.72,22.67,26.16,29.64,30.74,31.83
20.76,24.86,28.97,38.57,48.17,57.8,67.44
28.53,20.63,12.73,12.48,12.23,13.15,14.07
73.45,73.98,74.5,77.7,80.9,83.2,85.49
20.66,44.46,68.26,75.87,83.48,85.58,87.68
84.08,73.9,63.71,63.42,63.13,76.7,90.26
31.04,30.54,30.05,26.04,22.03,21.0,19.96
48.04,54.84,61.64,58.31,54.98,61.21,67.44
82.59,86.36,90.13,84.08,78.03,70.22,62.41
63.51,54.96,46.42,56.32,66.22,62.9,59.58
56.29,68.38,80.48,78.35,76.22,64.83,53.44
78.0,66.1,54.19,66.11,78.03,78.4,78.77
48.68,56.08,63.48,69.85,76.22,75.1,73.97
91.47,90.68,89.88,86.68,83.48,66.9,50.32
53.87,47.1,40.34,36.96,33.59,38.61,43.63
69.66,69.16,68.67,64.58,60.49,65.35,70.21
64.57,61.59,58.61,53.39,48.17,52.36,56.56
77.08,75.82,74.56,73.52,72.49,66.04,59.58
12.67,10.54,8.4,7.03,5.67,34.04,62.41
45.05,34.22,23.4,30.22,37.03,32.31,27.59
48.81,52.16,55.52,53.66,51.8,47.72,43.63
8.98,16.37,23.75,16.78,9.81,34.7,59.58
8.53,37.4,66.28,70.31,74.34,55.17,36.0
91.31,91.29,91.28,83.75,76.22,79.66,83.1
27.22,33.96,40.69,28.1,15.5,19.63,23.77
60.62,54.09,47.56,55.34,63.13,56.72,50.32
75.07,71.71,68.35,73.94,79.53,70.97,62.41
78.8,67.18,55.56,64.03,72.49,67.45,62.41
4.71,4.81,4.9,26.54,48.17,37.88,27.59
32.44,38.81,45.18,54.16,63.13,43.45,23.77
74.4,81.94,89.49,91.13,92.77,93.22,93.67
70.33,65.11,59.89,52.23,44.57,44.1,43.63
21.36,27.4,33.43,26.16,18.88,44.54,70.21
13.63,8.33,3.02,6.42,9.81,41.09,72.37
46.0,49.17,52.34,48.46,44.57,44.1,43.63
88.22,79.57,70.93,75.23,79.53,75.95,72.37
95.26,96.24,97.23,96.5,95.77,94.9,94.02
58.2,57.91,57.62,49.09,40.56,32.16,23.77
58.17,60.89,63.61,60.81,58.01,52.72,47.42
82.11,61.67,41.23,40.9,40.56,25.84,11.11
89.75,88.27,86.79,85.14,83.48,82.3,81.13
12.48,20.86,29.23,58.17,87.11,88.06,89.02
52.98,49.74,46.51,47.34,48.17,45.9,43.63
80.96,71.65,62.34,57.07,51.8,63.66,75.53
94.21,93.24,92.26,87.12,81.98,82.54,83.1
12.13,17.58,23.02,17.62,12.23,11.67,11.11
55.46,52.18,48.9,51.94,54.98,55.77,56.56
42.34,43.96,45.59,41.31,37.03,42.22,47.42
78.54,72.94,67.34,67.99,68.64,46.2,23.77
86.06,83.83,81.6,77.97,74.34,66.96,59.58
49.6,57.29,64.98,66.81,68.64,70.5,72.37
29.48,27.74,26.01,38.9,51.8,68.64,85.49
96.12,96.52,96.91,96.46,96.02,96.12,96.21
72.33,71.98,71.63,67.38,63.13,63.98,64.83
62.75,69.85,76.95,64.38,51.8,54.18,56.56
77.75,83.48,89.21,63.12,37.03,64.73,92.43
83.16,79.61,76.06,74.28,72.49,58.06,43.63
57.72,54.94,52.15,51.97,51.8,62.08,72.37
82.27,88.7,95.13,94.48,93.82,92.34,90.87
90.89,91.84,92.8,85.42,78.03,77.6,77.18
78.57,74.26,69.95,59.06,48.17,40.0,31.83
61.6,52.46,43.33,38.46,33.59,59.97,86.35
91.91,89.04,86.18,72.1,58.01,65.99,73.97
85.39,80.8,76.22,77.12,78.03,84.76,91.5
24.16,25.12,26.07,31.55,37.03,36.52,36.0
37.25,33.17,29.1,20.66,12.23,16.1,19.96
68.19,66.76,65.33,67.99,70.65,73.91,77.18
18.12,15.57,13.02,14.26,15.5,21.54,27.59
69.31,55.6,41.9,45.04,48.17,37.88,27.59
59.66,53.92,48.17,48.17,48.17,52.36,56.56
82.2,68.13,54.06,51.12,48.17,66.83,85.49
76.66,82.85,89.05,91.0,92.96,93.92,94.88
74.94,67.64,60.33,56.06,51.8,43.9,36.0
75.64,75.72,75.8,80.18,84.56,84.72,84.88
70.84,63.63,56.42,64.46,72.49,81.09,89.69
58.33,44.92,31.52,18.6,5.67,4.78,3.88
74.69,74.17,73.64,75.84,78.03,76.0,73.97
86.76,86.22,85.67,75.94,66.22,61.39,56.56
93.41,93.66,93.92,93.72,93.51,92.97,92.43
32.06,19.88,7.7,6.68,5.67,5.59,5.51
74.5,52.92,31.33,37.95,44.57,34.17,23.77
22.51,18.76,15.0,20.52,26.04,20.06,14.07
31.81,39.05,46.29,30.9,15.5,32.91,50.32
61.1,72.92,84.75,79.54,74.34,62.33,50.32
28.4,27.96,27.51,23.2,18.88,19.42,19.96
68.16,73.23,78.29,78.16,78.03,70.22,62.41
34.29,21.88,9.46,8.63,7.8,32.18,56.56
44.03,39.64,35.24,34.41,33.59,43.52,53.44
72.37,78.28,84.18,83.08,81.98,76.1,70.21
80.23,86.79,93.35,91.88,90.42,87.96,85.49
83.06,65.72,48.39,59.52,70.65,75.89,81.13
94.49,94.02,93.54,78.33,63.13,53.38,43.63
67.14,69.4,71.67,81.61,91.56,91.7,91.85
5.83,10.06,14.29,20.16,26.04,46.74,67.44
34.45,23.34,12.23,8.95,5.67,4.78,3.88
86.63,61.59,36.55,20.42,4.3,18.07,31.83
42.22,43.57,44.92,54.02,63.13,65.28,67.44
18.21,17.24,16.27,24.93,33.59,25.2,16.8
15.57,27.74,39.92,56.2,72.49,67.45,62.41
38.97,44.34,49.7,47.14,44.57,36.08,27.59
76.38,74.94,73.51,62.65,51.8,51.06,50.32
71.54,74.37,77.2,72.92,68.64,62.6,56.56
57.4,51.62,45.85,35.95,26.04,26.82,27.59
63.13,74.14,85.16,71.58,58.01,33.38,8.75
3.95,6.14,8.34,17.19,26.04,14.03,2.01
55.65,61.26,66.86,46.45,26.04,33.14,40.23
77.55,80.74,83.92,78.2,72.49,73.23,73.97
84.88,76.18,67.49,59.64,51.8,31.46,11.11
93.35,87.89,82.43,59.73,37.03,30.4,23.77
88.41,92.96,97.52,96.48,95.45,95.77,96.09
84.62,77.65,70.68,64.34,58.01,64.11,70.21
62.05,65.28,68.51,58.34,48.17,37.88,27.59
78.19,72.26,66.32,62.17,58.01,54.16,50.32
