FIPS,2014 EPL_MOBILE,2015 EPL_MOBILE,2016 EPL_MOBILE,2017 EPL_MOBILE,2018 EPL_MOBILE,2019 EPL_MOBILE,2020 EPL_MOBILE
01111,88.32,86.48,84.65,85.0,85.35,86.16,86.98
01113,65.49,64.83,64.18,65.4,66.63,65.22,63.81
01115,88.32,87.11,85.9,85.98,86.06,84.92,83.77
01117,42.73,40.98,39.22,38.73,38.24,38.0,37.75
01119,91.34,92.52,93.7,93.66,93.63,95.24,96.85
01121,86.31,85.86,85.42,85.52,85.61,87.16,88.7
01123,68.42,70.44,72.46,72.97,73.48,75.03,76.58
01125,47.98,47.32,46.67,46.04,45.4,45.1,44.81
01127,91.53,91.94,92.36,92.64,92.93,93.17,93.41
01129,90.0,92.74,95.48,94.73,93.98,91.92,89.85
01131,97.26,97.72,98.19,98.64,99.08,98.6,98.12
01133,90.64,90.34,90.04,90.5,90.96,92.96,94.97
02013,27.63,21.28,14.93,17.05,19.17,24.14,29.12
02016,8.76,7.74,6.72,4.72,2.71,3.33,3.95
02020,18.59,18.64,18.69,19.6,20.5,20.1,19.7
02050,11.65,11.48,11.3,13.13,14.96,15.69,16.42
02060,23.3,20.72,18.15,19.58,21.01,22.28,23.55
02063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02068,39.92,41.22,42.53,43.22,43.9,41.19,38.48
02070,5.35,6.29,7.23,6.65,6.08,5.7,5.32
02090,18.15,18.68,19.2,19.19,19.17,18.48,17.79
02100,16.14,12.29,8.44,13.8,19.17,21.84,24.51
02105,26.71,25.08,23.46,24.58,25.69,26.5,27.31
02110,37.22,37.2,37.19,33.29,29.39,31.5,33.61
02122,24.51,23.98,23.46,25.07,26.68,25.94,25.21
02130,14.61,14.26,13.91,13.57,13.24,15.85,18.46
02150,40.46,33.49,26.52,24.5,22.48,22.0,21.51
02158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02164,5.7,4.89,4.08,3.4,2.71,2.56,2.42
02170,14.23,14.07,13.91,13.91,13.91,13.52,13.14
02180,7.55,5.43,3.31,3.44,3.57,3.56,3.56
02185,2.93,3.12,3.31,2.7,2.1,1.98,1.85
02188,5.99,5.85,5.7,5.27,4.84,6.28,7.73
02195,45.11,46.45,47.79,48.04,48.3,43.86,39.43
02198,62.02,62.37,62.72,63.76,64.79,67.5,70.21
02220,46.0,45.89,45.78,44.27,42.76,40.62,38.48
02230,39.92,38.56,37.19,38.18,39.16,37.31,35.46
02240,27.28,27.76,28.24,26.96,25.69,26.5,27.31
02275,61.73,62.75,63.77,63.86,63.96,58.16,52.36
02282,34.29,34.98,35.66,34.03,32.41,27.98,23.55
02290,9.93,8.69,7.45,9.48,11.52,10.46,9.39
04001,82.62,83.22,83.83,84.13,84.43,85.07,85.71
04003,83.38,83.43,83.48,81.86,80.23,80.42,80.62
04005,62.62,61.81,61.0,59.9,58.8,58.81,58.82
04007,84.65,84.06,83.48,82.16,80.83,80.54,80.24
04009,87.87,89.3,90.74,90.21,89.68,87.26,84.85
04011,88.54,90.48,92.42,92.31,92.2,90.52,88.83
04012,98.76,99.16,99.55,99.74,99.94,99.94,99.94
04013,22.09,22.56,23.02,23.24,23.46,24.62,25.78
04015,90.42,90.58,90.74,90.72,90.7,90.44,90.17
04017,86.02,84.98,83.95,83.11,82.27,82.34,82.4
04019,47.53,47.66,47.79,47.6,47.41,48.7,50.0
04021,76.6,76.77,76.95,76.41,75.87,75.5,75.14
04023,22.09,23.54,24.99,26.1,27.22,28.36,29.5
04025,79.72,79.36,78.99,77.72,76.44,75.54,74.63
04027,93.51,93.81,94.11,93.73,93.35,93.81,94.27
05001,68.42,68.37,68.32,67.32,66.32,61.93,57.54
05003,86.18,85.58,84.97,83.78,82.59,82.14,81.7
05005,66.51,66.78,67.05,66.47,65.9,63.47,61.04
05007,25.44,24.45,23.46,22.97,22.48,22.0,21.51
05009,58.87,59.1,59.34,56.36,53.39,48.44,43.48
05011,75.9,73.24,70.58,71.41,72.24,71.66,71.07
05013,84.08,87.3,90.51,91.79,93.06,93.92,94.78
05015,64.79,64.48,64.18,65.82,67.46,66.08,64.7
05017,74.88,74.56,74.24,72.73,71.22,70.46,69.7
05019,82.39,79.54,76.7,76.03,75.36,74.86,74.35
05021,46.42,46.54,46.67,48.15,49.63,52.08,54.52
05023,81.73,82.41,83.09,83.84,84.59,83.96,83.32
05025,92.87,92.48,92.1,93.88,95.67,94.9,94.14
05027,71.03,74.23,77.43,74.84,72.24,70.7,69.16
05029,68.42,67.74,67.05,71.06,75.07,74.71,74.35
05031,32.41,30.55,28.69,29.85,31.01,29.16,27.31
05033,56.99,55.43,53.87,54.78,55.68,55.77,55.86
05035,37.22,39.44,41.67,40.42,39.16,37.54,35.93
05037,71.98,70.44,68.9,67.92,66.95,64.85,62.76
05039,67.94,73.46,78.99,83.78,88.57,87.48,86.38
05041,54.86,57.77,60.68,63.65,66.63,61.02,55.41
05043,89.49,91.18,92.87,93.2,93.54,91.25,88.96
05045,59.41,57.92,56.42,55.75,55.08,55.0,54.93
05047,65.49,65.54,65.58,65.95,66.32,66.02,65.72
05049,78.86,80.56,82.27,81.8,81.34,84.59,87.84
05051,65.81,62.72,59.63,60.14,60.65,61.0,61.36
05053,88.95,87.66,86.37,88.02,89.68,90.59,91.5
05055,53.61,55.3,56.99,57.31,57.62,57.72,57.83
05057,73.26,73.75,74.24,74.45,74.66,74.9,75.14
05059,80.32,84.6,88.89,88.81,88.73,87.46,86.19
05061,67.56,65.54,63.51,65.07,66.63,69.76,72.88
05063,79.4,76.65,73.89,73.98,74.08,77.89,81.7
05065,75.9,75.39,74.88,74.64,74.4,73.18,71.96
05067,50.02,53.89,57.75,56.72,55.68,56.61,57.54
05069,50.02,52.18,54.35,55.41,56.48,55.94,55.41
05071,69.6,67.21,64.82,64.39,63.96,63.36,62.76
05073,91.05,90.04,89.02,89.16,89.3,90.44,91.57
05075,52.56,53.46,54.35,53.87,53.39,54.16,54.93
05077,55.68,57.0,58.33,60.13,61.92,55.38,48.85
05079,96.28,96.34,96.4,96.16,95.92,95.3,94.68
05081,69.95,69.87,69.79,74.78,79.78,81.09,82.4
05083,64.25,60.46,56.67,57.61,58.55,55.72,52.9
05085,69.12,66.97,64.82,64.93,65.04,63.04,61.04
05087,81.15,80.52,79.88,79.74,79.59,79.22,78.84
05089,72.17,74.18,76.19,77.32,78.45,77.52,76.58
05091,57.53,58.58,59.63,59.6,59.57,57.25,54.93
05093,48.97,46.32,43.68,41.85,40.02,36.72,33.42
05095,50.43,50.67,50.91,51.88,52.85,57.1,61.36
05097,95.42,94.08,92.74,92.24,91.75,92.15,92.55
05099,87.17,86.07,84.97,87.46,89.94,88.46,86.98
05101,68.42,67.21,66.0,63.96,61.92,61.85,61.78
05103,59.76,62.14,64.53,62.19,59.85,62.86,65.88
05105,87.49,88.56,89.62,88.89,88.16,85.51,82.85
05107,48.74,48.26,47.79,42.09,36.39,37.43,38.48
05109,89.11,85.96,82.81,81.2,79.59,82.03,84.47
05111,53.33,50.76,48.2,51.94,55.68,56.43,57.19
05113,75.61,77.42,79.24,78.7,78.16,75.32,72.47
05115,55.27,55.12,54.98,53.21,51.45,55.86,60.28
05117,87.04,85.92,84.81,86.4,88.0,87.32,86.63
05119,26.07,25.9,25.72,23.83,21.94,22.12,22.31
05121,55.27,58.85,62.43,62.35,62.27,63.48,64.7
05123,67.21,68.9,70.58,71.22,71.86,67.14,62.41
05125,72.17,71.46,70.74,68.53,66.32,66.98,67.63
05127,71.6,71.41,71.22,73.83,76.44,78.02,79.6
05129,75.01,74.45,73.89,74.14,74.4,76.28,78.17
05131,15.7,17.45,19.2,18.93,18.66,17.07,15.47
05133,88.67,88.11,87.55,86.8,86.06,86.12,86.19
05135,64.79,63.08,61.38,61.97,62.56,65.1,67.63
05137,85.2,87.62,90.04,93.26,96.47,96.01,95.54
05139,86.31,83.84,81.38,81.73,82.08,80.68,79.28
05141,81.41,82.8,84.18,85.34,86.5,85.06,83.61
05143,23.91,24.82,25.72,25.14,24.55,24.88,25.21
05145,76.25,75.81,75.36,74.66,73.96,75.82,77.69
05147,62.97,63.04,63.1,61.62,60.14,59.69,59.23
05149,62.02,61.03,60.04,58.71,57.37,58.82,60.28
06001,3.98,4.03,4.08,4.26,4.43,4.4,4.36
06003,7.13,5.6,4.08,5.62,7.16,5.76,4.36
06005,30.28,29.71,29.13,31.72,34.32,35.62,36.92
06007,55.27,55.97,56.67,57.61,58.55,57.87,57.19
06009,33.21,33.29,33.37,34.3,35.24,36.3,37.36
06011,36.04,33.2,30.37,32.34,34.32,35.84,37.36
06013,5.35,5.82,6.3,6.38,6.46,6.52,6.59
06015,75.9,74.29,72.68,74.69,76.7,77.6,78.49
06017,21.2,21.55,21.9,23.8,25.69,26.0,26.32
06019,17.22,16.9,16.59,16.51,16.43,16.63,16.84
06021,44.13,46.94,49.76,48.82,47.88,54.62,61.36
06023,33.43,36.02,38.62,40.34,42.06,42.04,42.01
06025,47.53,48.09,48.65,48.61,48.58,48.04,47.49
06027,87.87,86.88,85.9,84.08,82.27,84.96,87.65
06029,33.43,33.73,34.03,34.4,34.77,35.84,36.92
06031,21.2,21.17,21.14,19.9,18.66,18.22,17.79
06033,86.31,85.86,85.42,84.93,84.43,84.45,84.47
06035,54.86,54.36,53.87,56.21,58.55,59.1,59.64
06037,4.97,5.34,5.7,5.89,6.08,6.34,6.59
06039,24.9,27.27,29.64,29.52,29.39,30.83,32.27
06041,4.97,5.03,5.09,4.76,4.43,4.4,4.36
06043,76.25,76.22,76.19,75.89,75.58,73.9,72.22
06045,51.83,50.98,50.14,47.77,45.4,45.95,46.5
06047,26.71,27.7,28.69,29.04,29.39,31.4,33.42
06049,54.86,49.58,44.29,44.64,44.99,45.08,45.16
06051,25.44,27.54,29.64,26.55,23.46,27.42,31.38
06053,17.22,17.95,18.69,20.08,21.46,21.88,22.31
06055,31.33,31.72,32.12,31.2,30.28,31.28,32.27
06057,23.91,24.45,24.99,27.64,30.28,30.45,30.62
06059,10.35,10.3,10.25,10.65,11.05,11.1,11.14
06061,11.65,11.26,10.86,10.96,11.05,11.1,11.14
06063,32.92,37.85,42.79,48.72,54.66,55.58,56.49
06065,41.77,41.72,41.67,41.62,41.58,41.8,42.01
06067,8.44,8.66,8.88,8.77,8.66,9.14,9.61
06069,20.73,21.32,21.9,21.46,21.01,21.02,21.04
06071,27.28,27.18,27.09,26.6,26.11,27.34,28.58
06073,15.15,15.04,14.93,14.94,14.96,15.22,15.47
06075,0.22,0.43,0.64,0.66,0.67,0.43,0.19
06077,15.15,14.53,13.91,14.16,14.42,14.64,14.86
06079,42.73,41.95,41.17,39.7,38.24,37.8,37.36
06081,3.57,3.63,3.69,3.8,3.92,3.93,3.95
06083,21.68,22.35,23.02,21.39,19.77,20.13,20.5
06085,10.98,11.14,11.3,11.41,11.52,12.01,12.51
06087,25.44,26.26,27.09,26.88,26.68,29.03,31.38
06089,50.43,51.22,52.02,53.14,54.25,55.06,55.86
06091,34.29,35.5,36.71,37.68,38.65,41.32,43.98
06093,56.06,56.91,57.75,57.28,56.8,56.1,55.41
06095,10.98,11.14,11.3,11.18,11.05,11.46,11.87
06097,21.68,21.79,21.9,21.92,21.94,22.12,22.31
06099,18.15,17.83,17.51,18.34,19.17,20.34,21.51
06101,23.3,23.38,23.46,25.69,27.92,26.22,24.51
06103,78.57,78.14,77.71,78.97,80.23,79.07,77.91
06105,76.25,79.09,81.92,84.53,87.14,83.08,79.03
06107,32.41,32.51,32.6,32.51,32.41,31.52,30.62
06109,44.41,44.04,43.68,43.62,43.55,43.26,42.97
06111,16.14,16.1,16.05,16.24,16.43,17.11,17.79
06113,16.14,17.14,18.15,17.62,17.1,16.97,16.84
06115,47.53,45.6,43.68,45.35,47.02,46.09,45.16
08001,28.49,29.43,30.37,30.33,30.28,30.45,30.62
08003,70.23,71.79,73.35,70.56,67.78,64.41,61.04
08005,3.28,3.3,3.31,3.44,3.57,3.39,3.21
08007,45.5,47.08,48.65,50.27,51.89,46.95,42.01
08009,56.35,57.05,57.75,54.82,51.89,45.0,38.1
08011,50.43,53.28,56.13,57.71,59.28,59.63,59.99
08013,10.35,10.6,10.86,11.19,11.52,10.56,9.61
08014,10.98,11.14,11.3,10.87,10.44,10.26,10.09
08015,45.11,43.14,41.17,43.28,45.4,46.7,47.99
08017,58.55,61.68,64.82,61.81,58.8,51.98,45.16
08019,37.85,31.78,25.72,28.0,30.28,26.3,22.31
08021,76.6,74.64,72.68,73.54,74.4,75.89,77.37
08023,73.8,74.42,75.04,75.99,76.95,74.18,71.42
08025,72.75,66.4,60.04,66.46,72.87,76.24,79.6
08027,26.07,25.53,24.99,26.72,28.46,27.39,26.32
08029,67.94,68.2,68.45,67.96,67.46,68.31,69.16
08031,1.05,1.06,1.08,1.23,1.37,1.39,1.4
08033,78.1,76.0,73.89,74.37,74.85,77.54,80.24
08035,1.4,1.61,1.81,1.59,1.37,0.92,0.48
08037,27.63,26.67,25.72,25.45,25.18,25.75,26.32
08039,22.09,20.12,18.15,18.11,18.08,17.65,17.22
08041,13.69,13.32,12.96,12.77,12.58,12.86,13.14
08043,61.1,58.42,55.75,58.54,61.32,61.67,62.03
08045,43.52,46.64,49.76,48.23,46.7,45.93,45.16
08047,9.39,10.84,12.29,10.48,8.66,8.39,8.12
08049,18.59,19.68,20.76,25.08,29.39,28.98,28.58
08051,35.24,30.88,26.52,26.6,26.68,25.6,24.51
08053,47.18,39.89,32.6,33.92,35.24,35.35,35.46
08055,40.46,41.84,43.23,46.18,49.12,47.65,46.18
08057,71.98,70.52,69.05,68.42,67.78,63.3,58.82
08059,3.28,3.3,3.31,3.44,3.57,3.39,3.21
08061,65.81,68.52,71.22,65.94,60.65,51.5,42.36
08063,62.62,65.07,67.53,63.55,59.57,63.74,67.92
08065,58.55,62.39,66.22,63.77,61.32,59.7,58.08
08067,54.86,58.12,61.38,60.48,59.57,60.68,61.78
08069,17.22,17.07,16.91,16.67,16.43,16.63,16.84
08071,51.51,48.64,45.78,47.45,49.12,50.17,51.21
08073,56.99,60.25,63.51,67.16,70.81,67.56,64.32
08075,53.33,48.28,43.23,43.56,43.9,43.94,43.98
08077,42.34,43.01,43.68,45.54,47.41,46.28,45.16
08079,46.0,42.12,38.24,34.04,29.83,35.08,40.32
08081,74.37,75.85,77.33,77.14,76.95,77.82,78.68
08083,80.04,79.8,79.56,77.46,75.36,73.91,72.47
08085,69.12,70.3,71.47,71.5,71.54,73.89,76.23
08087,62.27,61.16,60.04,57.35,54.66,54.28,53.91
08089,29.26,29.2,29.13,30.07,31.01,34.74,38.48
08091,36.39,37.32,38.24,42.12,46.0,39.14,32.27
08093,22.09,18.88,15.66,16.58,17.51,19.0,20.5
08095,45.5,39.05,32.6,35.42,38.24,40.12,42.01
08097,16.14,19.02,21.9,20.28,18.66,16.3,13.94
08099,59.41,58.39,57.37,57.5,57.62,57.28,56.94
08101,22.09,23.32,24.55,25.88,27.22,27.6,27.98
08103,44.41,44.04,43.68,41.16,38.65,31.31,23.97
08105,60.68,60.57,60.46,58.28,56.1,51.8,47.49
08107,22.09,23.9,25.72,26.82,27.92,28.52,29.12
08109,71.03,74.47,77.91,79.54,81.18,78.32,75.46
08111,24.9,20.74,16.59,15.78,14.96,22.23,29.5
08113,6.65,7.05,7.45,7.88,8.31,10.41,12.51
08115,26.07,27.85,29.64,33.34,37.03,36.02,35.01
08117,4.97,5.34,5.7,4.81,3.92,3.17,2.42
08119,43.52,41.62,39.73,41.82,43.9,41.66,39.43
08121,35.24,36.52,37.79,37.09,36.39,38.53,40.67
08123,33.43,33.73,34.03,34.4,34.77,35.35,35.93
08125,36.9,42.0,47.09,50.67,54.25,50.38,46.5
09001,1.4,1.43,1.46,1.42,1.37,1.16,0.95
09003,2.1,1.96,1.81,1.85,1.88,2.04,2.2
09005,1.4,1.43,1.46,1.23,0.99,1.2,1.4
09007,4.14,4.11,4.08,4.0,3.92,3.93,3.95
09009,2.1,2.16,2.23,2.05,1.88,1.86,1.85
09011,7.55,8.22,8.88,9.55,10.22,10.68,11.14
09013,3.98,3.84,3.69,4.06,4.43,4.88,5.32
09015,12.77,11.82,10.86,11.19,11.52,10.81,10.09
10001,56.99,56.83,56.67,56.38,56.1,56.3,56.49
10003,8.44,8.66,8.88,8.39,7.9,7.82,7.73
10005,73.8,72.64,71.47,70.03,68.58,67.23,65.88
11001,0.0,0.0,0.0,0.11,0.22,0.2,0.19
12001,37.22,38.22,39.22,39.19,39.16,38.04,36.92
12003,98.79,99.11,99.43,98.7,97.96,98.14,98.31
12005,57.91,58.62,59.34,58.48,57.62,57.58,57.54
12007,94.94,94.89,94.84,95.38,95.92,95.51,95.1
12009,35.24,35.45,35.66,36.02,36.39,37.24,38.1
12011,9.39,9.82,10.25,10.65,11.05,11.46,11.87
12013,98.79,98.62,98.44,98.47,98.5,98.28,98.06
12015,44.41,46.88,49.35,50.82,52.28,52.92,53.56
12017,85.9,85.12,84.34,84.24,84.15,83.88,83.61
12019,56.99,57.18,57.37,57.72,58.07,59.18,60.28
12021,23.3,23.92,24.55,24.0,23.46,24.34,25.21
12023,97.77,97.61,97.45,97.53,97.61,97.96,98.31
12027,97.13,96.18,95.22,94.08,92.93,93.32,93.7
12029,99.71,99.78,99.84,99.8,99.75,99.72,99.68
12031,19.48,19.56,19.64,20.55,21.46,21.25,21.04
12033,30.88,31.74,32.6,33.3,34.0,32.92,31.83
12035,22.73,21.94,21.14,21.3,21.46,22.5,23.55
12037,77.75,78.37,78.99,80.16,81.34,75.77,70.21
12039,91.75,91.82,91.88,92.34,92.8,92.55,92.3
12041,99.81,99.81,99.81,99.8,99.78,99.81,99.84
12043,99.87,99.88,99.9,99.87,99.84,99.81,99.78
12045,82.81,80.12,77.43,78.33,79.24,79.62,80.01
12047,99.59,99.44,99.3,99.32,99.33,99.06,98.79
12049,94.4,94.0,93.6,92.78,91.95,91.41,90.87
12051,98.57,98.78,98.98,98.9,98.82,98.65,98.47
12053,70.61,70.44,70.26,70.1,69.95,69.71,69.48
12055,91.53,89.82,88.12,88.42,88.73,87.56,86.38
12057,34.73,34.38,34.03,33.73,33.43,33.52,33.61
12059,94.56,94.44,94.33,95.24,96.15,97.14,98.12
12061,33.91,34.16,34.42,35.72,37.03,36.74,36.44
12063,92.74,93.42,94.11,93.7,93.28,93.93,94.59
12065,97.04,96.76,96.47,97.12,97.77,98.36,98.95
12067,99.49,99.24,98.98,99.25,99.52,99.62,99.71
12069,80.04,78.74,77.43,76.65,75.87,75.11,74.35
12071,47.53,47.66,47.79,46.02,44.25,45.87,47.49
12073,37.85,37.28,36.71,37.16,37.6,38.77,39.94
12075,99.68,99.78,99.87,99.79,99.71,99.56,99.4
12077,99.62,99.6,99.59,99.59,99.59,99.48,99.36
12079,98.09,98.15,98.22,98.7,99.17,98.92,98.66
12081,67.56,68.01,68.45,67.7,66.95,66.96,66.96
12083,81.41,81.51,81.6,80.78,79.97,79.23,78.49
12085,44.41,44.79,45.18,45.08,44.99,44.9,44.81
12086,4.14,4.38,4.62,4.73,4.84,4.6,4.36
12087,64.25,62.94,61.64,59.63,57.62,54.42,51.21
12089,75.01,76.04,77.08,75.39,73.7,74.96,76.23
12091,29.8,29.02,28.24,26.71,25.18,23.74,22.31
12093,99.4,99.16,98.92,98.54,98.15,98.0,97.84
12095,17.22,17.07,16.91,16.46,16.01,16.22,16.42
12097,39.51,39.36,39.22,38.12,37.03,36.98,36.92
12099,10.35,10.82,11.3,11.18,11.05,11.1,11.14
12101,76.6,76.17,75.74,76.34,76.95,76.59,76.23
12103,41.77,42.28,42.79,43.17,43.55,43.76,43.98
12105,82.39,82.16,81.92,81.55,81.18,82.01,82.85
12107,99.11,99.15,99.2,99.26,99.33,99.22,99.11
12109,37.22,36.09,34.96,34.64,34.32,33.6,32.88
12111,38.43,37.81,37.19,38.67,40.15,40.04,39.94
12113,46.9,49.74,52.59,51.11,49.63,48.96,48.28
12115,40.46,41.37,42.28,42.74,43.2,43.08,42.97
12117,10.35,10.6,10.86,10.96,11.05,10.33,9.61
12119,66.13,65.85,65.58,66.26,66.95,65.38,63.81
12121,99.84,99.9,99.97,99.94,99.9,99.88,99.87
12123,98.38,97.47,96.56,95.96,95.35,96.53,97.71
12125,99.55,99.54,99.52,99.54,99.55,99.57,99.59
12127,39.92,40.24,40.56,40.83,41.1,41.73,42.36
12129,96.53,95.91,95.29,93.22,91.15,89.59,88.03
12131,58.87,58.9,58.93,59.79,60.65,61.34,62.03
12133,98.47,98.66,98.85,98.68,98.5,98.47,98.44
13001,99.04,98.65,98.25,98.16,98.06,97.54,97.01
13003,99.3,99.46,99.62,99.56,99.49,99.4,99.3
13005,96.15,96.92,97.68,97.48,97.29,97.85,98.41
13007,94.62,95.91,97.2,97.9,98.6,94.0,89.4
13009,80.61,79.92,79.24,78.7,78.16,75.98,73.81
13011,95.61,95.35,95.1,94.26,93.41,92.74,92.08
13013,37.22,40.22,43.23,40.74,38.24,37.08,35.93
13015,58.87,58.9,58.93,56.38,53.84,53.37,52.9
13017,83.06,85.22,87.39,86.5,85.61,85.77,85.93
13019,98.38,97.78,97.17,96.96,96.75,96.24,95.74
13021,11.65,11.48,11.3,11.66,12.03,12.58,13.14
13023,78.86,80.83,82.81,83.9,85.0,85.21,85.42
13025,99.78,99.86,99.94,99.96,99.97,99.89,99.81
13027,94.21,94.28,94.36,93.28,92.2,93.33,94.46
13029,60.68,61.38,62.08,61.36,60.65,63.18,65.72
13031,74.88,74.11,73.35,73.3,73.26,72.87,72.47
13033,96.94,96.75,96.56,97.01,97.45,97.37,97.29
13035,33.91,40.5,47.09,54.06,61.03,57.78,54.52
13037,87.04,88.26,89.49,91.34,93.19,93.08,92.97
13039,56.99,56.71,56.42,53.02,49.63,52.74,55.86
13043,97.36,97.65,97.93,98.17,98.41,98.44,98.47
13045,52.21,51.92,51.64,51.33,51.03,52.7,54.36
13047,50.43,52.15,53.87,53.08,52.28,52.59,52.9
13049,98.92,99.16,99.4,99.35,99.3,98.94,98.57
13051,19.99,19.6,19.2,18.93,18.66,16.76,14.86
13053,60.04,64.54,69.05,71.26,73.48,77.05,80.62
13055,79.72,79.8,79.88,81.55,83.22,80.46,77.69
13057,18.59,17.75,16.91,16.46,16.01,16.61,17.22
13059,19.99,19.6,19.2,20.57,21.94,20.82,19.7
13061,94.65,95.8,96.94,97.84,98.73,98.87,99.01
13063,10.35,11.1,11.84,12.21,12.58,12.22,11.87
13065,86.18,90.04,93.89,96.12,98.34,95.48,92.62
13067,4.14,4.61,5.09,4.96,4.84,4.2,3.56
13069,96.94,97.23,97.52,97.31,97.1,96.78,96.47
13071,91.34,92.62,93.89,94.43,94.97,94.28,93.6
13073,34.73,33.84,32.95,31.39,29.83,29.66,29.5
13075,96.47,96.72,96.98,96.56,96.15,94.82,93.48
13077,11.65,13.29,14.93,14.94,14.96,14.45,13.94
13079,98.69,98.31,97.93,98.46,98.98,98.1,97.23
13081,84.65,85.67,86.69,85.84,85.0,82.51,80.01
13083,84.43,83.62,82.81,82.08,81.34,82.25,83.16
13085,55.68,51.38,47.09,46.9,46.7,39.04,31.38
13087,79.4,79.48,79.56,81.39,83.22,80.46,77.69
13089,2.1,1.96,1.81,1.85,1.88,2.04,2.2
13091,91.72,92.47,93.22,94.68,96.15,95.99,95.83
13093,97.2,95.16,93.12,92.77,92.42,90.5,88.57
13095,18.59,20.24,21.9,21.92,21.94,20.82,19.7
13097,20.73,19.44,18.15,17.62,17.1,17.44,17.79
13099,89.84,90.86,91.88,91.16,90.45,90.93,91.41
13101,99.94,99.72,99.49,99.65,99.81,99.89,99.97
13103,84.65,83.73,82.81,80.15,77.49,77.7,77.91
13105,89.27,90.2,91.12,90.26,89.4,86.58,83.77
13107,89.68,89.16,88.63,88.22,87.81,89.18,90.55
13109,96.02,96.38,96.75,96.61,96.47,96.66,96.85
13111,52.56,51.35,50.14,49.01,47.88,47.94,47.99
13113,10.98,10.62,10.25,9.75,9.26,12.06,14.86
13115,38.43,40.35,42.28,42.17,42.06,45.46,48.85
