12:40:07 Fold 1/6: --------------------------------

12:40:07 Training model --------------------------------
12:40:09 Epoch 1/200, Training Loss: 14.9696
12:40:16 Epoch 85/200, Training Loss: 1.4411
12:40:16 Epoch 86/200, Training Loss: 1.4394
12:40:16 Epoch 87/200, Training Loss: 1.4383
12:40:16 Epoch 88/200, Training Loss: 1.437
12:40:16 Epoch 89/200, Training Loss: 1.4353
12:40:16 Epoch 90/200, Training Loss: 1.4353
12:40:17 Epoch 91/200, Training Loss: 1.4333
12:40:17 Epoch 92/200, Training Loss: 1.4312
12:40:17 Epoch 93/200, Training Loss: 1.4305
12:40:17 Epoch 94/200, Training Loss: 1.4295
12:40:17 Epoch 95/200, Training Loss: 1.4287
12:40:17 Epoch 96/200, Training Loss: 1.4275
12:40:17 Epoch 97/200, Training Loss: 1.4255
12:40:17 Epoch 98/200, Training Loss: 1.424
12:40:17 Epoch 99/200, Training Loss: 1.4234
12:40:17 Epoch 100/200, Training Loss: 1.4222
12:40:18 Epoch 101/200, Training Loss: 1.4208
12:40:18 Epoch 102/200, Training Loss: 1.4193
12:40:18 Epoch 103/200, Training Loss: 1.4183
12:40:18 Epoch 104/200, Training Loss: 1.4168
12:40:18 Epoch 105/200, Training Loss: 1.4155
12:40:18 Epoch 106/200, Training Loss: 1.4142
12:40:18 Epoch 107/200, Training Loss: 1.4133
12:40:18 Epoch 108/200, Training Loss: 1.4116
12:40:18 Epoch 109/200, Training Loss: 1.4103
12:40:18 Epoch 110/200, Training Loss: 1.4086
12:40:19 Epoch 111/200, Training Loss: 1.4068
12:40:19 Epoch 112/200, Training Loss: 1.4057
12:40:19 Epoch 113/200, Training Loss: 1.4047
12:40:19 Epoch 114/200, Training Loss: 1.4032
12:40:19 Epoch 115/200, Training Loss: 1.4026
12:40:19 Epoch 116/200, Training Loss: 1.4002
12:40:19 Epoch 117/200, Training Loss: 1.3984
12:40:19 Epoch 118/200, Training Loss: 1.398
12:40:19 Epoch 119/200, Training Loss: 1.3972
12:40:19 Epoch 120/200, Training Loss: 1.396
12:40:20 Epoch 121/200, Training Loss: 1.3945
12:40:20 Epoch 122/200, Training Loss: 1.3922
12:40:20 Epoch 123/200, Training Loss: 1.3906
12:40:20 Epoch 124/200, Training Loss: 1.3893
12:40:20 Epoch 125/200, Training Loss: 1.3885
12:40:20 Epoch 126/200, Training Loss: 1.3882
12:40:20 Epoch 127/200, Training Loss: 1.3852
12:40:20 Epoch 128/200, Training Loss: 1.3839
12:40:20 Epoch 129/200, Training Loss: 1.3822
12:40:20 Epoch 130/200, Training Loss: 1.381
12:40:21 Epoch 131/200, Training Loss: 1.3804
12:40:21 Epoch 132/200, Training Loss: 1.3788
12:40:21 Epoch 133/200, Training Loss: 1.3769
12:40:21 Epoch 134/200, Training Loss: 1.3764
12:40:21 Epoch 135/200, Training Loss: 1.3741
12:40:21 Epoch 136/200, Training Loss: 1.3719
12:40:21 Epoch 137/200, Training Loss: 1.3709
12:40:21 Epoch 138/200, Training Loss: 1.3698
12:40:21 Epoch 139/200, Training Loss: 1.3693
12:40:21 Epoch 140/200, Training Loss: 1.368
12:40:22 Epoch 141/200, Training Loss: 1.3655
12:40:22 Epoch 142/200, Training Loss: 1.364
12:40:22 Epoch 143/200, Training Loss: 1.3628
12:40:22 Epoch 144/200, Training Loss: 1.361
12:40:22 Epoch 145/200, Training Loss: 1.3605
12:40:22 Epoch 146/200, Training Loss: 1.3586
12:40:22 Epoch 147/200, Training Loss: 1.3576
12:40:22 Epoch 148/200, Training Loss: 1.3558
12:40:22 Epoch 149/200, Training Loss: 1.3539
12:40:22 Epoch 150/200, Training Loss: 1.3526
12:40:23 Epoch 151/200, Training Loss: 1.3513
12:40:23 Epoch 152/200, Training Loss: 1.3489
12:40:23 Epoch 153/200, Training Loss: 1.3477
12:40:23 Epoch 154/200, Training Loss: 1.3466
12:40:23 Epoch 155/200, Training Loss: 1.3446
12:40:23 Epoch 156/200, Training Loss: 1.3438
12:40:23 Epoch 157/200, Training Loss: 1.3421
12:40:23 Epoch 158/200, Training Loss: 1.3394
12:40:23 Epoch 159/200, Training Loss: 1.3387
12:40:23 Epoch 160/200, Training Loss: 1.337
12:40:24 Epoch 161/200, Training Loss: 1.3355
12:40:24 Epoch 162/200, Training Loss: 1.335
12:40:24 Epoch 163/200, Training Loss: 1.3326
12:40:24 Epoch 164/200, Training Loss: 1.33
12:40:24 Epoch 165/200, Training Loss: 1.3293
12:40:24 Epoch 166/200, Training Loss: 1.3275
12:40:24 Epoch 167/200, Training Loss: 1.3258
12:40:24 Epoch 168/200, Training Loss: 1.3254
12:40:24 Epoch 169/200, Training Loss: 1.3225
12:40:24 Epoch 170/200, Training Loss: 1.3215
12:40:24 Epoch 171/200, Training Loss: 1.3207
12:40:25 Epoch 172/200, Training Loss: 1.3182
12:40:25 Epoch 173/200, Training Loss: 1.3165
12:40:25 Epoch 174/200, Training Loss: 1.3153
12:40:25 Epoch 175/200, Training Loss: 1.3138
12:40:25 Epoch 176/200, Training Loss: 1.3127
12:40:25 Epoch 177/200, Training Loss: 1.31
12:40:25 Epoch 178/200, Training Loss: 1.3088
12:40:25 Epoch 179/200, Training Loss: 1.3067
12:40:25 Epoch 180/200, Training Loss: 1.3046
12:40:25 Epoch 181/200, Training Loss: 1.3047
12:40:25 Epoch 182/200, Training Loss: 1.3027
12:40:25 Epoch 183/200, Training Loss: 1.3
12:40:26 Epoch 184/200, Training Loss: 1.2987
12:40:26 Epoch 185/200, Training Loss: 1.2968
12:40:26 Epoch 186/200, Training Loss: 1.2948
12:40:26 Epoch 187/200, Training Loss: 1.2949
12:40:26 Epoch 188/200, Training Loss: 1.2919
12:40:26 Epoch 189/200, Training Loss: 1.2903
12:40:26 Epoch 190/200, Training Loss: 1.2893
12:40:26 Epoch 191/200, Training Loss: 1.2864
12:40:26 Epoch 192/200, Training Loss: 1.285
12:40:26 Epoch 193/200, Training Loss: 1.2839
12:40:26 Epoch 194/200, Training Loss: 1.282
12:40:26 Epoch 195/200, Training Loss: 1.2814
12:40:27 Epoch 196/200, Training Loss: 1.2783
12:40:27 Epoch 197/200, Training Loss: 1.277
12:40:27 Epoch 198/200, Training Loss: 1.2753
12:40:27 Epoch 199/200, Training Loss: 1.2731
12:40:27 Epoch 200/200, Training Loss: 1.2728
12:40:27 Model training complete and best model saved --------------------------------

12:40:27 Testing model --------------------------------
12:40:27 Test Loss on this fold: 1.8648
12:40:27 Best model updated from this fold based on test loss.
12:40:27 Model testing complete --------------------------------

12:40:27 Fold 2/6: --------------------------------

12:40:27 Training model --------------------------------
12:40:27 Epoch 1/200, Training Loss: 14.6817
12:40:27 Epoch 2/200, Training Loss: 6.1738
12:40:27 Epoch 3/200, Training Loss: 4.1636
12:40:27 Epoch 4/200, Training Loss: 2.8906
12:40:27 Epoch 5/200, Training Loss: 2.7688
12:40:27 Epoch 6/200, Training Loss: 2.3212
12:40:27 Epoch 7/200, Training Loss: 2.0835
12:40:28 Epoch 8/200, Training Loss: 1.8861
12:40:28 Epoch 9/200, Training Loss: 1.7541
12:40:28 Epoch 10/200, Training Loss: 1.6801
12:40:28 Epoch 11/200, Training Loss: 1.6345
12:40:28 Epoch 12/200, Training Loss: 1.6115
12:40:28 Epoch 13/200, Training Loss: 1.5788
12:40:29 Epoch 14/200, Training Loss: 1.5694
12:40:30 Epoch 15/200, Training Loss: 1.555
12:40:31 Epoch 16/200, Training Loss: 1.5461
12:40:32 Epoch 17/200, Training Loss: 1.5372
12:40:33 Epoch 18/200, Training Loss: 1.5333
12:40:34 Epoch 19/200, Training Loss: 1.527
12:40:36 Epoch 20/200, Training Loss: 1.5236
12:40:37 Epoch 21/200, Training Loss: 1.5191
12:40:38 Epoch 22/200, Training Loss: 1.5163
12:40:39 Epoch 23/200, Training Loss: 1.513
12:40:40 Epoch 24/200, Training Loss: 1.5105
12:40:41 Epoch 25/200, Training Loss: 1.5079
12:40:42 Epoch 26/200, Training Loss: 1.5058
12:40:43 Epoch 27/200, Training Loss: 1.5038
12:40:45 Epoch 28/200, Training Loss: 1.5013
12:40:46 Epoch 29/200, Training Loss: 1.4994
12:40:47 Epoch 30/200, Training Loss: 1.4976
12:40:48 Epoch 31/200, Training Loss: 1.4954
12:40:49 Epoch 32/200, Training Loss: 1.4937
12:40:50 Epoch 33/200, Training Loss: 1.4923
12:40:51 Epoch 34/200, Training Loss: 1.4904
12:40:52 Epoch 35/200, Training Loss: 1.4892
12:40:53 Epoch 36/200, Training Loss: 1.4873
12:40:54 Epoch 37/200, Training Loss: 1.4855
12:40:55 Epoch 38/200, Training Loss: 1.4843
12:40:56 Epoch 39/200, Training Loss: 1.4821
12:40:56 Epoch 40/200, Training Loss: 1.4805
12:40:57 Epoch 41/200, Training Loss: 1.4796
12:40:58 Epoch 42/200, Training Loss: 1.4772
12:40:59 Epoch 43/200, Training Loss: 1.4762
12:40:59 Epoch 44/200, Training Loss: 1.4747
12:41:00 Epoch 45/200, Training Loss: 1.473
12:41:00 Epoch 46/200, Training Loss: 1.4718
12:41:00 Epoch 47/200, Training Loss: 1.4702
12:41:01 Epoch 48/200, Training Loss: 1.4682
12:41:01 Epoch 49/200, Training Loss: 1.4668
12:41:01 Epoch 50/200, Training Loss: 1.4652
12:41:01 Epoch 51/200, Training Loss: 1.4636
12:41:02 Epoch 52/200, Training Loss: 1.4623
12:41:02 Epoch 53/200, Training Loss: 1.4608
12:41:02 Epoch 54/200, Training Loss: 1.4595
12:41:03 Epoch 55/200, Training Loss: 1.4579
12:41:03 Epoch 56/200, Training Loss: 1.4565
12:41:04 Epoch 57/200, Training Loss: 1.455
12:41:04 Epoch 58/200, Training Loss: 1.4536
12:41:04 Epoch 59/200, Training Loss: 1.4523
12:41:04 Epoch 60/200, Training Loss: 1.4509
12:41:04 Epoch 61/200, Training Loss: 1.4493
12:41:04 Epoch 62/200, Training Loss: 1.4475
12:41:04 Epoch 63/200, Training Loss: 1.4465
12:41:04 Epoch 64/200, Training Loss: 1.4448
12:41:04 Epoch 65/200, Training Loss: 1.4429
12:41:04 Epoch 66/200, Training Loss: 1.4421
12:41:05 Epoch 67/200, Training Loss: 1.4406
12:41:05 Epoch 68/200, Training Loss: 1.4386
12:41:05 Epoch 69/200, Training Loss: 1.4378
12:41:05 Epoch 70/200, Training Loss: 1.4362
12:41:05 Epoch 71/200, Training Loss: 1.434
12:41:05 Epoch 72/200, Training Loss: 1.4331
12:41:05 Epoch 73/200, Training Loss: 1.4317
12:41:05 Epoch 74/200, Training Loss: 1.4297
12:41:05 Epoch 75/200, Training Loss: 1.4293
12:41:05 Epoch 76/200, Training Loss: 1.4273
12:41:05 Epoch 77/200, Training Loss: 1.4254
12:41:05 Epoch 78/200, Training Loss: 1.4244
12:41:05 Epoch 79/200, Training Loss: 1.423
12:41:05 Epoch 80/200, Training Loss: 1.4209
12:41:06 Epoch 81/200, Training Loss: 1.4199
12:41:06 Epoch 82/200, Training Loss: 1.4189
12:41:06 Epoch 83/200, Training Loss: 1.4167
12:41:06 Epoch 84/200, Training Loss: 1.4163
12:41:06 Epoch 85/200, Training Loss: 1.4143
12:41:06 Epoch 86/200, Training Loss: 1.4123
12:41:06 Epoch 87/200, Training Loss: 1.4106
12:41:06 Epoch 88/200, Training Loss: 1.4093
12:41:06 Epoch 89/200, Training Loss: 1.4078
12:41:06 Epoch 90/200, Training Loss: 1.4079
12:41:06 Epoch 91/200, Training Loss: 1.4057
12:41:06 Epoch 92/200, Training Loss: 1.4033
12:41:06 Epoch 93/200, Training Loss: 1.4023
12:41:06 Epoch 94/200, Training Loss: 1.4005
12:41:07 Epoch 95/200, Training Loss: 1.3983
12:41:07 Epoch 96/200, Training Loss: 1.398
12:41:07 Epoch 97/200, Training Loss: 1.3969
12:41:07 Epoch 98/200, Training Loss: 1.3941
12:41:07 Epoch 99/200, Training Loss: 1.3932
12:41:07 Epoch 100/200, Training Loss: 1.3912
12:41:07 Epoch 101/200, Training Loss: 1.3896
12:41:07 Epoch 102/200, Training Loss: 1.3882
12:41:07 Epoch 103/200, Training Loss: 1.3873
12:41:07 Epoch 104/200, Training Loss: 1.385
12:41:07 Epoch 105/200, Training Loss: 1.3834
12:41:07 Epoch 106/200, Training Loss: 1.3822
12:41:07 Epoch 107/200, Training Loss: 1.3799
12:41:07 Epoch 108/200, Training Loss: 1.3791
12:41:07 Epoch 109/200, Training Loss: 1.3778
12:41:08 Epoch 110/200, Training Loss: 1.3755
12:41:08 Epoch 111/200, Training Loss: 1.3736
12:41:08 Epoch 112/200, Training Loss: 1.372
12:41:08 Epoch 113/200, Training Loss: 1.3707
12:41:08 Epoch 114/200, Training Loss: 1.3688
12:41:08 Epoch 115/200, Training Loss: 1.3678
12:41:08 Epoch 116/200, Training Loss: 1.3655
12:41:08 Epoch 117/200, Training Loss: 1.3648
12:41:08 Epoch 118/200, Training Loss: 1.3625
12:41:08 Epoch 119/200, Training Loss: 1.3602
12:41:08 Epoch 120/200, Training Loss: 1.359
12:41:08 Epoch 121/200, Training Loss: 1.3581
12:41:09 Epoch 122/200, Training Loss: 1.3557
12:41:09 Epoch 123/200, Training Loss: 1.3546
12:41:09 Epoch 124/200, Training Loss: 1.3525
12:41:09 Epoch 125/200, Training Loss: 1.35
12:41:09 Epoch 126/200, Training Loss: 1.3485
12:41:09 Epoch 127/200, Training Loss: 1.3472
12:41:09 Epoch 128/200, Training Loss: 1.345
12:41:09 Epoch 129/200, Training Loss: 1.345
12:41:09 Epoch 130/200, Training Loss: 1.3424
12:41:09 Epoch 131/200, Training Loss: 1.3397
12:41:09 Epoch 132/200, Training Loss: 1.3386
12:41:09 Epoch 133/200, Training Loss: 1.337
12:41:10 Epoch 134/200, Training Loss: 1.3349
12:41:10 Epoch 135/200, Training Loss: 1.3329
12:41:10 Epoch 136/200, Training Loss: 1.3321
12:41:10 Epoch 137/200, Training Loss: 1.3291
12:41:10 Epoch 138/200, Training Loss: 1.3273
12:41:10 Epoch 139/200, Training Loss: 1.3254
12:41:10 Epoch 140/200, Training Loss: 1.3236
12:41:10 Epoch 141/200, Training Loss: 1.3225
12:41:10 Epoch 142/200, Training Loss: 1.3212
12:41:10 Epoch 143/200, Training Loss: 1.3188
12:41:10 Epoch 144/200, Training Loss: 1.3165
12:41:11 Epoch 145/200, Training Loss: 1.3148
12:41:11 Epoch 146/200, Training Loss: 1.3134
12:41:11 Epoch 147/200, Training Loss: 1.311
12:41:11 Epoch 148/200, Training Loss: 1.3098
12:41:11 Epoch 149/200, Training Loss: 1.3071
12:41:11 Epoch 150/200, Training Loss: 1.3055
12:41:11 Epoch 151/200, Training Loss: 1.3037
12:41:11 Epoch 152/200, Training Loss: 1.3016
12:41:11 Epoch 153/200, Training Loss: 1.2999
12:41:11 Epoch 154/200, Training Loss: 1.2984
12:41:11 Epoch 155/200, Training Loss: 1.2959
12:41:12 Epoch 156/200, Training Loss: 1.2936
12:41:12 Epoch 157/200, Training Loss: 1.2918
12:41:12 Epoch 158/200, Training Loss: 1.2905
12:41:12 Epoch 159/200, Training Loss: 1.2887
12:41:12 Epoch 160/200, Training Loss: 1.2869
12:41:12 Epoch 161/200, Training Loss: 1.2846
12:41:12 Epoch 162/200, Training Loss: 1.2817
12:41:12 Epoch 163/200, Training Loss: 1.2801
12:41:12 Epoch 164/200, Training Loss: 1.2787
12:41:12 Epoch 165/200, Training Loss: 1.276
12:41:13 Epoch 166/200, Training Loss: 1.2745
12:41:13 Epoch 167/200, Training Loss: 1.2728
12:41:13 Epoch 168/200, Training Loss: 1.2699
12:41:13 Epoch 169/200, Training Loss: 1.2682
12:41:13 Epoch 170/200, Training Loss: 1.2659
12:41:13 Epoch 171/200, Training Loss: 1.2638
12:41:13 Epoch 172/200, Training Loss: 1.2625
12:41:13 Epoch 173/200, Training Loss: 1.2609
12:41:13 Epoch 174/200, Training Loss: 1.2585
12:41:13 Epoch 175/200, Training Loss: 1.2567
12:41:13 Epoch 176/200, Training Loss: 1.2542
12:41:14 Epoch 177/200, Training Loss: 1.2517
12:41:14 Epoch 178/200, Training Loss: 1.2496
12:41:14 Epoch 179/200, Training Loss: 1.2491
12:41:14 Epoch 180/200, Training Loss: 1.2468
12:41:14 Epoch 181/200, Training Loss: 1.2453
12:41:14 Epoch 182/200, Training Loss: 1.242
12:41:14 Epoch 183/200, Training Loss: 1.2391
12:41:14 Epoch 184/200, Training Loss: 1.237
12:41:14 Epoch 185/200, Training Loss: 1.2362
12:41:14 Epoch 186/200, Training Loss: 1.2345
12:41:14 Epoch 187/200, Training Loss: 1.2338
12:41:15 Epoch 188/200, Training Loss: 1.2304
12:41:15 Epoch 189/200, Training Loss: 1.2273
12:41:15 Epoch 190/200, Training Loss: 1.2247
12:41:15 Epoch 191/200, Training Loss: 1.2228
12:41:15 Epoch 192/200, Training Loss: 1.2213
12:41:15 Epoch 193/200, Training Loss: 1.2191
12:41:15 Epoch 194/200, Training Loss: 1.2186
12:41:15 Epoch 195/200, Training Loss: 1.215
12:41:15 Epoch 196/200, Training Loss: 1.2123
12:41:15 Epoch 197/200, Training Loss: 1.2109
12:41:15 Epoch 198/200, Training Loss: 1.2083
12:41:16 Epoch 199/200, Training Loss: 1.2063
12:41:16 Epoch 200/200, Training Loss: 1.2055
12:41:16 Model training complete and best model saved --------------------------------

12:41:16 Testing model --------------------------------
12:41:16 Test Loss on this fold: 1.9292
12:41:16 Model testing complete --------------------------------

12:41:16 Fold 3/6: --------------------------------

12:41:16 Training model --------------------------------
12:41:16 Epoch 1/200, Training Loss: 14.0069
12:41:16 Epoch 2/200, Training Loss: 5.673
12:41:16 Epoch 3/200, Training Loss: 3.6628
12:41:16 Epoch 4/200, Training Loss: 2.7446
12:41:16 Epoch 5/200, Training Loss: 2.6694
12:41:16 Epoch 6/200, Training Loss: 2.3766
12:41:16 Epoch 7/200, Training Loss: 1.9552
12:41:16 Epoch 8/200, Training Loss: 1.8276
12:41:16 Epoch 9/200, Training Loss: 1.6298
12:41:17 Epoch 10/200, Training Loss: 1.5788
12:41:17 Epoch 11/200, Training Loss: 1.5064
12:41:17 Epoch 12/200, Training Loss: 1.4865
12:41:17 Epoch 13/200, Training Loss: 1.4566
12:41:17 Epoch 14/200, Training Loss: 1.4488
12:41:17 Epoch 15/200, Training Loss: 1.4277
12:41:17 Epoch 16/200, Training Loss: 1.422
12:41:17 Epoch 17/200, Training Loss: 1.4131
12:41:17 Epoch 18/200, Training Loss: 1.4077
12:41:17 Epoch 19/200, Training Loss: 1.4011
12:41:17 Epoch 20/200, Training Loss: 1.3983
12:41:17 Epoch 21/200, Training Loss: 1.393
12:41:18 Epoch 22/200, Training Loss: 1.3906
12:41:18 Epoch 23/200, Training Loss: 1.3871
12:41:18 Epoch 24/200, Training Loss: 1.3852
12:41:18 Epoch 25/200, Training Loss: 1.3829
12:41:18 Epoch 26/200, Training Loss: 1.3808
12:41:18 Epoch 27/200, Training Loss: 1.3788
12:41:18 Epoch 28/200, Training Loss: 1.3766
12:41:18 Epoch 29/200, Training Loss: 1.3753
12:41:18 Epoch 30/200, Training Loss: 1.3732
12:41:18 Epoch 31/200, Training Loss: 1.3714
12:41:18 Epoch 32/200, Training Loss: 1.3705
12:41:18 Epoch 33/200, Training Loss: 1.3682
12:41:19 Epoch 34/200, Training Loss: 1.3671
12:41:19 Epoch 35/200, Training Loss: 1.3663
12:41:19 Epoch 36/200, Training Loss: 1.3636
12:41:19 Epoch 37/200, Training Loss: 1.3627
12:41:19 Epoch 38/200, Training Loss: 1.3609
12:41:19 Epoch 39/200, Training Loss: 1.3594
12:41:19 Epoch 40/200, Training Loss: 1.3588
12:41:19 Epoch 41/200, Training Loss: 1.3566
12:41:19 Epoch 42/200, Training Loss: 1.3556
12:41:19 Epoch 43/200, Training Loss: 1.3545
12:41:19 Epoch 44/200, Training Loss: 1.3521
12:41:19 Epoch 45/200, Training Loss: 1.3512
12:41:20 Epoch 46/200, Training Loss: 1.3504
12:41:20 Epoch 47/200, Training Loss: 1.3485
12:41:20 Epoch 48/200, Training Loss: 1.348
12:41:20 Epoch 49/200, Training Loss: 1.3466
12:41:20 Epoch 50/200, Training Loss: 1.3445
12:41:20 Epoch 51/200, Training Loss: 1.3437
12:41:20 Epoch 52/200, Training Loss: 1.3428
12:41:20 Epoch 53/200, Training Loss: 1.3411
12:41:20 Epoch 54/200, Training Loss: 1.3405
12:41:20 Epoch 55/200, Training Loss: 1.3387
12:41:20 Epoch 56/200, Training Loss: 1.3375
12:41:21 Epoch 57/200, Training Loss: 1.3368
12:41:21 Epoch 58/200, Training Loss: 1.335
12:41:21 Epoch 59/200, Training Loss: 1.3342
12:41:21 Epoch 60/200, Training Loss: 1.3336
12:41:21 Epoch 61/200, Training Loss: 1.3312
12:41:21 Epoch 62/200, Training Loss: 1.331
12:41:21 Epoch 63/200, Training Loss: 1.3305
12:41:21 Epoch 64/200, Training Loss: 1.3281
12:41:21 Epoch 65/200, Training Loss: 1.327
12:41:21 Epoch 66/200, Training Loss: 1.3261
12:41:21 Epoch 67/200, Training Loss: 1.325
12:41:21 Epoch 68/200, Training Loss: 1.324
12:41:21 Epoch 69/200, Training Loss: 1.3224
12:41:21 Epoch 70/200, Training Loss: 1.3214
12:41:22 Epoch 71/200, Training Loss: 1.3205
12:41:22 Epoch 72/200, Training Loss: 1.3187
12:41:22 Epoch 73/200, Training Loss: 1.318
12:41:22 Epoch 74/200, Training Loss: 1.3174
12:41:22 Epoch 75/200, Training Loss: 1.3157
12:41:22 Epoch 76/200, Training Loss: 1.315
12:41:22 Epoch 77/200, Training Loss: 1.3139
12:41:22 Epoch 78/200, Training Loss: 1.3116
12:41:22 Epoch 79/200, Training Loss: 1.3108
12:41:22 Epoch 80/200, Training Loss: 1.3105
12:41:22 Epoch 81/200, Training Loss: 1.3086
12:41:22 Epoch 82/200, Training Loss: 1.3082
12:41:22 Epoch 83/200, Training Loss: 1.3072
12:41:22 Epoch 84/200, Training Loss: 1.3046
12:41:23 Epoch 85/200, Training Loss: 1.3042
12:41:23 Epoch 86/200, Training Loss: 1.3033
12:41:23 Epoch 87/200, Training Loss: 1.3018
12:41:23 Epoch 88/200, Training Loss: 1.3007
12:41:23 Epoch 89/200, Training Loss: 1.3
12:41:23 Epoch 90/200, Training Loss: 1.2985
12:41:23 Epoch 91/200, Training Loss: 1.2974
12:41:23 Epoch 92/200, Training Loss: 1.2966
12:41:23 Epoch 93/200, Training Loss: 1.2954
12:41:23 Epoch 94/200, Training Loss: 1.2939
12:41:23 Epoch 95/200, Training Loss: 1.2923
12:41:23 Epoch 96/200, Training Loss: 1.2914
12:41:23 Epoch 97/200, Training Loss: 1.2903
12:41:24 Epoch 98/200, Training Loss: 1.289
12:41:24 Epoch 99/200, Training Loss: 1.2887
12:41:24 Epoch 100/200, Training Loss: 1.2875
12:41:24 Epoch 101/200, Training Loss: 1.285
12:41:24 Epoch 102/200, Training Loss: 1.2845
12:41:24 Epoch 103/200, Training Loss: 1.2835
12:41:24 Epoch 104/200, Training Loss: 1.2814
12:41:24 Epoch 105/200, Training Loss: 1.2808
12:41:24 Epoch 106/200, Training Loss: 1.2799
12:41:24 Epoch 107/200, Training Loss: 1.2785
